I'm sad.	悲しいです。
Give him a piece of advice.	彼に一言忠告してあげなさい。
He can't afford a new car.	彼には新車を買うゆとりがない。
He was the first to arrive.	彼が最初に到着した者だった。
He is anything but a fool.	彼がばかだなんてとんでもない。
Stop making a fool of yourself.	馬鹿な真似はするな。
Horses are friendly animals.	馬は人なつこい動物である。
The cat hid among the branches.	猫は枝の間に隠れた。
Cats like fish in particular.	猫はとりわけ魚が好きだ。
Even a cat may look at a king.	猫でも王様が見られる。
Let the two lines be parallel.	二線は平行するとせよ。
Suddenly, her face was pale.	突然彼女の顔は青くなった。
Stir, and you are a dead man.	動いてみろ。命はないぞ。
The top is covered with snow.	頂上は雪で覆われている。
Please wake me for breakfast.	朝食には起こして下さい。
What shall we have for lunch?	昼食は何にしましょうか。
Slow but steady wins the race.	地道な者はいつか勝つ。
The sun is the brightest star.	太陽は一番明るい星だ。
My son asks for the moon.	息子はないものねだりをしている。
It looks like snow, doesn't it?	雪になりそうですね。
The baby seems to be asleep.	赤ん坊は眠っているようだ。
Red wine goes well with meat.	赤ワインは肉とよく合う。
The exact time is three now.	正確にいうと今は３時です。
Man is a creature of emotion.	人間は感情の動物である。
Don't find fault with others.	人のあらさがしをするな。
I have a nervous stomach.	神経を使ったせいか胃が痛いです。
The newspaper supplies news.	新聞はニュースを供給する。
Worries aged him rapidly.	心配のあまり彼は急に老け込んだ。
The traffic light turned green.	信号が青に変わった。
One good turn deserves another.	情は人のためならず。
No more of your jokes, please.	冗談はもうたくさんだ。
It is our obligation to help.	助けるのが我々の義務だ。
I am interested in palm reading.	手相に興味がある。
Surgery is the best solution.	手術が一番いいでしょう。
I've just oiled the wheels.	車輪には油を注したばかりだ。
I can't afford to buy a car.	車を買う余裕なんてないよ。
The car came to a smooth stop.	車は滑らかに止まった。
The examination is approaching.	試験が近づいている。
We have run out of sugar.	私達は砂糖を使いきってしまった。
We eat butter on bread.	私達は、バターをパンにつけてたべる。
I will not be busy tomorrow.	私は明日忙しくありません。
I am on the side of democracy.	私は民主主義の味方だ。
I was being made a fool of.	私は彼らに馬鹿にされていた。
I like dogs more than cats.	私は猫より犬の方が好きです。
I ate a hot dog for lunch.	私は昼にホットドッグを食べた。
I heard someone scream.	私は誰かが悲鳴をあげるのが聞こえた。
I want to buy a new camera.	私は新しいカメラを買いたい。
I am in no mood for joking.	私は冗談など言う気がしない。
I hope I am very efficient.	私は自分が凄く有能だと思う。
I put my watch in for repair.	私は時計を修理に出した。
I'm looking for my camera.	私は私のカメラを探しています。
I am due to speak tonight.	私は今夜話すことになっている。
I've just eaten breakfast.	私は今朝食をとったところです。
I am very sensitive to the cold.	私は寒さに敏感だ。
I sold the house for a profit.	私は家を有利に売った。
I am listening to the radio.	私はラジオを聞いています。
I have not finished lunch.	私はまだ昼食を終えていません。
They were making a fool of me.	私はばかにされていた。
I cut my finger with a knife.	私はナイフで指を切った。
I can't afford to buy a car.	とても車なんて買えないよ。
I'm not in so great hurry.	私はそんなに急いではいません。
I bought a hat at the store.	私はその店で帽子を買った。
I am feeling sad about it.	私はそのことで悲しんでいます。
I don't like this camera.	私はこのカメラは気に入りません。
I'm a bit pushed for money.	私はお金がなくて困っている。
I want you to sing a song.	あなたに歌を歌ってもらいたい。
My parents aren't old yet.	私の両親はまだ年寄りではない。
My daughter is fast asleep.	私の娘はぐっすり眠っている。
My happiness depends on you.	私の幸せはあなた次第です。
I can't afford to pay so much.	そんなに金は出せない。
We make milk into butter.	私たちは牛乳でバターを作ります。
We need not have hurried.	私たちは急ぐ必要はなかったのに。
We kept the fire burning.	私たちは火をずっとたいておいた。
We're going to the movies.	私たちは映画に行くところです。
Our house faces the beach.	私たちの家は海岸に面している。
I wish I had been a bird.	私が鳥だったらよかったのになあ。
Children filled the room.	子供で部屋中がいっぱいになった。
My car was stolen last night.	昨晩、私の車が盗まれた。
My wife is subject to moods.	妻は気分に支配されやすい。
You can stay till tonight.	今夜まででしたら延長できます。
Where shall we eat tonight?	今夜はどこで食事をしようか。
Who is going to speak tonight?	今夜の講演は誰ですか。
I'm planning to study tonight.	今晩勉強するつもりだ。
The weather will be fair today.	今日は晴天でしょう。
The cold is terrible this year.	今日は寒さがひどい。
I really enjoyed myself tonight.	今日は楽しかった。
It is terrible weather today.	今日はひどく悪い天気だ。
The job is up for grabs now.	今なら仕事の口があります。
He found the door locked.	見ると戸にかぎがかけられていた。
A dog suddenly jumped at me.	犬が不意に飛び掛ってきた。
There is no grass on the moon.	月には草が生えて無い。
Where is the wedding to be?	結婚式はどこであるのですか。
Do you take me for a fool?	君は僕を馬鹿だと思っていたね。
You depend too much on others.	君は他人に頼りすぎる。
Do you take me for a fool?	君は私を馬鹿者だと思いますか。
Are you going to sing here?	君はここで歌うつもりですか。
You've given me good advice.	君はいい助言をしてくれた。
Are you on the committee?	君はあの委員会のメンバーですか。
I am in favor of your proposal.	君の提案に賛成です。
Were there any stars in the sky?	空に星は出ていた？
Are you feeling under the weather?	具合が悪いの？
It is man's lot to suffer.	苦しむことは人間の定めである。
We had a bar of gold stolen.	金の延べ棒１本を盗まれた。
Money can't buy happiness.	金で幸せを買うことはできない。
Keep your classroom clean.	教室をきれいにしておきなさい。
We had a lot of snow last year.	去年は雪が多かった。
Milk does not agree with me.	牛乳は私の身体に合わない。
Hurry up, or you will be late.	急がないと遅れますよ。
The train has not arrived yet.	汽車はまだ着きません。
A cold spell gripped Europe.	寒波がヨーロッパを襲った。
You want commitment, don't you?	確約が欲しいんだね。
The conference closed at five.	会議は５時に終わった。
My house needs major repairs.	我が家は大修理が必要だ。
A burnt child fears the fire.	火傷した子は火を怖がる。
I see the tower from my house.	家からその塔が見える。
What made her so sad?	何のために彼女はそんなに悲しいのですか。
Music feeds our imagination.	音楽は想像力を豊かにする。
I saw the moon above the roof.	屋根の上に月が見えた。
Liquids are heavier than gases.	液体は気体より重い。
Would you like to go to a movie?	映画見に行かない？
I like going to the movies.	映画を見に行くのが好きです。
I'm going to go to the movies.	映画に行くつもりです。
A cat ran across the street.	一匹の猫が通りを横切った。
I'll give you a piece of advice.	一言忠告をします。
The race was a photo finish.	レースは写真判定となった。
Please turn down the radio.	ラジオの音を低くして下さい。
Speak more quietly, please.	もっと静かに話してください。
I will come, time permitting.	もし時間があれば来ます。
Can I have some more milk?	もう少し牛乳をいただけますか。
It's almost rush hour.	もうすぐラッシュアワーの時間帯に入る。
Mary arrived at the hospital.	メアリーは病院に着いた。
Mary hurried to the hospital.	メアリーは病院に急いだ。
Mary likes milk very much.	メアリーはミルクが大好きです。
Speak gently to everyone.	みんなには優しく話してください。
Please give me a glass of milk.	ミルクを一杯下さい。
Milk does not agree with me.	ミルクは私にはあいません。
Not all were satisfied.	みながみな満足していたわけではない。
A button came off my coat.	ボタンが１個コートから取れた。
Betty arrived the latest.	ベティはいちばん遅れて来ました。
Bill dealt Tom a sudden blow.	ビルは突然トムを殴った。
Bill often goes to the park.	ビルはよくその公園へ行く。
Bill is not as tall as Bob.	ビルはボブほど背が高くない。
Bill turned on the television.	ビルはテレビをつけた。
Bill called me last night.	ビルがゆうべ私に電話してきた。
The bus was about to start.	バスは発車するところだった。
The bus was about to start.	バスは発車しようとしていた。
What time does the bus leave?	バスは、何時にでますか。
Let's run to the bus stop.	バスの停留所まで走りましょう。
As Tom is honest, I like him.	トムは正直なので好きだ。
Tom's speech was excellent.	トムの演説は素晴らしかった。
Which is your favorite team?	どのチームのファンですか。
Which club do you belong to?	どのクラブに入っているの。
Anyway, I'll take a chance.	とにかく一か八かやってみる。
A child is crying somewhere.	どこかで子供が泣いている。
I watched an old movie on TV.	テレビで古い映画を見た。
I couldn't help falling asleep.	つい眠ってしまった。
At last, we got to the lake.	ついに私たちは湖に着いた。
Dancing is a delight to me.	ダンスは私にとって楽しみだ。
Show me the photos, please.	それらの写真を見せて下さい。
It's a fact you can't deny.	それは紛れもない事実である。
It is just your imagination.	それは君の思い過ごしだよ。
It is characteristic of him.	それは、いかにも彼らしい。
I'll send the book by mail.	その本を郵便でお送りします。
The hat fits her perfectly.	その帽子は彼女にぴったりだ。
The ice is too hard to crack.	その氷は硬くて割れない。
The tower is going to collapse.	その塔は倒れそうだ。
The news made her sad.	その知らせを聞くと彼女は悲しくなった。
The man made to grab at me.	その男は私につかみかかった。
The ship made for the shore.	その船は海岸の方へ進んだ。
The baby was fast asleep.	その赤ん坊はぐっすり眠っていた。
The dog didn't eat the meat.	その犬は肉を食べなかった。
The house was destroyed by fire.	その家は焼失した。
Birds flew away at the sound.	その音で鳥は飛び去った。
The idea is typical of him.	その意見はいかにも彼らしい。
Who coaches the team?	そのチームは誰がコーチしているのですか。
There is no denying the fact.	そのことは否定できない。
Yes, well, that depends.	そうですね。一概には言えませんね。
John was married to Jane.	ジョンはジェーンと結婚していた。
I don't want to lie anymore.	これ以上嘘はつきたくない。
This is a story about stars.	これは星についての話です。
This was meant as a joke.	これはほんの冗談のつもりだった。
Traffic is heavy around here.	この辺りは交通が激しい。
This wind is a sign of a storm.	この風は嵐の前兆だ。
Can you lift this stone?	この石を持ち上げる事が出来ますか。
Fill out this form, please.	この書式に記入してください。
This type of cat has no tail.	この種の猫には尾が無い。
This classroom is very large.	この教室はとても大きい。
The milk's a bit off.	このミルクは少し古くなってしまいました。
This door locks by itself.	このドアは自動的に鍵がかかる。
Let's sit here on the grass.	ここの芝生に座りましょう。
The traffic has built up here.	ここの交通量は増えた。
I have a chronic pain here.	ここに慢性の痛みがあります。
It's wonderful to be here.	ここにいると素晴らしいですよ。
Let's get off the bus here.	ここで、バスを降りましょう。
I prefer tea to coffee.	コーヒーより紅茶の方が好きなんです。
The weather is sure to be wet.	きっと雨になりますよ。
How do you spell your name?	お名前はどんなスペルですか。
Dad bought me a camera.	お父さんは僕にカメラを買ってくれた。
Ask your dad to help you.	お父さんに手伝ってもらいなさい。
May I use your car, Dad?	お父さん、車を使っても良いですか。
My cat and dog get along.	うちの犬と猫は仲良くやっている。
Let's cut down our expenses.	うちの経費を切りつめよう。
Don't tell a lie. Be honest.	うそをつくな、正直であれ。
You have a good camera.	あんたはよいカメラを持っていますね。
Is that a bus or a car?	あれはバスですか、それとも車ですか。
Some kinds of birds can't fly.	ある種の鳥は飛べない。
He makes a bad impression.	あの人はどうもイメージが悪い。
That novel was widely read.	あの小説は広く読まれました。
How did you like that movie?	あの映画はいかがでしたか。
That house appears deserted.	あのいえは空き家のようだ。
You are not a child anymore.	あなたはもう子供ではない。
I'm all for your suggestion.	あなたの提案に大賛成です。
I am delighted to meet you.	あなたにお会いできて嬉しい。
It is no use your resisting.	あなたが抵抗しても無駄だ。
1990 saw many incidents.	１９９０年はいろんな事が起こった。
Has Flight 123 been delayed?	１２３便は遅れていますか。
Tom deserves to be blamed.	トムは非難されてしかるべきだ。
He pretends not to understand.	彼が分からないフリをする
I can't focus on work anymore.	もう仕事が手につきません
Customers left the store quickly.	客がすぐに店を出た
What did I do to deserve this?	何で私がこんな目に会うの
He appeals the necessity of X.	彼がXの必要性を訴えます
X will be selected by the person.	Xを本人が選択する
He is always careful about X.	彼がXにいつも気を遣います
It's absolutely impossible for me.	私には絶対無理だ
Is this bread's best-by OK?	このパンって賞味期限大丈夫か？
Traffic accidents happen daily.	連日交通事故が起きる。
It may snow in the evening.	夕方には雪がふるかもしれない。
It snowed a good deal last night.	夕べ大雪が降った。
The alarm woke up Mayuko.	目覚まし時計でマユコは目がさめた。
The trees are already bare.	木々はすでに葉を落としている。
Explain it in plain language.	明白な言葉で説明しなさい。
I'm coming to see you tomorrow.	明日遊びに行くからね。
I am seeing a friend tomorrow.	明日は友達と会う予定だ。
I wonder if it will rain tomorrow.	明日は雨かしら。
Are you free tomorrow evening?	明日の夕方はお暇ですか。
Get up early tomorrow morning!	明日の朝は早く起きろよ。
Are you busy tomorrow afternoon?	明日の午後あいてる？
I'd like to see you tomorrow.	明日お会いしたいのですが。
It isn't a real apartment.	本当のマンションではありません。
Mother is preparing lunch.	母さんは昼食の用意をしてくれた。
I prefer riding to walking.	歩くよりも車に乗るほうがよい。
The lawyer was expecting Ben.	弁護士はベンを待っていた。
The lawyer drew up my will.	弁護士が私の遺言書を作成した。
We had our roof blown off.	風でうちの屋根を吹き飛ばされた。
What movies just opened?	封切られたばかりの映画はなんですか。
My father is a bit old-fashioned.	父は少し頭が古い。
The sand on the beach was white.	浜辺の砂は白かった。
Be sure to pick up some milk.	必ずミルクを買ってきてね。
Be sure to mail this letter.	必ずこの手紙を渡して下さい。
I can't breathe through my nose.	鼻で息ができません。
It is he who is to blame.	非難されなくてはいけないのは彼だ。
They were watching television.	彼等はテレビを見ていた。
She was locked up in a room.	彼女は部屋に閉じこめられた。
She wore a sad expression.	彼女は悲しそうな表情をしていた。
She read one poem to him.	彼女は彼に一編の詩を読んでやった。
She has got a nice hat on.	彼女は素敵な帽子をかぶっている。
She quietly entered the room.	彼女は静かに部屋に入った。
She was wearing a new hat.	彼女は新しい帽子をかぶっていた。
She is sensitive to the heat.	彼女は暑さには弱いんです。
She turned down my proposal.	彼女は私の申し込みを断った。
She refused to notice me.	彼女は私に会っても知らん顔をした。
She is excellent in composition.	彼女は作文が優秀だ。
She had a happy childhood.	彼女は幸せな幼年時代を過ごした。
I wonder if she is married.	彼女は結婚しているのだろうか。
She married a rich old man.	彼女は金持ちの老人と結婚した。
She guided me to the palace.	彼女は宮殿へ案内してくれた。
She pretended to be a student.	彼女は学生のふりをした。
She climbed down from the roof.	彼女は屋根から下りた。
She sang better than usual.	彼女はふだんより上手に歌った。
She did not marry the man.	彼女はその男とは結婚しなかった。
She overcame the difficulty.	彼女はその困難に打ち勝った。
She thought to the contrary.	彼女はそう思いませんでした。
Her skin is as white as snow.	彼女の肌は雪のように白い。
Her bedroom is just above.	彼女の寝室はちょうどこの上です。
Don't ignore her feelings.	彼女の気持ちを考えてやりなさい。
Such beauty as hers is rare.	彼女のような美しさはまれだ。
She has a comfortable income.	彼女には十分な収入がある。
She is by no means honest.	彼女が誠実だなんてとんでもない。
I am far from blaming him.	彼を非難しているどころではない。
I don't pretend to love him.	彼を愛しているふりはしない。
Don't blame him for the error.	彼をその過失で責めるな。
They pretend to be man and wife.	彼らは夫婦きどりだ。
They consider him a hero.	彼らは彼をヒーローだと思っている。
They were labeled radicals.	彼らは急進派の烙印を押された。
They are typical young people.	彼らは一般的な若者です。
He need not go in the storm.	彼は嵐の中、行く必要はない。
He was in a mood of depression.	彼は憂鬱状態であった。
He rarely goes to the movies.	彼は滅多に映画にいかない。
He leaves for Tokyo tomorrow.	彼は明日東京へ出発します。
He isn't consistent with himself.	彼は矛盾している。
He was trained as a lawyer.	彼は法律家になる教育を受けた。
He thinks nothing of poverty.	彼は貧乏を何とも思わない。
He was wasted away by illness.	彼は病気で衰弱していた。
He is as grave as a judge.	彼は判事のようにとても厳めしい。
He is the last man to steal.	彼は盗みなどする人ではない。
He was late because of the snow.	彼は雪のため遅れた。
I took him to be an honest man.	彼は正直な男だと思う。
He is far from being honest.	彼は正直どころの話ではない。
He worked out a new formula.	彼は新しい方式を編み出した。
He carried a joke too far.	彼は冗談の度を過ごしてしまった。
He made an important discovery.	彼は重大な発見をした。
He is running short of funds.	彼は資金が不足しつつある。
Will he fail the examination?	彼は試験に落ちるだろうか。
He did well in the examination.	彼は試験がよくできた。
He turned down our proposal.	彼は私たちの提案を拒絶した。
He brought us sad news.	彼は私たちに悲しい知らせをもたらした。
He was honest in business.	彼は仕事の面できちんとしていた。
He was blind from birth.	彼は産まれた時から眼が見えなかった。
I wonder if he'll come tonight.	彼は今晩来るだろうか。
He has just become a principal.	彼は校長になり立てだ。
He's somewhere about the park.	彼は公園のどこかにいる。
He met with a traffic accident.	彼は交通事故に遭った。
He was wounded in the shoulder.	彼は肩を負傷していた。
He is a great lover of music.	彼は音楽がとっても好きだ。
He is a member of the committee.	彼は委員会の委員だ。
He is leading a life of ease.	彼は安楽な生活をしている。
He fell among bad companions.	彼は悪い仲間につかまった。
He should have arrived by now.	彼はもう着いてるはずだ。
He lay asleep in the bed.	彼はベッドに横たわって眠っていた。
Does he go to school by bus?	彼はバス通学をしていますか。
He denies having done it.	彼はそれをしなかったといっている。
He stole a glance at the girl.	彼はその少女を盗み見た。
He will assist this project.	彼はこの計画を手伝うだろう。
He married a Canadian girl.	彼はカナダ人の女性と結婚した。
He always tells at random.	彼はいつもでまかせなことを言う。
He is always finding fault.	彼はいつもあらさがししている。
I don't think he'll say yes.	彼はイエスといわないと思う。
He isn't quite a gentleman.	彼はあんまり紳士とはいえない。
He is twice as old as she is.	彼の年齢は彼女の倍である。
We've got to shake him up.	彼にかつを入れなければならない。
It is rare for him to get angry.	彼が怒るのは珍しい。
If only he would marry me!	彼が私と結婚さえしてくれたらぁ。
He was naturally very angry.	彼がとても怒ったのは当然だ。
It is odd that he is so late.	彼がこんなに遅いのは変だ。
The crops are up to the average.	農作物は平年並みだ。
Do you deliver on Sundays?	日曜日に配達していただけますか。
Japan is to the east of China.	日本は中国の東方にある。
They both are wearing a hat.	二人とも帽子をかぶっている。
The road was wet from the rain.	道路は雨でぬれていた。
Hand in your examination papers.	答案を提出しなさい。
Do you have much snow here?	当地は雪がたくさん降りますか。
He deserves to be promoted.	当然彼は昇進させられるべきだ。
When will we arrive in Tokyo?	東京には何時に着きますか。
Does it snow much in winter?	冬に雪がたくさん降りますか。
We had a long wait for the bus.	長いことバスを待った。
Birds sing early in the morning.	朝早くに、鳥が歌う。
You had better have breakfast.	朝食を食べるほうがよい。
Have you eaten breakfast yet?	朝食はもう済ませましたか。
What did you have for breakfast?	朝食は何を食べたの？
This will have to do for lunch.	昼食はこれですまそう。
As I was late, I took a bus.	遅れたので私はバスに乗った。
The earth is a beautiful planet.	地球は美しい惑星だ。
The price depends on the size.	値段は大きさによります。
A loud noise made him jump.	大きな騒音で彼はとび上がった。
The sun is larger than the moon.	太陽は月より大きい。
Stop finding fault with others.	他人のあら探しはよせ。
Please send it by express mail.	速達で送ってください。
We let our legs do the leading.	足の向くままに歩いた。
I had an easy delivery last time.	先回は安産でした。
Snow is falling thick and fast.	雪が降りしきっている。
It was snowing thick and fast.	雪がしきりに降っていた。
The baby was fast asleep.	赤ちゃんはぐっすり眠っていました。
Man reached the moon at last.	人類はついに月に到着した。
Man is a creature of emotion.	人間は感情の生き物である。
Kobe is famous as a port city.	神戸は港市として有名だ。
I heard a noise in the bedroom.	寝室で物音が聞こえた。
The traffic lights were all red.	信号は全部赤だった。
The traffic light changed to red.	信号が赤になった。
I said so by way of a joke.	冗談のつもりでそう言ったんだ。
The ice cracked under the weight.	重みで氷が砕けた。
We should be very careful.	十分に注意しなければいけないな。
Remember to mail the letter.	手紙を出すのを忘れないでね。
The examination is near at hand.	試験が目前に迫った。
We call the cat Madonna.	私達はその猫をマドンナと呼んでいる。
Our hotel faces the coast.	私達のホテルは海岸に面している。
Do you take me for a fool?	私を馬鹿だと思っているのですか。
He is my senior by three years.	私より彼は３つ年上だ。
I stood with my arms folded.	私は腕組みをして立っていた。
I prefer quality to quantity.	私は量よりも質を重んじる。
I will get up early tomorrow.	私は明日早く起きるだろう。
I will not be free tomorrow.	私は明日暇ではないでしょう。
I've never climbed Mt. Fuji.	私は富士山に登った事がない。
I am to have lunch with him.	私は彼と昼食を食べる予定だ。
I know him to be honest.	私は彼が正直であることを知っている。
I ate a hot dog for lunch.	私は昼食にホットドッグをとった。
I heard a woman scream.	私は女性が悲鳴を上げるのを聞きました。
I did not take many photos.	私は写真をあまりとらなかった。
I rarely go to the movies.	私は時たましか映画に行きません。
I had my car stolen last night.	私は昨夜車を盗まれた。
I've just eaten breakfast.	私は今朝食をすませたところです。
I like meat better than fish.	私は魚より肉の方が好きだ。
I must buy some milk.	私は牛乳をいくらか買わなければなりません。
I want to brush up my English.	私は英語をやり直したい。
I have drunk all my milk.	私はミルクをみんなのんでしまった。
I don't go to school by bus.	私はバスで学校へいきません。
I stood waiting for a bus.	私はたってバスを待っていました。
I feel at ease about it.	私はそのことについては安心している。
I don't belong to the club.	私はそのクラブに入ってません。
I hold this as self-evident.	私はこれは自明のことと思う。
I prefer tea to coffee.	私はコーヒーより紅茶のほうが好きです。
I barely caught the train.	私はかろうじて汽車に間に合った。
I arrived later than usual.	私はいつもより遅く着きました。
I usually go to school by bus.	私はいつもバス通学です。
I think that you are to blame.	あなたが悪いと思います。
I thought him very honest.	私は、彼をとても正直だと思った。
I rarely touch coffee.	私は、コーヒーを飲むことはめったに無い。
My bedroom is just above.	私の寝室はちょうどこのま上にある。
My watch needs to be repaired.	私の時計は修理が必要だ。
We came in view of the lake.	私たちは湖の見える所に来た。
We will be together forever.	私たちはいつまでも一緒です。
I'll give him a piece of advice.	私が彼に忠告しよう。
I owe my success to you.	私が成功したのはあなたのおかげです。
Kids can be kids.	子供が子供でいられる、子供が子供らしく振る舞える。
The sands are running out.	残り時間があまりなくなってきた。
Oh, you're going home tonight!	今夜帰省されるのですね。
Please take me home tonight.	今夜は家につれていってくれ。
Can you put me up tonight?	今夜お宅に泊めてもらえませんか。
Let's have a few drinks tonight.	今晩少し飲まないか。
We can see many stars tonight.	今晩は多くの星が見える。
It is going to be cold tonight.	今晩は寒くなりそうだ。
We have less snow than usual.	今年は例年より雪が少ない。
Do you want to eat out tonight?	今日外食したいですか。
I'm expecting a customer today.	今日は来客があります。
I read it in today's edition.	今日の社説でそれを読んだ。
Where will you have lunch today?	今日どこで昼食する？
I'll mail this letter today.	今日この手紙を出すつもりだ。
It is ten degrees below zero now.	今は零下１０度だ。
The trouble lies in the engine.	故障はエンジンにある。
It appears that he is honest.	見たところ彼は正直らしい。
A dog was run over by a truck.	犬がトラックにひかれた。
The buildings look so tiny.	建物がとっても小さく見えるよ。
The moon cast a gentle light.	月は優しい光を投げかけた。
Do you have bread for lunch?	君は昼食にパンを食べますか。
You are suitable for the job.	君はこの仕事にふさわしい。
You need to have breakfast.	君は、朝食を食べる必要がある。
Your proposal is a bit extreme.	君の提案は少し過激だ。
It all depends how you handle it.	君の扱い方次第だ。
We want you to sing the song.	君にその歌を歌ってほしい。
Let me give you some advice.	君にいくつか忠告させてくれ。
I as well as you am to blame.	君と同様に私も責任がある。
You need not have hurried.	君たちが急ぐ必要はなかったのに。
We have had bad weather recently.	近ごろ天気が悪い。
The hill lay covered with snow.	丘は雪に覆われていた。
Nurses attend to sick people.	看護婦は病人の世話をする。
We voted against the bill.	我々はその議案に反対投票をした。
We seemed secure of victory.	我々の勝利は確実と思われた。
Some of the birds didn't fly.	何羽かの鳥は飛ばなかった。
We saw the tower in the distance.	遠くに塔が見えた。
How about going to the movies?	映画を見に行きませんか。
Let's stop off and see a movie.	映画でも見ていこうか。
Can I use my medical insurance?	医療保険は使えますか。
The pain in my stomach has gone.	胃の痛みが治まった。
The committee are all present.	委員は全員出席している。
Laura may have been sick.	ローラは病気だったのかもしれない。
Lucy made her parents happy.	ルーシーは両親を幸福にした。
Turn the radio up a little.	ラジオの音を少し大きくしてよ。
I can hear the soft breathing.	やわらかな息が聞こえる。
It might rain tomorrow.	もしかすると明日雨が降るかもしれない。
He might come tomorrow.	もしかすると彼は明日来るかもしれない。
Have you eaten your lunch yet?	もう昼食はすみましたか。
Put in a little more sugar.	もう少し砂糖を入れてください。
There isn't any milk left.	ミルクは一つものこっていません。
I prefer tea to coffee.	僕はコーヒーよりも紅茶が好きなんだよ。
The hall was filled to capacity.	ホールは満員だった。
Helen is playing in the yard.	ヘレンは庭で遊んでいます。
Bill missed the first ball.	ビルは第１球を打ちそこなった。
There is no sugar in the bowl.	はちには砂糖が全然ない。
How often do the buses run?	バスは何分おきに出ていますか。
The bus should be coming soon.	バスはすぐ来るはずです。
May I have a bus route map?	バスの路線図を貸してください。
The bus arrived empty.	バスがついたとき乗客は乗っていなかった。
Yes, that's the right answer.	はいそれが正しい答えです。
Yes, he has already written it.	はい、もう書きました。
Yes, it has already started.	はい、すでに始まっています。
The cat listened to its steps.	ネコはその足音を聞いた。
What a beautiful bird it is!	なんてきれいな鳥なんだろう。
What's your impression, doctor?	どんな感じですか先生？
Tom will go there tomorrow.	トムは明日そこへ行くでしょう。
As Tom is honest, I like him.	トムは正直者なので好きだ。
We had an intense competition.	とても激しい競争だった。
Please turn off the television.	テレビを消して下さい。
Is there a cat on the table?	テーブルの上に猫がいますか。
On the table there was a cat.	テーブルの上には猫がいた。
Dick passed the photo to me.	ディックは私に写真を渡した。
Dick had a traffic accident.	ディックは交通事故に遭った。
Just then, the bus stopped.	ちょうどその時バスが止まった。
I'll be damned if it's true.	そんなことが本当でたまるか。
Please bring it back tomorrow.	それを明日返して下さい。
That is no fault of Jack's.	それはジャックのせいではない。
People don't say that anymore.	それって死語じゃないの。
That animal feeds on flesh.	その動物は肉を常食としている。
She turned pale at the news.	その知らせに彼女は青ざめた。
The poet wrote many poems.	その詩人はたくさんの詩を書いた。
The poem worked on her heart.	その詩は彼女の心を打った。
The dog is blind in one eye.	その犬は片方の目が見えない。
What happened in consequence?	その結果何が起こったのか。
What happened in consequence?	その結果はどうなったのか。
The bridge is closed to traffic.	その橋は通行禁止だ。
Let's sing the English song.	その英語の歌を歌いましょう。
Make that a shared folder.	そのフォルダ、共有にしておいて。
Who coaches the team?	そのチームは誰がコーチをしているのですか。
I wish we had won the game.	そのゲームに勝っていればなあ。
I saw a wonderful fall there.	そこですばらしい滝を見た。
Do come and see us tomorrow.	ぜひ明日遊びにきてください。
We've been having good weather.	ずっと天気がいいです。
Jill saw the movie with Ken.	ジルはケンとその映画を見た。
Jane prefers dogs to cats.	ジェーンは猫よりも犬が好きです。
Jane made an angry gesture.	ジェーンは怒った身振りをした。
Please send this by sea mail.	これを船便で送って下さい。
Can you cash these for me?	これを現金に換えてもらえますか。
This is a very rare case.	これは大変まれにしかないケースだ。
This was an executive decision.	これは経営者の決定だ。
This is a surprising discovery.	これは驚くべき発見だ。
This book sold well in Japan.	この本は日本でよく売れた。
This meat can be preserved long.	この肉は保存がきく。
Snow fell early this winter.	この冬は雪が早くから降った。
They sell meat at this store.	この店では肉を売っている。
A cold wave hit this district.	この地方を寒波が襲った。
Can you mail these for me?	この手紙を出していただけますか。
This car needs repairing.	この車は修理してもらう必要がある。
The watch keeps accurate time.	この時計は時間が正確だ。
This poem is too much for me.	この詩は私の手に負えない。
Never press this button.	このボタンを決して押してはいけない。
How do you use this camera?	このカメラはどうやって使うの。
I put some milk in my coffee.	コーヒーにミルクを入れた。
The coach's advice saved us.	コーチの忠告が私達を救った。
How do you spell your name?	お名前の綴りを教えてください。
You bit the hand that fed you.	お前は恩を仇で返したな。
Yes, he can, if he tries hard.	いや、頑張ればできるよ。
What movies are playing now?	いま、何を上映していますか。
The storm blew for two days.	あらしは２日間吹きまくった。
Americans eat a lot of meat.	アメリカ人は肉を多く食べる。
I don't read newspapers much.	あまり新聞を読んでいない。
They sell meat at that store.	あの店では肉を売っている。
That small star is brightest.	あの小さい星が一番明るい。
The kid is a pain in the neck.	あの子にはうんざりする。
That bank was held up twice.	あの銀行は二度強盗にあった。
You need not have hurried.	あなたが急ぐ必要はなかったのに。
Your effort deserves praise.	あなたの努力は賞賛に値する。
What's your favorite food?	あなたの好きな食べ物は何ですか。
Thank you for your advice.	アドバイスありがとうございます。
I'll be free all day tomorrow.	あしたは一日中ひまです。
A bird was flying in the sky.	１羽の鳥が空を飛んでいた。
Ten houses were burned down.	１０軒の家がすっかり燃えた。
Count from 10 down to zero.	１０から０まで逆に数えなさい。
This watch is shock-proof.	この時計は強い衝撃にも堪えます。
My plan was adopted by them.	私の計画が彼らに採用された。
The house is in need of repair.	その家は修理が必要だ。
I wonder if he'll come tomorrow.	彼はあした来るかな。
Tom is quick to turn violent.	トムは口より手が早いです。
