No!	嫌だ！
This is what I need.	これが私が必要とするものです。
What's Ken doing now?	ケン君は今何をしていますか。
Don't be long about it!	ぐずぐずせずに早くしろ！
I know you can make it.	お前ならうまくやれるよ。
When are you coming back?	いつ戻ってきますか。
I say it all the time.	いつも言ってるじゃないか。
What do you want to be?	あなたは何になりたいの？
You can make it.	あなたはそれを成し遂げることができる。
When will you be back?	あなたはいつ帰宅しますか。
I want to go with you.	あなたと一緒に行きたいな。
I will come with you.	あなたといっしょに参ります。
What do you want?	あなたがたは何を求めているのですか。
Oh! I know the man.	あぁ、私はその男を知っています。
I knew you'd like it.	気に入ってくれると思ってた。
I will do all of the work.	仕事を全部、私がやる
Do I need to reconfirm?	予約の再確認は必要ですか。
There was no one about.	辺りには誰一人いなかった。
I think that she will come.	彼女は来ると思う。
She made a man of him.	彼女は彼を一人前の男にした。
She got what he said.	彼女は彼の言うことを理解した。
Did she come with him?	彼女は彼と一緒に来ましたか。
She may have said so.	彼女はそう言ったかもしれない。
She says she will come.	彼女はくるといっているよ。
I have seen her before.	彼女に以前お会いしました。
Where did they come from?	彼らはどこから来たの。
They were just in time.	彼らはちょうどまにあった。
He said he could do it.	彼はそれができるといった。
I'm longing to see him.	彼に会いたいと思っている。
You know some Japanese.	日本語が少し話せるからね。
Two men came up to me.	二人の男が私に近づいてきた。
It took a long, long time.	長い長い時が過ぎた。
Come at least at six.	少なくとも６時にいらっしゃい。
I know him very well.	私は彼をとても良く知っている。
I'm not what I used to be.	私は昔の私ではない。
I don't like English.	私は英語が好きではありません。
It's all right with him.	私はそれでかまいません。
I come from Australia.	私はオーストラリア出身です。
I want to go to America.	私はアメリカへ行きたい。
Won't you come with me?	私といっしょに来ませんか。
We will do our best.	私たちは全力を尽くすつもりです。
I am through with my work.	仕事は終わりました。
You should have seen it.	君も見るべきだったのに。
You needn't have come.	君は来なくてもよかったのに。
You are to come with me.	君は僕と一緒に来るのだ。
What are you going to have?	君は何にしますか。
You should have seen it.	君にそれを見せたかった。
Who do you think you are?	何様だと思ってるんだ。
What are you getting at?	何を言おうとしているの。
We made it out of there.	何とかそこから脱出した。
What made her do so?	何で彼女はそんなことをしたのか。
I'll see if he is in.	もどっているか見てまいります。
I may as well go now.	もう出かけたほうがよさそうだ。
I'm through with you.	もうお前なんか相手にしないぞ。
It is time I was going.	もうおいとまする時間です。
Mayuko came up with him.	マユコは彼に追いついた。
It's a long way to Boston.	ボストンまでは遠い。
What did you go there for?	なぜそこへ行ったの？
Will you go with Tom?	トムといっしょに行きませんか。
Which way will you take?	どちらの道を行きますか。
Where did you come from?	どこから来られましたか。
How should I know?	そんなこと、分かるわけないでしょう。
Where did you get this?	それを何処で手に入れたの。
May I do it right now?	それをすぐしてもいいですか。
What are they made of?	それらは何でできていますか。
That is what I want to know.	それが知りたい。
This is how I go about it.	これが僕のやり方だ。
This is what he says.	これが彼の言っていることです。
This is what I thought.	これが私の考えたことです。
This is how I did it.	このようにして私はそれをした。
Ann was long coming.	アンはなかなかやって来なかった。
What do you want to do?	あなたは何をしたいですか。
I will go if you come.	あなたが来れば私は行きます。
Well, I have to go now.	ああ、もうお暇しなくては。
He saw X for the first time.	彼がXを初めて見た
It's little known.	それがあまり多くの人には知られていない
What do you take me for?	僕を誰だとおもっているの。
What do you take me for?	僕を何だと思っているのか。
I think she will come.	彼女は来るだろうと思っている。
She did well by me.	彼女はわたしにとてもよくしてくれた。
Who do you think she is?	彼女はだれだと思いますか。
She didn't need to come.	彼女が来る必要はなかった。
I know where she is.	彼女がどこにいるか私は知っている。
She can't have said so.	彼女がそう言ったはずはない。
She may well say so.	彼女がそう言ったのももっともです。
Are they coming as well?	彼らもやってくるのですか。
They like Tsuneoki Ikeda.	彼らは、池田恒興が好き。
He has seen better days.	彼も昔は羽振りがよかった。
He wanted to come with us.	彼は一緒に来たがった。
He has gone to London.	彼はロンドンへ行ってしまった。
He has just come back.	彼はちょうど帰ったところです。
He is used to the work.	彼はその仕事には慣れている。
He is liked by Ellen.	彼はエレンによって好かれている。
He likes Motoharu Kikkawa.	彼は、吉川元春が好き。
I think that he is right.	彼の言うとおりだと思う。
I am through with him.	彼との関係はもう終わっている。
Art was then at its best.	当時、芸術は全盛でした。
It is up to us to be men.	男になるのは自分次第だ。
I don't like all of them.	全てが好きとは限らない。
One should do one's best.	人は最善を尽くすべきだ。
It took all evening.	寝るまでずっと時間がかかりました。
I can't make her out.	私は彼女の気持ちが理解出来ない。
I like Sachiko better.	私は佐知子さんの方が好きです。
I'd like to go to London.	私はロンドンに行きたい。
I saw him just now.	私はついさっき彼に会ったばかりです。
I'm not having any of that.	私はそれを認めない。
How are you doing these days?	最近どうしてる？
I can't make it this time.	今回は出席できません。
I will be there right now.	今すぐそこに行きます。
You are not coming, are you?	君は来ないんだね。
You should know better.	君はもっと分別をもちなさい。
Any of you can do it.	君たちのうち誰でもそれはできる。
We'd better make some time.	急いでいかなくちゃ。
How long do you want it for?	期間はどのくらい？
We have come a long way.	我々はずっと努力してきた。
What time can I be there?	何時にそこに行けばいい。
What time shall we make it?	何時にしましょうか。
What are you thinking about?	何を考えているの？
What are you going to see?	何を見るつもりですか。
What's taking you so long?	何をぐずぐずしてるの？
What shall I do for you?	何かお手伝いしましょうか。
Be my right-hand man.	俺の片腕となって手助けしてくれ。
We can make a day of it.	一日、そこで過ごせるわね。
It is seven in London now.	ロンドンは今７時です。
Get 'em before they get you!	やられる前にやれ。
I'm through with Mary.	メアリーとはもう終わったんだ。
I'll give it some thought.	ま、考えときましょう。
We can but do our best.	ベストを尽くさざるをえない。
What is butter made of?	バターは何から作られてるの？
What are nabemono like?	なべ物とはどんなものですか。
How do you want them?	どのように両替いたしましょうか。
Where did you get it?	どこでそれを手に入れたのですか。
May I do it right now?	それをすぐにしてもいいですか。
You should not go there.	そこへ行ってはいけません。
I've been thinking about it.	ずっと考えてたの。
What is John doing now?	ジョンは今何をしていますか。
Come on! I will best you.	さあこい！負かしてやる。
What do you make of this?	これをどう解釈しますか。
This is as long as that.	これとあれは同じ長さです。
I'll take them to Kate.	ケイトの所に持って行くんだ。
Don't take it out on me.	オレに八つ当たりするなよ。
Uh.....yes, I think so.	ええっと、そうだと思います。
No, I don't. What's he like?	いいや、どんな人。
No, you don't have to.	いいえ、その必要はありません。
Where do you come from?	あなたは何処から来ましたか。
What time do you get up?	あなたは何時に起きますか。
What are you going to have?	あなたは何にするの。
Where do you come from?	あなたはどちらの出身ですか。
You need not go there.	あなたはそこに行く必要がない。
You had better go now.	あなたはもう行ったほうがいい。
We think that he will come.	彼は来ると思います。
Little is known about X.	Xについて知るところが少ない
I thought you wouldn't come.	来ないかと思ったよ。
I just want you to come.	来て下さるだけでいいのです。
What do you take me for?	僕を何だと思っているんだよ。
She will be back at five.	彼女は五時に戻ってきます。
She has gone to Italy.	彼女はイタリアへ行ってしまった。
What do you like about her?	彼女のどこがいいのか。
She has seen better days.	彼女にも全盛時代があった。
They were through with work.	彼らが作業を終えた。
We think that he will come.	彼は来るだろうと思う。
He has gone to Hokkaido.	彼は北海道に行ってしまった。
He working all right.	彼は申し分なくよくはたらいている。
He made us do the work.	彼は私たちにその仕事をさせた。
Will he come this evening?	彼は今夜来るでしょうか。
What is he up to now?	彼は今何の仕事をしているのですか。
He is a Newton of our day.	彼は現代のニュートンだ。
He has seen better days.	彼は以前は羽振りがよかった。
He is not what he used to be.	彼は以前とは違う。
He has come from Boston.	彼はボストンからやってきた。
I think he can't do that.	彼はそれができないと思う。
He came back from Canada.	彼はカナダから帰ってきた。
He has gone to Britain.	彼はイギリスへ行ってしまった。
He has gone to America.	彼はアメリカへ行ってしまった。
He has gone to America.	彼はアメリカに行ってしまった。
He came back before eight.	彼は８時前に帰ってきた。
What do you think he did?	彼が何をしたと思いますか。
What do you think of Japan?	日本をどう思いますか。
How long will it take?	日にちはどのくらいかかりますか。
You shouldn't go to work.	職場には出ないでください。
Do you think it will work?	上手くいくと思いますか。
You can take your time.	自分のペースでやってください。
I know her very well.	私は彼女をとても良く知っています。
I handed the mike to him.	私は彼にマイクを手渡した。
I thought he would come.	私は彼が来るだろうと思った。
I have to do my best.	私は最善を尽くさなければならない。
I will be sixteen in May.	私は５月には１６歳になる。
I don't work on Sunday.	私は、日曜日には仕事をしない。
This is all I have to say.	私の言い分はこれだけだ。
You had best go with me.	私と行けば一番いいんだろう。
Do I need to go there?	私がそこに行く必要がありますか。
I take back what I said.	今言ったことは取り消します。
This will do for now.	今のところそれで間に合うでしょう。
All right. I'll take it.	結構です。それにしましょう。
You were taken in by her.	君は彼女にだまされたのだ。
You'll come to like her.	君は彼女が好きになるだろう。
What are you getting at?	君は何を言おうとしているの。
What are you going to be?	君は何になるつもりですか。
Who did you give it to?	君はそれを誰に上げたのですか。
What time shall I come?	何時にお伺いいたしましょうか。
What are you getting at?	何をおっしゃりたいのですか。
What are you getting at?	何がおっしゃりたいのですか。
Work is all in all to me.	わたしには仕事が一番です。
I'd better be on my way.	もう帰らなくてはなりません。
Mary is such a worrywart.	メアリーは本当に心配症ね。
It's all over between us.	僕たちの仲はもう終わりだ。
I'd like to go to Hawaii.	ハワイに行きたいものです。
I don't know what to say.	なんて謝ったらいいかなあ。
How did it come about?	どのようにしてそれは起こったの。
Can you make it on time?	それを間に合わせられるかい。
It's not us who did it.	それをしたのは私たちではない。
How did it come about?	それはどうして起こったのですか。
It is no use going there.	そこへ行っても仕方がない。
