Wrong.	違うんだ。
The Japanese have dark eyes.	日本人は目が黒い。
The two roads join here.	二つの通りがここで交わる。
Move along, please!	道をふさがないで先にどんどん歩いて！
The phone is out of order.	電話が故障しています。
Don't get so carried away.	調子に乗りすぎるなよ。
I don't have a thing to wear.	着る物がないの。
Everyone speaks well of him.	誰もが彼を誉める。
Everyone knows the law.	誰もがその法律を知っている。
Has anyone asked for me?	誰か私に会いにきましたか。
Who wrote this letter?	誰がこの手紙を書いたのですか。
Who ruled this country?	誰がこの国を支配していたか。
Osamu Dazai killed himself.	太宰治は、自殺した。
Don't worry about others.	他人のことは気にするな。
The ship changed its course.	船は進路を変えた。
The ship soon came into view.	船が見えてきた。
Hold the line, please.	切らずにそのままお待ち下さい。
Risk all and gain all.	身を捨ててこそ浮かぶ瀬もあれ。
I'm going to buy a new car.	新車を買うつもりだ。
The color will not go off.	色はさめないでしょう。
The color has come out well.	色の上がりがよい。
There is no paper to write on.	書く紙がない。
Wait for your turn, please.	順番をお待ち下さい。
Will you please help me?	手伝っていただけませんか。
You shall listen to us.	私達の言うことを聞きなさい。
Please leave me alone.	私を一人にしておいてください。
I want to make her happy.	私は彼女を幸福にしたい。
I listened to her story.	私は彼女の話に耳を傾けた。
I gave my horse its head.	私は馬を好きに走らせた。
I go to church on Sunday.	私は日曜日に教会に行く。
I work in a special unit.	私は特殊部隊に勤務する。
I can't stand the heat.	私はこの暑さにたえられない。
I'm paid by the hour.	私は時間給で時間をもらっている。
I am ready to help you.	私は喜んであなたを助けよう。
I like to draw pictures.	私は絵を描くのが好きです。
I've broken my glasses.	私はめがねを壊してしまった。
I proved it to be true.	私はそれが真実だと証明した。
I want to buy the dress.	私はそのドレスを買いたい。
I like this blue dress.	私はこの青いドレスが好きだ。
My Chinese did not pass.	私の中国語は通じなかった。
Please give me some water.	私に水をくれませんか。
Please tell me the truth.	私に真実を話して下さい。
I have nothing to write.	私には書くことが何もない。
We talked over the phone.	私たちは電話で話をした。
We named the dog Pochi.	私たちは犬をポチと名づけた。
We enjoy watching TV.	私たちはテレビを見て楽しみます。
Please bring the others.	残りを持って来てください。
I didn't dream last night.	昨夜は夢を見なかった。
I enjoyed myself last night.	昨晩は楽しかった。
I didn't dream last night.	昨日は夢をみなかった。
My wife looked surprised.	妻は驚いたように見えた。
Take the road on the left.	左の道を行って下さい。
You aren't yourself today.	今日は君らしくないな。
Cold this morning, isn't it?	今朝は寒いですね。
Please contact me later.	後で私に連絡してください。
Please call me up later.	後で私に電話をして下さい。
I'd like to page someone.	呼び出しをお願いします。
You keep a dog, don't you?	犬を飼っているんだね。
The dog ran around a tree.	犬は木の周りを走った。
We are worried about you.	君のことを心配している。
Show me what you bought.	君が買った物を見せなさい。
Either you or I am wrong.	君か私のどちらかが悪い。
I'm not pressed for money.	金には困っていないよ。
She has a good memory, too.	彼女は記憶力もいい。
You have to be patient.	気長に構える必要があります。
Good morning, everyone.	皆さん、おはようございます。
We fought for everyone.	我々はみんなのために戦った。
Why are you so happy?	何をそんなに喜んでいるのですか。
Don't leave it up to chance.	運まかせにするな。
To tell a lie is wrong.	嘘をつくことは間違っている。
Where are my glasses?	わしのメガネはどこにいったんだ？
My hand's getting too cold.	もう手が冷たくって。
Read it once more, please.	もう一度読んでごらん。
It seemed rather bad.	むしろ悪くなっているようだった。
Betty drives fast.	ベティは車を運転するとスピードを出す。
Please turn over the page.	ページをめくりなさい。
Anyone can do that.	どんな人でもそれをすることができる。
Tom applied for the job.	トムはその仕事に応募した。
How long have you waited?	どのくらい待ちましたか。
Close the door, please.	どうぞドアをしめてください。
Take this seat, please.	どうぞこの席にお座り下さい。
Please take care of yourself.	どうぞお大事に。
Open the window, please.	どうか窓を開けてください。
Please don't mind me.	どうか私にかまわないでください。
Do come in, please.	どうか、ぜひお入りになってください。
There's a dog by the door.	ドアの側に犬がいます。
Give me a drink, please.	ちょっと一杯飲ませてくれ。
I'd like to check out.	チェックアウトしたいのですが。
It took just an hour.	たった１時間しかかからなかった。
I have no money to buy it.	それを買うお金がない。
Please say it by heart.	それをそらで言ってください。
It sounds like a dream.	それは夢のように思われます。
The promise still holds.	その約束はまだ生きている。
Let's wait around for her.	その辺で彼女を待とう。
The car doesn't run fast.	その車は、速く走らない。
Don't approach the dog.	その犬に近寄ってはいけない。
Don't approach the dog.	その犬に近寄ってはならない。
Don't go near the dog.	その犬に近づいてはいけません。
The house has been bought.	その家は買い取られた。
How did you like the film?	その映画はどうだった。
Then you will be happy.	するとあなたは幸せでしょう。
We'll check on it right now.	すぐに点検します。
Please come back at once.	すぐに帰ってきて下さい。
George seems a good boy.	ジョージはいい少年らしい。
Please give me your attention.	ご注目下さい。
Would you care to join me?	ご一緒にいかがですか。
I wonder whose car this is.	これは誰の車かしら。
Please buy me this book.	この本を私に買って下さい。
Let's wind up our work.	この辺で仕事を切り上げよう。
This wall feels cold.	この壁は触ると冷たい感じがする。
We ended this discussion.	この討論を終わりにした。
Is this seat taken?	この席はどなたかいらっしゃいますか。
This job is killing me.	この仕事、死ぬほどしんどい。
This film develops fast.	このフィルムは現像が早い。
Write it down here, please.	ここに書いて下さい。
Here's a fine how-do-you-do.	こいつは困ったぞ。
It is likely to be fine.	おそらく天気になるだろう。
When did you buy the watch?	いつ時計を買ったの。
I'm always under pressure.	いつも緊張しています。
It seems to be a good house.	いい家のようです。
Are those your pictures?	あれらはあなたの絵ですか。
One day he killed himself.	ある日、彼は自殺した。
How fast that horse runs!	あの馬の速くはしること！
I wonder who that girl is.	あの女の子は誰だろう。
How beautiful you are!	あなたは何と美しいのでしょう。
Carry on with your work.	あなたの仕事を続けなさい。
I enjoyed your company.	あなたと御一緒で楽しかった。
That's $7.65, please.	７ドル６５セント、お願いします。
Please come in three days.	３日後に来てください。
Let's begin at page 30.	３０ページから始めましょう。
I will be back in an hour.	１時間で戻ってきます。
I will be back in an hour.	１時間で帰ってきます。
Ann likes music very much.	アンは音楽が大好きだ。
He noticed my presence.	彼は私のいるのに気がついた。
He might not be happy.	彼は幸せではないかもしれない。
In fact, we worry about it.	こちらの方が心配をする
Let's look at the site then.	当時のサイトを見よう
I like big-sister types.	姉さんタイプの女の人が好きだ
He got the cold shoulder.	彼が全く相手にされなかった
He called the cell phone.	彼がその携帯に電話を掛けた
X was proven 10 years ago.	Xが１０年前に証明された
Please go on with your story.	話を続けて下さい。
I can't keep my eyes open.	目を開けていられません。
The light came on suddenly.	明かりがパッとついた。
I run as fast as Jim.	僕はジムと同じくらい走るのが速い。
I like this color as well.	僕はこの色もまた好きだ。
Let me buy you another one.	別のを買わせて下さい。
Being poor, he can't buy it.	貧しいので買えない。
She is gaining in weight.	彼女は目方がふえつつある。
She was subject to cold.	彼女は風邪を引きやすかった。
She is not always happy.	彼女は必ずしも幸福ではない。
She turned around suddenly.	彼女は突然振り向いた。
She came across the street.	彼女は通りを横切った。
She found a man dead.	彼女は男が死んでいるのを見つけた。
She promised me to come.	彼女は私に来ると約束したよ。
She was dressed in black.	彼女は黒衣をまとっていた。
She is loved by everyone.	彼女は皆から好かれている。
She is loved by everyone.	彼女は皆から愛されている。
She had her dress made.	彼女はドレスを作ってもらった。
She wrote me back soon.	彼女はすぐに私に返事をくれた。
She sent this book to me.	彼女はこの本を私に送った。
She always looks happy.	彼女はいつも幸せそうに見える。
She always looked happy.	彼女はいつも幸せそうだった。
She'll do it in 24 hours.	彼女は２４時間でできます。
Do you ever date her?	彼女とデートすることはありますか。
She can only trust him.	彼女が信頼できるのは彼だけだ。
They did me a great wrong.	彼らは私を不当に扱った。
They are a good couple.	彼らはお似合いのカップルです。
He will be really pleased.	彼は本当に喜ぶでしょう。
He was in bed with a cold.	彼は風邪で寝込んでいた。
He walked across the street.	彼は通りを横切った。
He looked down at the floor.	彼は床を見下ろした。
He waved me away.	彼は手を振って私にあっちにいけと合図した。
He is, indeed, a hard worker.	彼は実に勉強家だ。
He kept a seat for me.	彼は私に席を取っておいてくれた。
He sent me a present.	彼は私にプレゼントを送ってくれた。
He did me a great wrong.	彼は私にひどい仕打ちをした。
He is in high spirits today.	彼は今日は上機嫌だ。
I wonder where he is now.	彼は今どこにいるのかしら。
It seemed that he was fine.	彼は元気だったらしい。
He looked at me in surprise.	彼は驚いて私を見た。
He was blue from the cold.	彼は寒さで青ざめていた。
He was blue with cold.	彼は寒さでまっさおになっていた。
He is doing fine in school.	彼は学校の成績がいい。
He likes music very much.	彼は音楽がとても好きです。
He was seated all alone.	彼は一人ぼっちで座っていた。
He will be a good husband.	彼はよい夫になるだろう。
He is quite in the wrong.	彼はまったく間違っている。
How fast does he run?	彼はどのくらいの速さで走りますか。
They looked very happy.	彼女らはとても幸せそうだった。
He looked very happy.	彼はとてもうれしそうに見えました。
He saved a lot of money.	彼はたくさんのお金を貯めた。
Need he run so fast?	彼はそんなに速く走る必要があるのか。
The idea grew on him.	彼はその考えに取り付かれていった。
He took part in the race.	彼はそのレースに参加した。
He seems like a good person.	彼はいい人のようだ。
He run on for half an hour.	彼は３０分走り続けた。
He has written two books.	彼は２冊の本を著している。
He works eight hours a day.	彼は１日に８時間働く。
He has an eye for art.	彼は、芸術に対する鑑賞力がある。
I wonder why he is late.	彼の帰りの遅いのが気になる。
He has no eye for beautiful.	彼には審美眼がない。
He is not up to the task.	彼にはその仕事ができない。
A white ship came into view.	白い船が見えてきた。
Carry your head high.	背筋をしゃんと伸ばして歩きなさい。
The horse would not move.	馬は頑として動かなかった。
On Sunday, I go to church.	日曜には私は教会に行く。
Don't play in the street.	道路で遊んではいけません。
You are wanted on the phone.	電話がかかってるよ。
Everyone's saying it.	誰もがみんな口々にいいあっている。
It's nothing to worry about.	大したことはないよ。
Did you enjoy your visit?	滞在中は楽しかったですか。
Please be kind to others.	他人に親切にしてください。
It seems to be clearing up.	晴れてきたようですね。
Mr Hoshino is hard to please.	星野氏は気難しい。
The figures add up to 230.	数字は合計２３０となる。
The water ran over the banks.	水は堤防を越えた。
Life is full of chances.	人生は可能性でいっぱいです。
A wonder lasts but nine days.	人の噂も七十五日。
Happy New Year, Louise!	新年おめでとう、ルイーズさん！
Will you take a check?	小切手で受け取ってもらえますか。
"I forgot," she answered.	女性は「忘れた」と答えた。
The heat really gets me.	この暑さには全くまいります。
Are you ready to set off?	出発の準備はできましたか。
Name and address, please.	住所氏名を言ってください。
I enjoy taking pictures.	写真をとるのは楽しいものだ。
Did you study by yourself?	自分ひとりで勉強したの？
Sometimes I get out of line.	時々脱線するんです。
I sometimes see him on TV.	時々彼をテレビで見るよ。
I'm going out in an hour.	一時間したら行ってきます。
I am pressed for time.	時間がなくてたいへん困っている。
We carried out that plan.	私達はその計画を実行した。
We named the dog Tim.	私達は、その犬をティムと名づけた。
Please show me around.	私をあちこちに案内してください。
I'm immediately behind her.	私は彼女のすぐ後ろだ。
I met her three days ago.	彼女には３日前に会ったよ。
I looked him in the eyes.	私は彼の目をまともに見た。
I walked along the street.	私は通りにそって歩いた。
I ran as fast as I could.	私は出来るだけ速く走った。
I am writing a letter.	私は手紙を書いているところです。
I sometimes dream of home.	私は時々故郷の夢を見る。
I am interested in music.	私は音楽に興味があります。
I like English and music.	私は英語と音楽が好きです。
Either way's fine with me.	私はどちらでも結構です。
I added a room to my house.	私は１部屋建て直した。
My seat is this window seat.	私の席は窓側ですね。
Please answer my question.	私の質問に答えて下さい。
My sister is in her twenties.	私の姉は２０代だ。
My plan is to buy a car.	私の計画は車を買うことです。
Give me some water, please.	私に水を少しください。
Give me the same, please.	私にも同じものをください。
We walked along the street.	私たちは通りを歩いた。
We call our dog Pochi.	私たちの犬をポチと呼んでいます。
May I put my seat back?	座席の背を倒してもいいですか。
Keep to the left, please.	左側通行を守ってください。
Have you got a cold now?	今風邪をひいているのですか。
I wish it were fine today.	今日は天気ならいいのに。
How fine it is today.	今日はなんて天気が良いのでしょう。
It is very cold this morning.	今朝はとても寒い。
The blood was a dark color.	血はどす黒かったです。
You've given me your cold.	君は僕に風邪をうつした。
Who are you waiting for?	君は誰を待っているのですか。
Are you writing a letter?	君は手紙を書いていますか。
Money does not grow on trees.	金は木に生えない。
Please make yourself at home.	気軽にして下さい。
He was saved by a hair.	間一髪のところで彼は助かった。
It was you that were wrong.	間違っていたのは君だ。
The air felt a little cold.	外気は少し冷たかった。
With kind regards to you all.	皆さんによろしく。
The fire started immediately.	火がすぐに付いた。
What did you buy it for?	何のためにそれを買ったのか。
Music moves the feelings.	音楽は気持ちを動かします。
The music made the show.	音楽でそのショーは当たった。
I saw a town in the distance.	遠方に街が見えた。
It is wrong to tell a lie.	嘘を付くのは悪いことだ。
Take the road on the right.	右の道を行って下さい。
We've run short of oil.	われわれは石油が不足している。
How about another round?	もうちょっと飲んでいかない？
Don't avoid my question.	僕の質問を避けてはいけない。
He laid himself on the bed.	ベッドに身を横たえた。
Please pass me the butter.	バターを取ってください。
Why are you so happy?	なぜそんなにうれしがっているのか。
Please come dressed up.	ドレスアップしてきてください。
Tom has grown in strength.	トムは体力がついてきた。
Please remain standing.	どうか立ったままでいて下さい。
Please turn on the TV.	テレビのスイッチを入れて下さい。
Walk as fast as possible.	できるだけ速く歩きなさい。
Enjoy life while you may.	できるうちに人生を楽しめ。
Please help me with this.	ちょっと手伝ってください。
Hold your horses, young man.	ちょっと待って、君。
It was a chance meeting.	それは偶然の出会いであった。
Is that your carry-on?	それが機内持ち込みの荷物ですか。
Hand me that book, please.	その本を渡してください。
The ship gained on us.	その船は私たちの船に迫ってきた。
That car is quite up to date.	その車は最新式だ。
Don't worry about the work.	その仕事を心配するな。
I'm dead against the plan.	その計画には絶対反対だ。
Twenty years already passed.	すでに２０年経った。
I will write you back soon.	すぐに返事を書きます。
Please write back soon.	すぐに返事を書いてくださいね。
Write to him right away.	すぐに彼に手紙を書きなさい。
Jim runs as fast as Ron.	ジムはロンと同じ速さで走る。
Jane was dressed as a man.	ジェーンは男装していた。
Are you being waited on?	ご用をお伺いしておりますか。
May I have your order, please?	ご注文をどうぞ。
Please sign your name here.	ご署名をお願いします。
Write your address, please.	ご住所をお書き下さい。
Could you take this, please?	これをお願いします。
This size doesn't fit me.	これはサイズが合いません。
This dream will come true.	この夢は実現するだろう。
This rule does not apply.	この規則は当てはまらない。
How much is this dress?	このワンピースはいくらですか。
Please let me off here.	このあたりで降ろしてください。
Write your address here.	ここに住所を書いてください。
Stay here and wait for him.	ここで彼を待ちなさい。
Don't worry, be happy!	くよくよしないで、楽しく行こう！
Carl looked very happy.	カールはとても嬉しそうだった。
You trust people too much.	お前は人を信じすぎだよ。
Can I have some water, please?	お水をください。
What's your daughter's name?	お嬢さんのお名前は？
I'm trying to save money.	お金を貯めようとしている。
May you both be happy!	おふたりが幸せでありますように。
Please make yourself at home.	おくつろぎ下さい。
He is too ready to speak.	あの男はおしゃべりすぎる。
That big one is also mine.	あの大きいのも私のです。
That blue one is also mine.	あの青いのも私のです。
He is directly above me.	あの人が私の直属の上司です。
How fast that dog runs!	あの犬は何と速く走るのだろう。
You don't like music.	あなたは音楽が好きではありません。
How long did you wait?	あなたはどのくらい待ちましたか。
May I use your phone?	あなたの電話を使ってもいいですか。
I received your letter.	あなたの手紙を受け取りました。
I'll never forget you.	あなたのことは決して忘れません。
It is still as cold as ever.	相変わらずまだ寒い。
It's even very cold in May.	５月でさえとても寒い。
That's a beautiful dress.	とてもすてきな洋服ですね。
She came down with a cold.	彼女は風邪でダウンした。
Sorting will be done by hand.	人が選別業務をします
Someone has said clearly ～.	〜と誰かがはっきり言った
My skin is in good condition.	とても肌の調子が良い
X doesn't carry much weight.	Xにはあまり意味が無い
I really wonder about X.	私がXをつくづく疑問に感じます
I did not feel very cold.	私はあまり寒さを感じなかった
X received a lot of support.	Xが多くの支持を集めた
My husband finally came home.	ようやく旦那が帰った
He looks for the full picture.	彼が全貌を探ります
He always forgets the time.	彼がついつい時間を忘れる
Everyone held the thought.	誰もが、想いを胸にいだいた
He has five dogs at home.	彼が家で犬を５匹飼っています
Everyone asks me if it's X.	Xかとみんなが私に尋ねる
What color is good for me?	自分にはどんな色が似合うか
Give him my best regards.	あの方にくれぐれもよろしく。
I see the point of the argument.	論点がわかる。
Bring me some cold water.	冷たい水を持ってきて下さい。
You needn't worry too much.	余り心配しなくていいよ。
I didn't enjoy it very much.	余り楽しくなかったな。
Name and address, please.	名前と住所を言ってください。
Let sleeping dogs lie.	眠っている犬はそのままにしておけ。
My hair has grown too long.	僕の髪は長くなり過ぎた。
Don't forget to add me in.	忘れずに仲間に入れてくれ。
Don't forget to add me in.	忘れずに私を入れてくれよ。
Please go on with your study.	勉強を続けて下さい。
Look at the picture on the wall.	壁の絵を見て。
Everything has its limit.	物には限界というものがある。
Read "Gone With The Wind".	「風と共に去りぬ」を読む。
How much is the room charge?	部屋代はいくらですか？
Is there anyone in the room?	部屋には誰かいますか。
My father drinks no spirits.	父は蒸留酒は飲まない。
My father works for a bank.	父は銀行に勤めています。
Mt. Fuji is very beautiful.	富士山はとてもきれいだ。
Poor as he is, he is happy.	貧乏だけれど彼は幸福だ。
Want is the mother of industry.	貧困は勤勉の母。
She is in a green dress.	彼女は緑色のドレスを着ている。
She was down on her husband.	彼女は夫を嫌っていた。
She has a beautiful voice.	彼女は美しい声をしている。
She has large blue eyes.	彼女は大きな青い目をしている。
She is dressed in her best.	彼女は晴れ着を着ている。
She is a good friend of mine.	彼女は私の親友です。
She writes with her left hand.	彼女は左手で書く。
I don't think she is happy.	彼女は幸せでないと思う。
She wore a simple dress.	彼女は簡素なドレスを着ていた。
She was listening to music.	彼女は音楽を聞いていた。
She is interested in music.	彼女は音楽に興味がある。
She kept her eyes closed.	彼女は目を閉じたままでいた。
She is known to everyone.	彼女はみんなに知られている。
She chose the red dress.	彼女はその赤いドレスを選んだ。
She carried out the plan.	彼女はその計画を成し遂げた。
She will grow on John.	彼女はジョンの心をとらえるだろう。
I like her sister very much.	彼女の妹はとても好き。
I can't take my eyes off her.	彼女に見とれちゃう。
They may yet be happy.	彼らもいつか幸福になる日もあろう。
They supplied money to him.	彼らは彼にお金を与えた。
They searched for the girl.	彼らはその少女を捜した。
He is a boy with many dreams.	彼は夢多き少年です。
He walked along the street.	彼は通りを歩いて行った。
He is a promising young man.	彼は前途有望な青年だ。
He has learned to be patient.	彼は辛抱強くなった。
He made a small dog house.	彼は小さな犬小屋を作った。
He was affected by the heat.	彼は暑さに当てられた。
He writes me once a week.	彼は週に１回手紙をくれます。
He was run over and killed.	彼は車に轢かれて死んだ。
He seated himself next to me.	彼は私の隣に座った。
He wrote me a long letter.	彼は私に長い手紙をくれた。
He was dressed in black.	彼は黒ずくめの服装をしていた。
He has no manners at all.	彼は行儀作法を全く知らない。
He made a positive answer.	彼は肯定的な答えを出した。
He was by no means happy.	彼は決して幸福ではなかった。
He is interested in music.	彼は音楽に興味があります。
He watched from a distance.	彼は遠くから眺めていた。
He seems to have told a lie.	彼は嘘をついたらしい。
He turned up an hour later.	彼は一時間遅れて現れた。
He is quite young in spirit.	彼はまったく気が若い。
He grew larger and larger.	彼はだんだん大きくなった。
He wanted to buy the book.	彼はその本を買いたかった。
He may wait no longer.	彼はこれ以上待てないかもしれない。
He is free from money worry.	彼はお金の心配がない。
He seems to be lying.	彼はうそをついているように思われる。
He is rather hard to please.	彼はいささか気難しい。
He turned up an hour later.	彼は１時間遅れで現れた。
Please wait on him first.	彼に先に食事を出して下さい。
I saw him cross the street.	彼が道路を渡るのを見た。
Ability alone is not enough.	能力がすべてではない。
Heat is a form of energy.	熱はエネルギーの一種である。
Japan is a beautiful country.	日本は美しい国です。
Japan is full of surprises!	日本は驚きでいっぱいだ。
No wonder you are so happy.	道理で、君が喜ぶわけだ。
Let me buy you a new one.	同じのを買わせてちょうだい。
Keep the change, please.	釣り銭は取っておいてください。
Don't run across the street.	通りを走って横切るな。
I waited for her a long time.	長い間彼女をまった。
The man came to a dead stop.	男はぴたりと止まった。
Take a deep breath, please.	息を深く吸ってください。
Take a breath and hold it.	息を吸って、止めて下さい。
You should keep early hours.	早寝早起きをすべきだ。
You should keep early hours.	早寝早起きをしなさい。
The red dress became her.	赤いドレスは彼女に似合った。
Please do so by all means.	是非ともそうしてください。
It will be a nine-day's wonder.	人の噂も７５日。
I'll be with you in spirit.	心はあなたと共に居ます。
I'd like to pay by check.	小切手で支払いたいのですが。
Please speak in a low voice.	小声で話してください。
Are you ready to go out?	出かける準備はできていますか。
It was about the tenth hour.	時は１０時ごろだった。
We have to wait for him.	私達は彼を待たねばなりません。
I don't like her manner.	私は彼女の態度が気にくわない。
I waited for her to speak.	私は彼女が話すのを待った。
I want to surprise him.	私は彼をあっと言わせてやりたい。
I waved my hand to them.	私は彼らに向かって手を振った。
I trusted him with the money.	私は彼に金を預けた。
I had a chance to see him.	私は彼と会う機会があった。
I saw him cross the road.	私は彼が道路を渡るのを見た。
I met Fred on the street.	私は通りでフレッドに会った。
I held my breath and waited.	私は息を殺して待った。
I work for an oil company.	私は石油会社に勤めている。
Will you please help me?	私を手伝っていただけませんか。
I am writing a letter.	私は今手紙を書いているところです。
I am writing a letter now.	私は今手紙を書いています。
I was too happy to sleep.	私は幸福すぎて眠れなかった。
I saw an old friend of mine.	私は古い友人に会った。
I always had my eye on you.	私は君に目をつけていた。
I always keep my promises.	私は嘘をついたことがない。
That's just fine with me.	私はそれで一向に構いません。
I was moved by the music.	私はその音楽に感動しました。
I visited Kyoto long ago.	私はずっと前に京都に行った。
I'll never forget you.	私はいつまでもあなたを忘れません。
I ran as fast as possible.	私はできるだけ速く走った。
My temperature is 38 degrees.	私は熱が３８度ある。
Please take me to my seat.	私の席に案内してください。
Listen to me, will you?	私の言うことを聞いてくださいね。
Please note my words.	私のことばを注意して聞いてください。
Please show me this book.	私にこの本を見せてください。
We bought a round table.	私たちは丸いテーブルを買った。
In my eyes, he is wrong.	私から見れば彼が間違っている。
I feel so happy today.	私、今日はとっても幸せな気分なの。
Is death the only release?	死のみが唯一の解放なのか。
Please answer the phone.	済みません、電話に出て下さい。
There isn't much wind today.	今日は風があまりない。
There is little wind today.	今日はほとんど風がない。
London must be cold now.	今頃ロンドンは寒いに違いない。
She said that she was happy.	幸せだと彼女は言った。
Please stand face to face.	向かい合って立って下さい。
Give me your attention, please.	御注目ください。
The dog came running to me.	犬は私の方に走ってきた。
A dog can see in the dark.	犬は暗い所でも目が見える。
Don't worry about the results.	結果は気にするな。
You have no sense of direction.	君は方向音痴だ。
You didn't have to dress.	君は正装する必要は無かった。
Write your address here.	君の住所をここにお書きなさい。
I would like your picture.	君の写真が欲しいのですが。
What's become of your dog?	君の犬はどうなりましたか。
Open your book to page nine.	九ページを開きなさい。
Your daughter's on drugs.	貴殿の娘さんは麻薬漬けです。
May I have the check, please?	勘定をお願いします。
Each is good in its degree.	皆それぞれ取り柄がある。
The meeting lasted two hours.	会合は２時間続いた。
We learn to read and write.	我々は読み書きをならう。
Please do something about it.	何とかしてください。
I saw a house in the distance.	遠くの家が見えた。
What hours is it open?	営業時間は何時から何時までですか？
Help yourself to a drink.	飲み物を自由にお取り下さい。
Where is the nearest bank?	一番近い銀行はどこですか。
A day has twenty-four hours.	一日は二十四時間ある。
What on earth is the problem?	一体全体問題は何か。
Will you join me for a drink?	一緒に飲みませんか。
Latin is a dead language.	ラテン語は死んだ言語である。
Please say it once more.	もう一度おっしゃってください。
It's the dead of the night.	もうすっかり真夜中です。
Mayuko came directly home.	マユコはまっすぐ帰宅した。
Please let me speak first.	まず私に話させてください。
May I speak to Mike, please?	マイクをお願いします。
Mike is one of our brains.	マイクはブレーンの一人だ。
Please show me another one.	ほかのを見せてください。
I wonder which way to go.	どちらへ行けばよいのだろう。
He was put to death finally.	とうとう彼は殺された。
It seems to have worn out.	とうとうガタがきたようだ。
Please leave me alone.	どうか、私をほっておいてください。
So I can make music.	だから音楽を作り出すことができるのだ。
Can it really be mine?	それは本当に僕のものなんだろうか。
That applies to him too.	それは彼についても当てはまる。
How long ago was that?	それはどのくらい前のことでしたか。
I passed on the job to him.	その仕事を彼にゆずった。
The dog was out of breath.	その犬は息を切らしていた。
This dog is almost human.	その犬はまるで人間みたいだ。
Put the money in the bank.	その金を銀行に預けなさい。
The argument will not hold.	その議論は成りたたない。
How much were the glasses?	その眼鏡はいくらだったの。
I will write to him at once.	すぐ彼に手紙を書こう。
Jane looks very happy.	ジェーンはとても幸福そうに見える。
Jane looks very happy.	ジェーンはとても幸せそうにみえる。
Here, please have a seat.	さあ、どうぞお掛けください。
Are you ready to order now?	ご注文はお決まりですか？
Beyond this I know nothing.	これ以外は何も知らない。
All these books are mine.	これらの本は全部私の物です。
Check these papers over.	これらの書類に目を通してくれ。
This problem is beyond me.	この問題は私には解らない。
Hold fast to this tree.	この木にしっかりつかまりなさい。
Does your dress become me?	この服は私に似合いますか。
Let's keep an eye on this.	この事を注意して見守ろう。
The dog is as good as dead.	この犬は死んだも同然だ。
The glass is full of water.	コップは水でいっぱいだ。
The glass broke to pieces.	コップがこなごなに割れた。
Let's take a picture here.	ここで写真をとりましょう。
Kelly's voice carries well.	ケリーの声は、よく通る。
How far is it to the green?	グリーンまでどれくらい？
I'm very happy to know you.	お目にかかれて幸いです。
I'm pleased to see you.	お目にかかれてうれしく存じます。
May I use your phone?	お電話をお借りしてもよろしいですか。
You gave me the wrong change.	おつりが違いますよ。
Wait until further notice.	おって通知があるまで待て。
Our dog has gone away.	うちの犬がどこかへ行ってしまった。
Vienna is a beautiful city.	ウィーンは美しい都市だ。
I'm always under stress.	いつもストレスを感じています。
He seems like quite a find.	いい人みたいじゃないか。
Open your eyes to reality.	いい加減に現実をみつめろ。
Alice didn't see the dog.	アリスはその犬を見なかった。
Don't work yourself too hard.	あまり無理するなよ。
How old that dog is!	あの犬はなんて年をとっているのだろう。
How old is that church?	あの教会はどのくらい古いですか。
You will write a letter.	あなたは手紙を書くつもりです。
I'm happy to see you.	あなたにお目にかかれてうれしいです。
Add 5 to 3 and you have 8.	３に５を加えると８になる。
It'll pass in a few days.	２、３日もすればよくなるよ。
I was feeling blue all day.	１日中憂鬱な気分だった。
We will leave in an hour.	１時間後に出発するつもりだ。
I'll be back in an hour.	１時間経過すれば戻ってきます。
I will call you in an hour.	１時間したら電話します。
I have few pictures on hand.	手元にほとんど写真が無い
Return to the top of the page.	ページのＴＯＰに戻る
Return to the top of the page.	ページのトップへ戻る
He immediately bought a CD.	彼が早速１枚のＣＤを買った
The party finally started.	いよいよパーティーが始まった
As much as 100 years passed.	１００年に及ぶ年月を経た
The leaves have begun to color.	葉が色付き始めた。
Don't go back on your promise.	約束を破らないでよ。
The leaves fell to the earth.	木の葉が地上に落ちた。
I go to church every Sunday.	毎日日曜教会へ行きます。
I feel good in a special way.	僕は特別気持ちがいい。
I am not in the least happy.	僕は少しも幸せじゃない。
I started last in the race.	僕はスタートで一番遅れた。
I feel the cold very much.	僕には寒さがひどくこたえる。
There isn't anyone in the room.	部屋に誰もいない。
She kept her eyes closed.	彼女は目を閉じたままであった。
She writes me every week.	彼女は毎週私に手紙を書きます。
She is in bed with a cold.	彼女は風邪を引いて寝ている。
She said she had a cold.	彼女は風邪を引いていると言った。
She is wearing a long face.	彼女は浮かぬ顔をしている。
She wore a beautiful dress.	彼女は美しいドレスを着た。
She applied to him for help.	彼女は彼に助けを求めた。
She is in low spirits today.	彼女は今日、元気がない。
She is as beautiful as ever.	彼女は相変わらず美しい。
She tried on a new dress.	彼女は新しいドレスを試着した。
She writes a very good hand.	彼女は字がすごくうまい。
She has her heart in music.	彼女は音楽に集中している。
She likes music very much.	彼女は音楽がとても好きです。
She's in the least worried.	彼女はとても気にしていた。
Where did she buy a book?	彼女はどこで本を買いましたか。
She dressed herself quickly.	彼女はすばやく服を着た。
