I run.	私は走ります。
We'd better get a move on.	さっさと行ったほうがいい。
This is a present for you.	これは君へのプレゼントだ。
What time did you come home?	いつ帰宅したのですか。
Take England for example.	イギリスを例にとって見よう。
Do you live in Sasayama?	あなたは篠山に住んでいますか。
Come to my house at eight.	８時に私の家に来て下さい。
I found them all but one.	１つを除いて全部見つかった。
She lives in New York.	彼女はニューヨークで暮らしている。
They are thinking something.	彼らがなにかを考えている
I just can't understand it.	私には全く理解が出来ません
Such person was there too.	あそこにもそんな奴が１人居た
Mr. Yamada always said 〜.	〜といつも山田先生が仰いました
I don't live in Maigo now.	現在は舞子に住んでいません。
I can't find what I want.	欲しいものが見つからないんだ。
Keep the room in good order.	部屋を整頓しときなさい。
Don't run around in the room.	部屋の中で走り回るな。
Can I go out of the room?	部屋からでてきてもいいですか。
Keep as many as you need.	必要なだけおもち帰りください。
They moved to a new house.	彼等は新しい家へ引っ越した。
She has something different.	彼女は他の人と一味違う。
She was at home in English.	彼女は英語に堪能であった。
Does she always go there?	彼女はいつもそこに行きますか。
Her name was Agnes then.	彼女の名前は当時アグネスだった。
I found out where she was.	彼女が何処にいるかが解った。
They moved to a new house.	彼らは新しい家に引っ越した。
They have no house to live in.	彼らは住む家がない。
Do they love each other?	彼らはお互いに愛し合っているの？
He likes to live in Tokyo.	彼は東京に住むのが好きです。
He does not live in Sendai.	彼は仙台に住んではいない。
He came home just now.	彼はちょうど今、帰ってきたところだ。
He came back last August.	彼はこの前の８月に戻ってきた。
It is always the case with him.	彼はいつもそうだ。
Will he come home at six?	彼は６時に帰宅するでしょうか。
Let him say what he will.	彼に言いたい事を言わせておけ。
He has no room to study in.	彼には勉強する部屋がない。
I would like some more water.	水のお代わりを下さい。
We want a house of our own.	自分たちの持ち家が欲しい。
I'd like to order the same.	私も同じものを注文します。
I can't help loving her.	私は彼女を愛さずにはいられない。
I know where he lives.	彼がどこに住んでいるのか知ってるよ。
I'll work as long as I live.	私は生きている限り働く。
I'll never let you down.	私は決してあなた失望させません。
Do you know what I mean?	私の言いたいことが分かりますか。
We lived in Paris before.	私たちは以前パリにすんでいた。
We had little water.	私たちには水が少ししかありませんでした。
Love me little, love me long.	細く愛して長く愛して。
Go and see him in person.	行って直接彼に会ってきなさい。
Light has come into the world.	光が世にやって来た。
The old house was taken down.	古い家が取り壊された。
We work for our living.	我々は生活のかてを得るために働く。
There's no place like home.	我が家ほどいいものはない。
Will you give me a light?	煙草の火を貸してくれませんか。
There is no place like home.	わが家にまさる所はない。
I should have come earlier.	もっと早く来るべきだった。
It's time for us to go home.	もう私たちが帰る時間だ。
You may as well go home now.	もう帰ったらどうですか。
Mary understands Chinese.	メアリーは中国語がわかります。
Tom helped me to move.	トムは私の引っ越しを手伝ってくれた。
Let me have a look at it.	それをちょっと見せてください。
It is out of the question.	それはとてもできない相談だ。
The old man said something.	その老人は何か言いました。
John lives in New York.	ジョンはニューヨークに住んでいる。
Is Mr Schmidt at home now?	シュミット氏はご在宅ですか。
Jane is loved by Peter.	ジェーンはペーターに愛されている。
Now let's get down to work.	さあ、仕事にとりかかろう。
This is as large as that.	これはあれと同じくらい大きい。
This house has six rooms.	この家には部屋が６つあります。
Canada is larger than Japan.	カナダは日本より大きい。
What time do you go home?	あなたは、何時に帰宅しますか。
Let me give you an example.	あなたに例を示しましょう。
Archie made a move on her.	アーチーは彼女に言い寄った。
I can't understand X at all.	Xが私には全く理解できない
Just 13 people? That's all?	１３人？たったそんだけかよ。
Can I get you another one?	別のを買わせてもらえるかなあ。
She changed her name to Ann.	彼女は名前をアンに変えた。
She lives in a large house.	彼女は大きな家に住んでいる。
She gave us a present.	彼女は私たちにプレゼントをくれました。
She lives in a large house.	彼女は広い家に住んでいます。
She came to like the house.	彼女はその家が好きになった。
I would like to know her name.	彼女の名前を知りたい。
He is a man of understanding.	彼は物わかりのよい人だ。
Japan is smaller than Canada.	日本はカナダより小さい。
Is Mr Fujiwara at home now?	藤原氏は今ご在宅でしょうか。
Many hands make light work.	多くの人手は仕事を軽くする。
Could you show me another one?	他のを見せてください。
Getting up early is very good.	早起きはたいへんよい。
I'm used to getting up early.	早起きになれているから。
You should have come earlier.	早くこればよかったのに。
There were fifty persons in all.	全部で５０人いた。
What did you do last Sunday?	先週の日曜日は何をしたの？
Many hands make light work.	人手が多ければ仕事は楽しい。
I'll never let you down.	私は決してあなたを失望させません。
I can't keep up with you.	私はあなたにはついていけません。
I can't live without you.	私はあなたなしでは生きられない。
I have four people in my family.	私は４人家族です。
I'm used to getting up early.	私は早起きになれている。
When he saw me, he ran away.	私の姿を見ると彼は逃げた。
What did you open it with?	君はそれをなにで開けましたか。
I don't get what you mean.	君の言いたいことが分からない。
Something is being looked for.	何かが求められている。
I've got something on you.	俺はお前の尻尾をつかんでいる。
My love has gone far away.	俺の愛は遠くに行ってしまった。
It's you I'll always love.	俺が愛するのは永遠にお前だけ。
Mayuko came out of the room.	マユコが部屋から出てきた。
Get up as early as you can.	できるだけ早く起きなさいよ。
Let's get out of here.	ちょいとここらで河岸をかえましょうや。
Let's not think like that.	そんな風に考えるのはやめよう。
It moved closer and closer.	それはだんだん近づいてきた。
He gave it a new name.	そこで彼は、それに新しい名前を付けた。
But now I live in Tokyo.	しかし、今住んでいるのは東京です。
Give my love to your family.	ご家族の皆さんによろしく。
I have no further questions.	これ以上質問はありません。
Let this be an example to you.	これを戒めとしなさい。
What goes on in this room?	この部屋で何が起こるのですか。
What does this kanji mean?	この漢字はどういう意味ですか。
Twenty families live here.	ここには２０家族が住んでいる。
Did you use to live here?	ここにかつて住んでいたのですか。
Let's go back the way we came.	来た道を戻りましょう。
You get up early, don't you?	あなたは早起きでしょうね。
I didn't get your name.	あなたの名前が聞き取れませんでした。
I want to make love with you.	あなたと愛をかわしたい。
The closest I have is a 38.	３８サイズならあるんですが。
I'd like to change my room.	部屋を代えてほしいのですが。
I've always end up going for X.	Xについつい手が伸びた
Which country are you from?	あなたはどこの国の出身ですか。
I'd like a room in the back.	裏側の部屋に替えてください。
The room was in good order.	部屋はきれいに整頓されていた。
When did you see her last?	彼女を最後に見たのはいつですか。
They work only during the day.	彼らは昼間だけ働きます。
Not all of them are present.	彼らはだれも出席していない。
It is always the case with them.	彼らはいつもそうだ。
Their names are Tom and Ken.	彼らの名前はトムとケンです。
He moved from place to place.	彼は各地を転々と移動した。
He comes here every few days.	彼は数日おきにここに来る。
He has been loved by all.	彼はみんなにずっと愛されています。
Let me go in place of him.	彼の代わりに僕を行かせて下さい。
I'd like to move to the country.	田舎に引っ越したい。
I'm used to getting up early.	早起きには慣れているんだ。
Should we get up earlier?	私達はもっと早く起きるべきだろう。
I live at Akasaka in Tokyo.	私は東京の赤坂に住んでいます。
I did it against my will.	私は自分の意志に反してそれをした。
I see you every now and then.	私はあなたを時々見掛ける。
When did you see him last?	最後に彼にあったのは何時ですか。
Would you make room for me?	座席をつめていただけませんか。
I can't see what you mean.	君の言うことの意味が分からない。
The Kamo runs through Kyoto.	鴨川は京都市を貫流している。
What do you do for a living?	何の仕事をしているのですか。
Can't you do something to help me?	何とかしてよー。
There must be another way.	何か別の方法があるに決まってる。
I didn't mean to do that.	わたしはそうするつもりは無かった。
Mary has just come home.	メアリーはただいま戻ったところです。
Will you let me see you again?	また会ってもらえるかな？
Let's make it some other time.	またの機会にしましょう。
