Perfect!	完璧だ！
She was in the eighth grade.	彼女は８年生だった。
She'll do it in 24 hours.	彼女は２４時間でできます。
She had her only son die.	彼女は１人息子に死なれた。
Her time is drawing near.	彼女の死期は近づいている。
She can only trust him.	彼女が信頼できるのは彼だけだ。
They sent for the doctor.	彼らは医者を呼びにやった。
They have a nice house.	彼らはすてきな家を持っている。
They are a good couple.	彼らはお似合いのカップルです。
Their son's name is John.	彼らの息子の名はジョンだ。
He works even late at night.	彼は夜遅くでも働く。
He thanked me with his eyes.	彼は目で礼を言った。
He is popular with his men.	彼は部下に人気がある。
He waits on an old lady.	彼は年輩の婦人に仕えている。
He walked across the street.	彼は通りを横切った。
He is a very nice student.	彼は大変立派な学生です。
He's perfect at everything.	彼は全ての点で完璧だ。
He did not speak at all.	彼は全くものを言わなかった。
He used to be a nice boy.	彼は昔、よい男の子だった。
He passed through the woods.	彼は森を通り抜けた。
He looked down at the floor.	彼は床を見下ろした。
Women didn't care for him.	彼は女に好かれなかった。
He did not put up his hand.	彼は手を挙げなかった。
He had a book in his hand.	彼は手に本を持っていた。
He has made his way in life.	彼は自力で出世した。
He got through his work.	彼は自分の仕事をやり終えた。
He set his house on fire.	彼は自分の家に放火をした。
He did the work on his own.	彼は自営業をしていた。
He tried opening the door.	彼は試しにドアを開けた。
He lives next door to us.	彼は私達の隣に住んでいる。
He is very friendly to us.	彼は私達に友好的である。
He dropped in at my house.	彼は私の家を訪ねてきた。
He kept a seat for me.	彼は私に席を取っておいてくれた。
He got us nice seats.	彼は私たちによい席を取ってくれた。
He got through with his work.	彼は仕事を終えた。
He fell down in the mountain.	彼は山中で倒れた。
It seemed that he was fine.	彼は元気だったらしい。
He is close with his money.	彼は金にしみったれだ。
He is far from perfect.	彼は完全だなんてとんでもない。
Not a word did he speak.	彼は一言も口をきかなかった。
He looked like a doctor.	彼は医者のように見えました。
He took a trip to Europe.	彼はヨーロッパへ旅行した。
He doesn't have any pets.	彼はペットを飼っていない。
They looked very happy.	彼女らはとても幸せそうだった。
He looked very happy.	彼はとてもうれしそうに見えました。
He is in front of the door.	彼はドアの前にいます。
He looked in at the door.	彼はドアからのぞきこんだ。
The idea grew on him.	彼はその考えに取り付かれていった。
He is master of this house.	彼はこの家の主人です。
He never keeps his word.	彼はけっして約束を守らない。
He zipped open his bag.	彼はかばんのジッパーを開けた。
He is not always late.	彼はいつも遅刻するわけではない。
He was more or less drunk.	彼はいくぶん酔っていた。
He seems like a good person.	彼はいい人のようだ。
I believe he is a nice guy.	彼はいいやつだと思う。
He is full of new ideas.	彼はアイディアに富んでいる。
He lives three doors off.	彼は３軒先に住んでいます。
He run on for half an hour.	彼は３０分走り続けた。
He is in his early thirties.	彼は３０代の初めだ。
He works eight hours a day.	彼は１日に８時間働く。
He had the gas cut off.	彼は、ガスの供給を止められた。
His story sounds true.	彼の話はもっともらしく聞こえる。
Don't you know his name?	彼の名前を知らないんですか。
I can't remember his name.	彼の名前を思いだせない。
Do you remember his name?	彼の名前を覚えていますか。
I know what his name is.	彼の名前が何か知っています。
His life is free from care.	彼の生活は心配がない。
His home country is Germany.	彼の故国はドイツだ。
Don't go against his wishes.	彼の意向に逆らうな。
His opinions are variable.	彼の意見は変化しやすい。
His opinion doesn't count.	彼の意見は重要ではない。
His opinions carry weight.	彼の意見には重みがある。
His money was all gone.	彼のお金は全部なくなっていた。
He has no eye for beautiful.	彼には審美眼がない。
He is not up to the task.	彼にはその仕事ができない。
He and I walked together.	彼と私はいっしょに歩いた。
Her eyes are rolled back.	彼女が白目をむいています。
Carry your head high.	背筋をしゃんと伸ばして歩きなさい。
The horse would not move.	馬は頑として動かなかった。
Don't speak in Japanese.	日本語で話してはいけません。
Japan is an industrial nation.	日本は工業国だ。
All at once, he spoke out.	突然彼がしゃべり出した。
May I use your telephone?	電話を使ってもいいですか。
Shall I draw a map for you?	地図をかきましょうか。
The price is none too high.	値段は決して高くない。
Everyone's saying it.	誰もがみんな口々にいいあっている。
Are you looking for someone?	誰かをお探しですか。
The great fish eat the small.	大魚は小魚を食う。
There is a cat in the kitchen.	台所に猫がいる。
Did you enjoy your visit?	滞在中は楽しかったですか。
I couldn't agree with you more.	全く同感です。
The choice is all up to you.	選択は全く君次第だ。
Can I speak to the doctor?	先生と話したいのですが。
Where is the Customs Service?	税関はどこですか。
It seems to be clearing up.	晴れてきたようですね。
There is no hope of success.	成功の見込みはない。
A few days later, he came.	数日後、彼はやってきた。
The water is deepest here.	水はここがいちばん深い。
Happy New Year, Louise!	新年おめでとう、ルイーズさん！
The floor is made of boards.	床は板でできている。
The heat really gets me.	この暑さには全くまいります。
Well begun, well finished.	初めよければすべてよし。
Spring is followed by summer.	春の後に夏が来る。
Are you ready to set off?	出発の準備はできましたか。
I was interviewed for a job.	就職の面接を受けた。
I enjoy taking pictures.	写真をとるのは楽しいものだ。
I'm going out in an hour.	一時間したら行ってきます。
We carried out that plan.	私達はその計画を実行した。
I live with my parents.	私は両親と一緒に住んでいます。
I gave in to her demands.	私は彼女の要求に屈服した。
I turned to him for advice.	私は彼に忠告を求めた。
I made him paint the house.	私は彼に家を塗らせた。
I agree to go with him.	私は彼と行くことに同意します。
I let the cat into my room.	私は猫を部屋に入れた。
I talked on the telephone.	私は電話で話をしました。
I walked along the street.	私は通りにそって歩いた。
I had my watch repaired.	私は時計を修理してもらった。
I am loved by my parents.	私は両親に愛されています。
I knew that all along.	私は最初からその事は知っていた。
I take a vacation this week.	私は今週休暇を取る。
I'm looking forward to it.	私は楽しみにしています。
I want something to eat.	私は何か食べるものが欲しい。
I want something to drink.	私は何か飲む物がほしい。
I had a good night's rest.	私は一晩ぐっすり眠った。
I quite agree with you.	私はまったくあなたに賛成です。
I don't know for certain.	私ははっきりとは知らない。
I just finished the work.	私はちょうど仕事を終えた。
I know it well enough.	私はそれを十分良く知っています。
I finished reading the book.	その本を読み終えた。
I don't go in for sports.	私はスポーツはやりません。
I don't care for sports.	私はスポーツが好きではない。
I know nothing but this.	私はこれだけしか知りません。
I was on a trip to India.	私はインドへ旅行中だった。
I don't drink much wine.	私はあまりワインを飲まない。
I'd like to dance with you.	私はあなたと踊りたい。
I quite agree with you.	私はあなたと全く同じ意見です。
I quite agree with you.	私は、まったく君と同意見です。
My seat is this window seat.	私の席は窓側ですね。
Please take my advice.	私のアドバイスを聞き入れなさい。
It's double Dutch to me.	私には全くわけがわからない。
I have nothing to live for.	私には生き甲斐がない。
I have nothing to say.	私には何も言うことがありません。
We have a cat and a dog.	私たちは猫と犬を飼っている。
We dance along the street.	私たちは道路で踊ります。
We walked along the street.	私たちは通りを歩いた。
We knew it all along.	私たちはそれを初めから知っていた。
We named the cat Mimi.	私たちはその猫をミミと名付けた。
My work is almost finished.	仕事はおよそ終わった。
What happened last night?	昨夜、何があったんですか。
Mark your maximum efforts.	最大限の努力をしなさい。
How are you getting along?	最近はどんな具合ですか。
May I put my seat back?	座席の背を倒してもいいですか。
Let's eat in this evening.	今晩は家で食べましょう。
I feel rather off today.	今日はあまり調子が良くない。
The park is well wooded.	公園は樹木がよく茂っている。
I'll call him back later.	後でまた彼に電話をします。
Don't leave the door open.	戸を開けっ放しにするな。
If you get shot, you'll die.	撃たれりゃ死ぬわな。
Who are you waiting for?	君は誰を待っているのですか。
Do you play any sports?	君は何かスポーツをやりますか。
I'll act on your advice.	君の忠告に従って行動します。
Your son has come of age.	君の息子も青年になったね。
I'm sure of your success.	君の成功を確信しています。
Your house needs repairing.	君の家は修理が必要だ。
You shall want for nothing.	君には不自由させない。
I'll drive you to the airport.	空港まで送るよ。
Money does not grow on trees.	金は木に生えない。
Do get up, it's very late.	起きなさい、もう遅いよ。
He was saved by a hair.	間一髪のところで彼は助かった。
I can't thank you enough.	感謝のしようもありません。
Don't be late for school.	学校に遅れてはいけません。
It's been nice meeting you.	会えて嬉しかったです。
What would you like to eat?	何を召し上がりますか。
I don't feel like anything.	何もする気になれない。
Give me something to drink.	何か飲むものを下さい。
I need some good advice.	何かいい知恵がないものかね。
I saw a town in the distance.	遠方に街が見えた。
I'd like to master English.	英語がうまくなりたい。
How did you enjoy the movie?	映画はどうでしたか。
May I offer you a drink?	飲み物を差し上げましょうか。
I feel like having a drink.	一杯やりたいきがする。
The doctor called him back.	医者は彼を呼び戻した。
Let's send for the doctor.	医者に往診してもらおう。
Why not see the doctor?	医者にみてもらったらどうかね。
Mr Ito will call the roll.	伊藤先生が出席をとるよ。
How well Aoi dances!	葵さんは何と踊るのが上手なのだろう。
I have a cat and a dog.	わたしは犬と猫を飼っています。
We walked among the trees.	私たちは木の間を歩いた。
May I see the wine list?	ワインリストを見せて下さい。
I'm listening to the radio.	ラジオを聞いています。
We have our backs to the wall.	もう後がないぞ。
How about another round?	もうちょっと飲んでいかない？
Meg has a cat as a pet.	メグはペットに猫を飼っている。
I think I'll come back later.	また後ほど来ます。
Can I have a Band-Aid?	バンドエードか包帯、ありますか。
Please show me your bag.	バッグを私に見せてください。
I don't know for certain.	はっきりとは知らないんだ。
The party broke up late.	パーティーはおそく散会した。
New York is a huge city.	ニューヨークは巨大な都市だ。
Why are you so happy?	なぜそんなにうれしがっているのか。
What's this chair doing here?	なあに、その椅子？
What sports do you like?	どんなスポーツが好きですか。
Tom hid under the table.	トムはテーブルの下に隠れた。
Where shall I drop you off?	どこで君を降ろそうか。
Don't leave the door open.	ドアを開けておかないで。
Will you open the door?	ドアをあけてくださいませんか。
Please turn on the television.	テレビをつけて。
Walk as fast as possible.	できるだけ速く歩きなさい。
Enjoy life while you may.	できるうちに人生を楽しめ。
Hold your horses, young man.	ちょっと待って、君。
I want someone to talk to.	だれか話し相手がほしい。
I'd like a double room.	ダブルルームをおねがいします。
Actually, that's what I thought.	だと思った。
You may have it for nothing.	ただで差し上げます。
I do nothing of the kind.	そんなこと、絶対しないよ。
It has resulted in nothing.	それは無駄に終わった。
It rests on your decision.	それは君の決心しだいだ。
I think it's a good idea.	それはいい考えだとおもう。
Is that your carry-on?	それが機内持ち込みの荷物ですか。
The trip cost me a lot.	その旅行はとても金がかかった。
Can you measure the length?	その長さを測れますか。
The news broke his heart.	その知らせで彼は失望した。
That car is quite up to date.	その車は最新式だ。
How are you getting along?	その後どうしていますか。
How deep is that lake?	その湖はどのくらい深いのですか。
The house is under repairs.	その家は修理中である。
I can make nothing of it.	その意味が全然わからない。
The party was a success.	そのパーティーは成功だった。
That's why I was late.	そういうわけで遅くなったのです。
Do you like playing sports?	スポーツは好きですか。
Then I'll come again later.	じゃまた後から来ます。
Jim got down from the tree.	ジムは、木から降りた。
Are you being waited on?	ご用をお伺いしておりますか。
This is an important theory.	これは大切な理論だ。
This makes no sense.	これは何のことかチンプンカンプンだ。
This size doesn't fit me.	これはサイズが合いません。
This dream will come true.	この夢は実現するだろう。
This report is not perfect.	この報告書は不十分だ。
This tool is of great use.	この道具は実に役に立つ。
We agree on this point.	この点ではあなたと同意見です。
How deep is this lake?	この湖の深さはどれくらいですか。
This rule does not apply.	この規則は当てはまらない。
Could I check my bags?	この荷物を預ける事が出来ますか。
It is nice and cool here.	ここはとても涼しくていい。
Did you see a bag here?	ここに鞄がありませんでしたか。
Stay here and wait for him.	ここで彼を待ちなさい。
Please turn up the gas.	ガスの火を大きくしてください。
Carl looked very happy.	カールはとても嬉しそうだった。
I can't thank you enough.	お礼の申し上げようもない。
Is your mother at home?	お母さんはいらっしゃいますか。
You trust people too much.	お前は人を信じすぎだよ。
Would you care for drinks?	お飲み物はいかがですか。
Have you finished it already?	おやもう済んだの。
May you both be happy!	おふたりが幸せでありますように。
Mr Wood had no sons.	ウッドさんには息子がいませんでした。
Our cat is in the kitchen.	うちの猫は台所にいます。
I always walk to school.	いつも歩いて登校しているよ。
I'm fine, too, thank you.	ありがとう、私も元気です。
That shop has many customers.	あの店は客が多い。
He is too ready to speak.	あの男はおしゃべりすぎる。
He is directly above me.	あの人が私の直属の上司です。
The woman served her purpose.	あの女は用済みだ。
How high mountain that is!	あの山はなんて高いんだ。
Is that dog male or female?	あの犬はオスかメスか。
Do you walk to school?	あなたは学校に歩いていきますか。
How long did you wait?	あなたはどのくらい待ちましたか。
I hope for your success.	あなたの成功を望んでいます。
We do need your advice.	あなたの助言が是非とも必要だ。
Do you have any brothers?	あなたには兄弟がいますか。
Draw a line from A to B.	ＡからＢまで線をひきなさい。
Ken hit on a good idea.	ケンはうまい考えを思いついた。
It will be half of the amount.	２分の１の額とする
My skin is in good condition.	とても肌の調子が良い
He has his own firm will.	彼がしっかり自分の意志を持つ
X doesn't carry much weight.	Xにはあまり意味が無い
It has almost no effect on X.	Xにあまり効果が無い
He actually uses the camera.	彼が実際にカメラを使う
It's very useful to people.	それがとても人の役に立つ
Quite a lot of people came.	結構、多くの人が来ました
He chooses his favorite color.	彼が好みの色を選ぶ
Someone calls me like this.	こう、誰かが私を呼びます
Many experts point out X.	Xを多くの専門家が指摘します
X happens quite often to me.	Xが私には良くあります
An effect was seen in 98%.	９８％に効果が認められます
Everyone held the thought.	誰もが、想いを胸にいだいた
Everyone asks me if it's X.	Xかとみんなが私に尋ねる
Several problems will occur.	幾つかの問題が生じます
Its/His/Her profile is beautiful.	横顔が美しい
It met certain standards.	それが一定の基準をクリアした
Today is our regular closing day.	本日定休日。
Rest one's theory on facts.	理論を事実に基づかせる。
Thank you for coming.	来てくださってありがとうございます。
I didn't enjoy it very much.	余り楽しくなかったな。
Nothing can come of nothing.	無から有は生じ得ない。
I made an abstract of a book.	本の要点を抜粋した。
We played around the farm.	僕達は農場の近くで遊んだ。
We have nothing in common.	僕らには何も共通点がない。
I can't think of his name.	僕は彼の名を思い出せない。
I'm sure about his name.	彼の名前はちゃんと知ってるよ。
My hair has grown too long.	僕の髪は長くなり過ぎた。
Where is your mother, boy?	坊やおかあさんは何処だい。
Mother is calling me home.	母は私に帰れと呼んでいる。
Look at the picture on the wall.	壁の絵を見て。
Everything has its limit.	物には限界というものがある。
Read "Gone With The Wind".	「風と共に去りぬ」を読む。
Is there anyone in the room?	部屋には誰かいますか。
Would you like regular prints?	普通でいいですか。
Mt. Fuji is very beautiful.	富士山はとてもきれいだ。
Where is the ladies' room?	婦人用手洗いはどこですか。
Want is the mother of industry.	貧困は勤勉の母。
He makes necessary changes.	彼は必要な変更を加える。
She stopped our fighting.	彼女は僕等の喧嘩を制止した。
She painted the walls white.	彼女は壁を白く塗った。
She works for a hospital.	彼女は病院につとめています。
She has a beautiful voice.	彼女は美しい声をしている。
She took care of his wound.	彼女は彼の傷を手当した。
She is nothing to him.	彼女は彼にとってなんでもない人だ。
She spoke in a small voice.	彼女は小さい声で話した。
She took me for my brother.	彼女は私を兄と間違えた。
She doesn't speak to me.	彼女は私に口もきいてくれない。
I don't think she is happy.	彼女は幸せでないと思う。
She was listening to music.	彼女は音楽を聞いていた。
She speaks good English.	彼女は英語を上手に話しますね。
She is known to everyone.	彼女はみんなに知られている。
She hit upon a good idea.	彼女はふと名案を思いついた。
She took a trip to Paris.	彼女はパリに旅行に出かけた。
She carried out the plan.	彼女はその計画を成し遂げた。
She lives quite close by.	彼女はすぐそばに住んでいる。
She will grow on John.	彼女はジョンの心をとらえるだろう。
What will happen to her?	彼女の身に何が起こるのだろう。
They may yet be happy.	彼らもいつか幸福になる日もあろう。
The news made them happy.	彼らは知らせを聞いて喜んだ。
Learning runs in their blood.	彼らは学者の血筋だ。
He made his parents happy.	彼は両親を幸せにしました。
He paid a visit to his friend.	彼は友人を訪ねた。
He is a boy with many dreams.	彼は夢多き少年です。
He is a man with enterprise.	彼は冒険心を持つ男だ。
He looks old for his age.	彼は年の割には老けて見える。
He looks young for his age.	彼は年の割には若作りだ。
He looks old for his age.	彼は年齢の割に老けて見える。
He walked along the street.	彼は通りを歩いて行った。
He drew on others for help.	彼は他人の援助に頼った。
He made his son a chair.	彼は息子に椅子を作ってやった。
He became a nice young man.	彼は素敵な若者になった。
He grew up to be a doctor.	彼は成長して医者になった。
He thought up a new idea.	彼は新しい考えを思いついた。
He was affected by the heat.	彼は暑さに当てられた。
He's quite able at his job.	彼は十分その職に堪える。
He was run over and killed.	彼は車に轢かれて死んだ。
He has a house of his own.	彼は自分の家を持っている。
He held out his hand to me.	彼は私に手をさしだした。
He thanked me for coming.	彼は私がきたことに感謝した。
He has gone out for a walk.	彼は散歩に出かけました。
He looks young for his age.	彼は歳の割に若く見える。
He made a positive answer.	彼は肯定的な答えを出した。
He was by no means happy.	彼は決して幸福ではなかった。
He left his safe in my care.	彼は金庫を私に預けた。
He built his house on rock.	彼は岩の上に家を建てた。
He offered his help to us.	彼は我々に援助を申し出た。
He watched from a distance.	彼は遠くから眺めていた。
He can't speak English.	彼は英語を話すことができません。
He started to speak English.	彼は英語を話し始めた。
He speaks English a little.	彼は英語を少し話します。
He turned up an hour later.	彼は一時間遅れて現れた。
He is a man of his word.	彼はちゃんと約束を守る人です。
He thought of a good idea.	彼はよい考えを思いついた。
He repairs his own car.	彼はマイカーの修理を自分でする。
He is nothing but a child.	彼はほんの子供に過ぎない。
He tried to open the door.	彼はドアを開けようとした。
He grew larger and larger.	彼はだんだん大きくなった。
He made his way to the room.	彼はその部屋へ進んだ。
He made his way to the room.	彼はその部屋に進んだ。
He walked past the house.	彼はその家を通り過ぎました。
He knew it all along.	彼はそのことを初めから分かっていた。
He may wait no longer.	彼はこれ以上待てないかもしれない。
He's always late for class.	彼はいつも授業に遅れる。
He is rather hard to please.	彼はいささか気難しい。
He is an artist in a sense.	彼はある意味で芸術家だ。
He turned up an hour later.	彼は１時間遅れで現れた。
He speaks Japanese well.	彼は、日本語を上手に話します。
He kept walking all the day.	彼は一日中歩き続けた。
His name is Tomoyuki Ogura.	彼の名前は小倉知之です。
His story was interesting.	彼の物語はおもしろかった。
Bear his advice in mind.	彼の忠告を肝に銘じて忘れるな。
What has become of his son?	彼の息子はどうなったか。
His success is in question.	彼の成功には疑問がある。
His study faces the park.	彼の書斎は公園に面している。
His car fell into the lake.	彼の車は湖の中に落ちた。
His children have grown up.	彼の子供たちは成長した。
His words were as follows:	彼の言葉は次の通りだった。
Please wait on him first.	彼に先に食事を出して下さい。
He is certain to turn up.	彼が姿を見せることは確実だ。
Heat is a form of energy.	熱はエネルギーの一種である。
Japan is a beautiful country.	日本は美しい国です。
I'd like to call my parents.	親に電話したいのです。
Are you old enough to vote?	投票ができる年齢ですか。
May I use your telephone?	電話をお借りしたいのですが。
My telephone is out of order.	電話は故障している。
We take telephone orders.	電話でも受け付けていますよ。
Don't run across the street.	通りを走って横切るな。
I waited for her a long time.	長い間彼女をまった。
Better late than never.	遅くなっても何もないよりはまし。
No one believed his story.	誰も彼の話を信じなかった。
Who painted this picture?	誰がこの絵を描いたのですか。
Someone is at the front door.	誰かが玄関にいるよ。
Large cars use lots of gas.	大型車はガソリンを食う。
The sun gives light and heat.	太陽は光と熱を出す。
My son shall do the work.	息子にその仕事をやらせよう。
Run, or else you'll be late.	走らないと遅れますよ。
You should keep early hours.	早寝早起きをすべきだ。
You should keep early hours.	早寝早起きをしなさい。
Overall we are on schedule.	全体的には予定通りです。
I'll drop you a few lines.	数行、手紙を書き送ります。
He reached his goal at last.	遂に彼は目的を達した。
A man is known by his friends.	人は友達でわかる。
The evidence was against me.	証拠は私に不利だった。
Please speak in a low voice.	小声で話してください。
Never keep a lady waiting.	女性を待たせてはいけない。
Are you ready to go out?	出かける準備はできていますか。
He lives above his means.	収入以上の暮らしをしている。
May I have your next dance?	次に踊ってもらえますか。
What are the measures of time?	時間の単位は何か。
It was about the tenth hour.	時は１０時ごろだった。
We walked along side by side.	私達は並んで歩いた。
We have to wait for him.	私達は彼を待たねばなりません。
Nice seeing you, too.	私もお目にかかれて嬉しかったですわ。
I walk to school every day.	毎日学校へ歩いていくよ。
I had to walk home.	私は歩いて家に帰らなければならなかった。
I almost never met her.	私は彼女とほとんど会わなかった。
I waited for her to speak.	私は彼女が話すのを待った。
I considered him a friend.	私は彼を友人と考えていた。
I took him out for a walk.	私は彼を散歩に連れ出した。
I am sure of his success.	私は彼の成功を確信している。
I don't support his ideas.	私は彼の思想には組しない。
I did so at his request.	私は彼の依頼でそうしたのです。
I got him to repair my car.	私は彼に車を修理させた。
I trusted him with the money.	私は彼に金を預けた。
I couldn't speak Japanese.	私は日本語を話せなかった。
I speak a little Japanese.	私は少し日本語を話します。
I finished writing a letter.	私は手紙を書き終えた。
I bought a watch with cash.	私は時計を現金で買った。
I have nothing to do today.	私は今日することが無い。
I had no choice but to go.	私は行くより仕方なかった。
I like both dogs and cats.	私は犬も猫も両方好きです。
I had my house painted.	私は家にペンキを塗ってもらった。
I don't have any brothers.	私は一人も兄弟がいません。
I am majoring in medicine.	私は医学を専攻しています。
I'd better not eat that.	私はそれを食べないほうが良い。
I am interested in sports.	私はスポーツに興味がある。
I thought of a good idea.	いい考えを思い付いたんだよ。
I quite agree with you.	私はあなたとまったく同意見です。
I agree with your opinion.	私はあなたの意見に賛成だ。
I never agree with him.	私は、決して彼には同意しません。
My mother cleans the room.	私の母が部屋を掃除します。
Please take me to my seat.	私の席に案内してください。
My work is almost finished.	私の仕事は大概片付いた。
Listen to me, will you?	私の言うことを聞いてくださいね。
My brother lives in Tokyo.	私の兄は東京に住んでいる。
My house is backed by woods.	私の家の後ろは森です。
Let me know by telephone.	私に電話で知らせてください。
I haven't many brothers.	私には兄弟がたくさんいません。
We walked along the river.	私たちは川に沿って歩いた。
We speak English in class.	私たちは授業中英語を使う。
We took a walk in the park.	私たちは公園を散歩した。
We bought a round table.	私たちは丸いテーブルを買った。
We painted the door green.	私たちはドアを緑に塗った。
We danced to the music.	私たちはその曲にあわせて踊った。
I want nothing but health.	私が欲しいのは健康だけだ。
I will explain it to her.	私が彼女にそれを説明します。
If only I were a doctor.	私が医者であればいいのになあ。
I feel so happy today.	私、今日はとっても幸せな気分なの。
There is nothing like a walk.	散歩程よい物はない。
Won't you go for a walk?	散歩にお出かけになりませんか。
We had a nice time last night.	昨夜は楽しかった。
We haven't seen her of late.	最近彼女を見かけない。
I go to the hospital today.	今日私は病院に行きます。
There isn't much wind today.	今日は風があまりない。
I have nothing on for today.	今日は何の予定も無い。
There is little wind today.	今日はほとんど風がない。
That's enough for today.	今日はこのくらいにしておこう。
She said that she was happy.	幸せだと彼女は言った。
Where is a public telephone?	公衆電話はどこですか。
Shall I call you up later?	後ほどお電話しましょうか。
Shall I call you up later?	後で電話をかけましょうか。
I'll come to pick it up later.	後で取りに来ます。
I'll call you back later.	後でこちらからお電話します。
Let's talk before fighting.	喧嘩する前に話し合おう。
The decision rests with him.	決定は彼しだいである。
The plans have been drawn up.	計画が出来上がった。
Both the brothers were out.	兄弟二人とも留守だった。
You have a way with women.	君は女性の扱い方がうまい。
You should give up drinking.	君は酒をやめるべきだ。
You are as white as a sheet.	君は顔色がまっ青だよ。
Is this your son, Betty?	君の息子さんですか、ベティー。
I will do anything for you.	君のためなら何でもする。
I agree with you to a degree.	幾分は君に賛成です。
I can't thank you enough.	感謝のしようもございません。
The meeting lasted two hours.	会合は２時間続いた。
We have limited resources.	我々は資源が限られている。
Our work is almost over.	我々の仕事はほとんど終わった。
How was your summer vacation?	夏休みはどうだった？
It's no use trying anything.	何をやっても無駄だよ。
Do you have anything hot?	何か熱い飲み物がありますか？
Give me something to drink.	何か飲み物を私に下さい。
Give me something to drink.	何か飲みものをください。
Something is hiding me off.	何かがオレを覆い尽くす。
Where's your better half?	奥さんはどこに行っちゃたの。
I saw a house in the distance.	遠くの家が見えた。
To master English is hard.	英語を習得するのは難しい。
Where is English spoken?	英語はどこで話されていますか。
What hours is it open?	営業時間は何時から何時までですか？
A day has twenty-four hours.	一日は二十四時間ある。
What on earth is the problem?	一体全体問題は何か。
Will you join me for a drink?	一緒に飲みませんか。
The doctor gave it to her.	医者は彼女にそれを与えた。
I'd like to see a doctor.	医者に診てもらいたいのです。
I was also not a bad mother.	悪い母親でもなかった。
Aoi dances very well.	葵さんは踊るのが何と上手なのだろう。
I always walk to school.	私はいつも徒歩で通学している。
We'd like to have some wine.	ワインをいただきます。
Has Lucy telephoned yet?	ルーシーはもう電話しましたか。
Meg agreed to Ken's plan.	メグはケンの意見に賛成した。
Everyone is friendly to her.	みんな彼女に親切です。
Mayuko came directly home.	マユコはまっすぐ帰宅した。
Please let me speak first.	まず私に話させてください。
May I speak to Mike, please?	マイクをお願いします。
Bob came home very late.	ボブはたいへん遅く帰ってきた。
I know nothing but this.	ぼくはこれ以外は何も知らない。
Is anyone else bidding?	ほかに値をつける人はいませんか。
Thank you for your present.	プレゼントをありがとう。
I picked up some French.	フランス語を少しかじりました。
I want Mr Brown paged.	ブラウン氏を呼び出してもらいたい。
Bill lives near the sea.	ビルは海の近くに住んでいます。
Billy is good at sports.	ビリーはスポーツがうまいです。
One of my bags is missing.	バッグが一つ見あたらない。
Every man has his price.	どんな人でも買収できるものだ。
Tony speaks English well.	トニー君は上手に英語を話す。
I had no idea what to do.	どうしていいのか分からない。
I hope you enjoy your flight.	どうか楽しい旅行を。
You must not open the door.	ドアを開けてはならない。
Who left the door open?	ドアを開けたままにしたのは誰だ。
The door remained closed.	ドアは閉じられたままだった。
The door would not open.	ドアはどうしても開かなかった。
Turn down the television.	テレビの音を小さくしなさい。
But I enjoyed farm work.	でも農場の仕事は楽しかったわ。
I feel like taking a rest.	ちょっと休憩したい気分だ。
Someone will do that job.	誰かがその仕事をするだろう。
Not a word did he speak.	ただの一言も彼は喋らなかった。
May I eat a little of it?	それを少し食べてもいいかい。
Let's finish it right away.	それをすぐ終えましょう。
Keep it in a cool place.	それは涼しい所に保存しなさい。
It makes all the difference.	それは大変な差である。
It needs to be repaired.	それは修理しなくちゃだめだよ。
It's none of my business!	それは私に関係のないことだ。
Won't it keep until later?	それは後にしてくれないか。
It's enough for five days.	それは５日間で大丈夫です。
It is none the less true.	それでもそれはやはり本当だ。
The old man died of cancer.	その老人はガンで死んだ。
Did you read the whole book?	その本全部読んだかい。
The lady is over eighty.	その婦人は８０歳を越えている。
The girl is friendly to me.	その少女は私に親切です。
The boy can count to ten.	その子は１０まで数えられる。
This dog is almost human.	その犬はまるで人間みたいだ。
How much were the glasses?	その眼鏡はいくらだったの。
The house requires repairs.	その家は大修理を要する。
Can you see the difference?	その違いが分かりますか。
Roll the ball to me.	そのボールを僕の方に転がしてください。
The news made him happy.	そのニュースは彼を幸せにした。
Then he came to his senses.	そのとき彼は我に返った。
The shirt is large for me.	そのシャツは私には大きい。
Everything looked nice.	すべてのものがすばらしく見えた。
Send for the doctor at once.	すぐ医者を呼んでくれ。
Call the doctor right away.	すぐ医者に電話しなさい。
Stop speaking right now.	すぐにしゃべるのをやめなさい。
Susie's hair is very long.	スージーの髪はとても長い。
I'd like to speak to John.	ジョンは今お手すきですか。
Please take off your shirt.	シャツを脱いでください。
Shall we take a short rest?	しばらく休憩しませんか。
Jane looks very happy.	ジェーンはとても幸福そうに見える。
Jane looks very happy.	ジェーンはとても幸せそうにみえる。
Let's drink the night away.	さあ、一晩飲み明かすぞ。
Here, please have a seat.	さあ、どうぞお掛けください。
Are you ready to order now?	ご注文はお決まりですか？
These facts are certain.	これらの事実は疑う余地はない。
Can this be his writing?	これは彼が書いたものだろうか。
This isn't finished at all.	これは全然終わってない。
Hold fast to this tree.	この木にしっかりつかまりなさい。
This method is sure to work.	この方法でうまくいく。
This car needs repairing.	この車は修理する必要がある。
This car is the latest model.	この車は最新型です。
The door will not open.	この戸がどうしても開かないんだ。
This hotel faces the sea.	このホテルは海に面している。
How much is this T-shirt?	このＴシャツはいくらですか。
The glass is full of water.	コップは水でいっぱいだ。
The glass broke to pieces.	コップがこなごなに割れた。
Thank you. Please stop here.	ここで止めてください。
Kent is a born leader.	ケントは生まれながらの指導者です。
