Duck!	頭を下げろ！
Keep your cigarettes dry.	煙草を湿らないようにしておきなさい。
I need somebody to help me.	援助してくれる人が誰か必要です。
The satellite is now in orbit.	衛星は今軌道に乗っている。
It is easy for me to swim.	泳ぐことは私にとっては簡単である。
I should like to go for a swim.	泳ぎに行きたいものです。
The athletic meeting was put off.	運動会は延期された。
The fare is one dollar each way.	運賃は片道１ドルです。
I am afraid that it will rain.	雨が降りはしないかと思う。
Don't bite on the right side.	右側ではかまないでください。
We rid his house of mice.	われわれは彼の家のねずみを退治した。
We took pride in our strength.	われわれは体力を自慢した。
Yes, I'll be right there.	わかったわ。すぐ行くから待っててね。
What's the fare to Liverpool?	リバプールまでいくらですか。
How dare you say such a thing!	よくそんなことが言えるね。
The weather has settled at last.	やっと天候が定まった。
I do not need a loan anymore.	もはやローンは必要ではない。
Could you drive more slowly?	もっとゆっくり走ってください。
I won't talk with him anymore.	もう彼とは口をきかないぞ。
Have you finished your homework?	もう宿題は終わったの？
Everybody put their foot down.	みんな地面に足を降ろそう。
Everybody is waiting for you.	みんな君を待っているんだよ。
Everybody speaks well of him.	みんなが彼のことをよく言う。
Please keep yourselves calm.	みなさん、落ち着いてください。
Bees provide honey for us.	ミツバチは我々に蜜を与えてくれる。
We still have plenty of time.	まだたっぷり時間はあります。
Please beat the rug, first.	まずその敷物をはたいてください。
You hardly ever work, do you?	ほとんど仕事しないんだろう。
I found the button loose.	ボタンが取れかけているのに気付いた。
I want to eat French cuisine.	フランス料理が食べたいです。
France is adjacent to Spain.	フランスはスペインに隣接する。
Show me your passport, please.	パスポートをお願いします。
The pilot flew the airplane.	パイロットは飛行機を操縦した。
Yes, I have seen one many times.	はい、何度もあります。
The mice ate some of the bread.	ネズミがパンをかじった。
I can't praise him enough.	どんなに彼をほめてもほめきれない。
Take steady aim at the tiger.	トラをしっかりねらいなさい。
Tom acted the part of a sailor.	トムは水夫の役を演じた。
Tom heard this and got angry.	トムはこれを聞いておこった。
It's five o'clock somewhere now.	どこかは今五時だろう。
Please speak more slowly.	どうぞもっとゆっくり話してください。
Can I use your toilet, please?	トイレをお借りできますか。
I don't have the slightest idea.	てんで見当つきません。
I am afraid I must be going now.	ではこれで失礼します。
Playing tennis is his hobby.	テニスをするのが彼の趣味です。
The dip burned my tongue.	ディップが辛くて、舌がヒリヒリした。
The swallow is a sign of summer.	ツバメは夏の前触れだ。
Swallows are flying in the sky.	つばめが空を飛んでいる。
I got a little revenge on him.	ちょっと仕返ししてやった。
Everyone is an entrepreneur.	だれもが「企業家」なのである。
Anybody can make a mistake.	だれでも間違いを犯すことがある。
Somebody caught me by the arm.	だれかが私の腕をつかんだ。
Somebody took away my bag.	だれかが私のかばんを持っていった。
Somebody is playing the piano.	誰かがピアノを弾いている。
I had trouble getting a taxi.	タクシーを拾うのに苦労した。
Can you call a taxi for me?	タクシーを呼んでもらえませんか。
The taxi is waiting outside.	タクシーが外で待っていますよ。
Diamond is essentially hard.	ダイヤモンドは本来堅いものだ。
Don't give me such a sad look.	そんな悲しい目で見ないで。
What is the harm in doing that?	それをして何が悪いのか。
That was no ordinary storm.	それはとても並の嵐ではなかった。
There followed a long silence.	それから長い沈黙が続いた。
The train is bound for Niigata.	その列車は新潟行きです。
The train is bound for London.	その列車はロンドン行きだ。
The tree was struck by lightning.	その木に雷が落ちた。
The soldier was killed in action.	その兵士は戦死した。
The soldier gave water to me.	その兵士は、私に水をくれた。
The store deals in vegetables.	その店は野菜を売っている。
The man robbed me of my purse.	その男が私の財布を奪った。
The statue is missing its head.	その像は首が欠けている。
The runner has firm muscles.	その走者は堅い筋肉をしている。
The ship will set sail at noon.	その船は正午に出航する。
The ship encountered rough seas.	その船は荒波にあった。
The boy gave a great shout.	その少年は大きな叫び声をあげた。
The girls danced in the gym.	その少女たちは体育館で踊った。
The boy adjusted his cap.	その子は帽子をきちんとかぶり直した。
That country has a mild climate.	その国は気候が温和だ。
Is there a zoo in the park?	その公園には動物園がありますか。
It shines on the beautiful sea.	その光が美しい海に輝く。
The fish tasted like salmon.	その魚はさけのような味だった。
The argument weighed with him.	その議論を彼は重要視した。
The scientist found out laws.	その科学者は法則を発見した。
The house has a southern aspect.	その家は南向きである。
The crown was set with gems.	その王冠は宝石で飾られていた。
The apple has begun to decay.	そのりんごは腐り始めている。
The boat made for the harbor.	そのボートは港の方に進んだ。
The news soon spread abroad.	そのニュースはすぐに広まった。
I'm very sad to hear that.	そのことを聞いて私はとても悲しい。
I'll bet anybody on that.	そのことなら、だれと賭をしてもいい。
That reminds me of my father.	そのことで父を思い出します。
The cliff hangs over the sea.	そのがけは海に突き出ている。
The engine is driven by steam.	そのエンジンは蒸気で動く。
Then you can sail away.	そして、あなたは出航することができます。
Excuse me, but I feel sick.	すみません、気分が悪いのですが。
Everything was burnt to ashes.	すべては燃えて灰となった。
It was a lovely autumn evening.	素晴らしい秋の晩でした。
It is hard to convince John.	ジョンを納得させるのは難しい。
George hit him in the stomach.	ジョージは彼の腹を殴った。
Have you dug up potatoes?	ジャガイモを掘ったことがありますか。
Would you like some more salad?	サラダをもう少しいかが？
Do your homework without delay.	さっさと宿題をしなさい。
You wanna help me lift this up?	これを上げるの手伝って。
This reminds me of home.	これを見ると私は故郷のことを思い出す。
These tree shut out the view.	これらの木で景色が見えない。
These animals feed on grass.	これらの動物は草食動物である。
These vegetables cook slowly.	この野菜はなかなか煮えない。
This book goes on the top shelf.	この本は戸棚の上です。
This pole is sharp at the end.	この棒は先がとがっている。
I can't get rid of this cold.	この風邪がなかなか治らない。
The air in this room is foul.	この部屋の空気は汚れている。
This cloth is made of cotton.	この布はもめんでできている。
This cat doesn't chase rats.	この猫はネズミを追いかけない。
This information is confidential.	この情報は秘密です。
The goods are exempt from taxes.	この商品は免税品です。
Can you weigh this, please?	この重さを量ってもらえませんか。
This weighed heavily on my mind.	この事で私は反問した。
Let's learn this poem by heart.	この詩を暗記しましょう。
This poem is too much for me.	この詩は私の手には負えない。
This poem is too much for me.	この詩は私には理解できない。
This magazine is widely read.	この雑誌は広く読まれている。
This country is rich in coal.	この国は石炭に恵まれている。
This country has a mild climate.	この国は気候が温暖だ。
I have to oppose this idea.	この考えには反対せざるをえない。
This chicken is fried well.	この鶏肉はよく揚げらけれている。
This picture is of my uncle.	この絵画を描いたのは叔父です。
This wine has a good bouquet.	このワインは良い香りがする。
This soup has no substance.	このスープはまったくこくがない。
This salad tastes of lemon.	このサラダはレモンの風味がある。
A lot of soldiers died here.	ここで多くの兵士たちが死んだ。
This is why I quit the job.	こういう理由で私は仕事を辞めた。
Ken easily cleared the fence.	ケンは簡単に柵を飛び越えた。
Ken decided on going abroad.	ケンは外国に行くことに決めた。
Ken climbed down from the tree.	ケンが木から下りてきた。
Cookie's house is under repair.	クッキーの家は修理中だ。
The breaking waves formed foam.	くだける波が泡を作った。
High tide is at 3 p.m. today.	きょうの満潮は午後３時です。
Carol returned to her hotel.	キャロルはホテルに戻ってきた。
The gas tank suddenly blew up.	ガスタンクが突然爆発した。
A frog came out of the water.	カエルが水の中から出てきた。
Let's hide behind the curtain.	カーテンの後ろに隠れよう。
Excuse me for interrupting you.	お話の途中ですみません。
Excuse me for interrupting you.	お話し中、ごめんなさい。
Oil is extracted from olives.	オリーブの実から油が取れる。
You are stupid, and so is he.	おまえも馬鹿なら彼もそうだ。
Thanks for the delicious meal.	おいしい食事をありがとう。
Yes, I think you ought to go.	ええ、行くべきだと思います。
You can always quit the job.	いつでもその仕事はやめられる。
No man is wise at all times.	いつでは賢い人なんていません。
You were lucky to find it.	いいのが見つかって良かったですね。
Those houses are my uncle's.	あれらの家は私の叔父の家です。
How sad that girl looks!	あの女の子はなんて悲しそうなんだろう。
That song's bound to be a hit.	あの歌は必ずヒットするよ。
That music gets on his nerves.	あの音楽は彼の気にさわる。
Do you take me for a fool?	あなたは私をばか者だと思いますか。
Do you take me for a fool?	あなたは私があほだと思ってますか。
You are liable for the debt.	あなたはその負債に責任がある。
Ireland is famous for lace.	アイルランドは刺繍で有名である。
I have a fever of 102 degrees.	１０２゜Ｆの熱があります。
"Is Ken busy?" "Yes, he is."	「ケンは忙しいですか」「はい」
He won't admit his fault.	彼はどうしても非を認めようとしない。
It's a very rocky soil, isn't it?	石の多い土地ですね。
How did you get into this mess?	このざまはどうしたんだ。
He cleans the room thoroughly.	彼がこまめに部屋の掃除をする
Knowledge is acquired naturally.	自然に知識が身につきます
First, heat fresh tap water.	まず、汲みたての水を火にかけます
He got up from bed slowly.	彼がゆっくりとベッドから体を起こした
The men appear at the entrance.	入り口に男たちが姿を見せる
The population is aging rapidly.	急速に人口の高齢化が進む
We concluded that it's better.	その方が得策との結論に至った
He will clarify the relationship.	彼が関係を明らかにする
He repeated X plenty of times.	彼がXを何回も繰り返しました
He rapped himself on the head.	彼がこつんと自分の頭を叩いた
The man slowly turned around.	男がゆっくりと後ろを振り返った
He will shout his love for his wife.	彼が妻に愛を叫ぶ
Don’t blame yourself like that.	そんなに自分を責めないでね
To show humanity even to one's enemy.	敵に塩を送る。
One pound troy weighs 12 oz.	金衡１ポンドは１２オンスである。
Smell is one of the five senses.	嗅覚は五感の一つである。
Would you mind standing aside?	脇へ寄ってくださいませんか。
They live together in unity.	彼らは仲良く一緒に暮らしている。
I'm dying for a cold drink.	冷たいものを飲みたくてたまらない。
You ought to love your neighbors.	隣人は愛すべきである。
It turned out to be a lovely day.	良い天気になりました。
I can't afford the time to travel.	旅行をする暇がない。
I left my passport somewhere.	旅券をどこかに置き忘れました。
It was the calm before the storm.	嵐の前の静けさだった。
Lightning is liable to hit metal.	雷は金属に落ちやすい。
Next year is the devil's joke.	来年のことを言えば鬼が笑う。
Avoid fried foods for a while.	揚げ物はしばらく避けなさい。
An unexpected result came about.	予期しない結果に達した。
The sunset glows in the west.	夕焼けで西の空は真っ赤に輝く。
The arrow fell wide of the mark.	矢は的からひどく外れた。
You have only to keep silent.	黙ってさえいればいいのですよ。
Wooden houses catch fire easily.	木の家は火がつきやすい。
My sister is playing with a doll.	妹は人形で遊んでいる。
My opinion is contrary to yours.	僕の意見は君のと反対だ。
My opinion is contrary to yours.	僕の意見は君とは反対だ。
I can not afford to keep a car.	僕には車を持つ余裕がない。
I can't afford to pay so much.	僕にはそんなに金は出せない。
Mom didn't look calm enough.	母は心穏やかではないようだった。
Mother often got angry with us.	母はよく私達に腹を立てた。
Unlike her mother, she is tall.	母と違って彼女は背が高い。
The soldiers were on the alert.	兵士達は厳戒体制にあった。
Soldiers are used to danger.	兵士たちは危険な事に慣れている。
When angry, count to ten.	腹が立つときは、１０までかぞえなさい。
The broad river flows slowly.	幅の広い川はゆっくりと流れる。
The wind blows against the sails.	風は帆に向かって吹く。
The room was in complete darkness.	部屋は真っ暗だった。
The room was in total disorder.	部屋は散らかり放題だった。
My father died of lung cancer.	父は肺がんで亡くなりました。
My father is absent in Tokyo.	父は東京に行っていて留守です。
My father is now traveling abroad.	父は海外旅行中です。
We have nothing to complain about.	不平はまったくない。
Poverty is alien to her nature.	貧乏は彼女の性に合わない。
Illness cut short his vacation.	病気のため休暇が中断した。
The ice has melted in the sun.	氷は日なたで溶けてしまった。
When ice melts, it becomes water.	氷が溶けると水になる。
The airplane made a safe landing.	飛行機は無事着陸した。
I don't care about the expense.	費用のことなどかまわない。
She eats nothing but vegetables.	彼女は野菜しか食べない。
She has a magnetic personality.	彼女は魅力的な人柄である。
She said she had a slight cold.	彼女は風邪気味だと言った。
She shared her husband's fate.	彼女は夫と運命をともにした。
She regarded him as stupid.	彼女は彼を間抜けな人間とみなした。
She took off the lid of the box.	彼女は箱のふたを開けた。
She planted roses in the garden.	彼女は庭にバラを植えた。
She was a genius in mathematics.	彼女は数学の天才だった。
She set about writing the essay.	彼女は随筆を書き始めた。
She ought to take a little rest.	彼女は少し休むべきです。
She need not go there herself.	彼女は自分で行く必要はない。
She shouted that she was safe.	彼女は自分が無事だと叫んだ。
She supposed me to be a doctor.	彼女は私を医者だと思った。
She ignored all my warnings.	彼女は私の警告をすべて無視した。
She was glad of my company.	彼女は私が一緒にいて喜んでくれた。
They say that she quit her job.	彼女は仕事を辞めたそうだ。
She was prohibited from smoking.	彼女は喫煙を禁じられた。
She likes to arrange flowers.	彼女は花を生けるのが好きです。
She closed her diary slowly.	彼女はゆっくりと日記帳を閉じた。
She is a mere child, you know.	彼女はまだほんの子供ですよ。
She isn't adequate to the task.	彼女はその仕事に不向きだ。
She can both ski and skate.	彼女はスキーもスケートもできます。
She is bound to come here.	彼女はここへ必ず来なければならない。
She pulled the curtain aside.	彼女はカーテンをわきに引いた。
She is above telling a lie.	彼女はうそをつくような人ではない。
She rented a four-room flat.	彼女は４部屋のアパートを借りた。
Her eyes remind me of a cat.	彼女の目を見ると猫を連想します。
Her doll was run over by a car.	彼女の人形が車に轢かれた。
Her face turned red suddenly.	彼女の顔は突然まっかになった。
She is nothing of a poet.	彼女には詩人らしいところは少しもない。
They bound her legs together.	彼らは彼女の両足を縛りつけた。
They set aside her objections.	彼らは彼女の抗議を無視した。
They caught him stealing.	彼らは彼が盗んでいるところを見つけた。
They aren't hated by anybody.	彼らは誰からも憎まれていない。
They were afraid of the teacher.	彼らは先生を恐れていた。
They cast bronze into a statue.	彼らは青銅で像を鋳造した。
They called off their engagement.	彼らは婚約を破棄した。
They live on the floor beneath.	彼らは下の階に住んでいる。
They declined our invitation.	彼らはわれわれの招待を断った。
Each of them has a bicycle.	彼らはめいめい自転車を持っている。
They painted the fence green.	彼らはフェンスを緑色に塗った。
They are playing volleyball.	彼らはバレーボールをやっている。
They called the dog Rocky.	彼らはその犬をロッキーと呼びました。
He ran the train over a cliff.	彼は列車を崖から転落させた。
He will travel abroad next year.	彼は来年外国旅行をする。
He was born into a noble family.	彼は名門の生まれなのだ。
He declared that he was innocent.	彼は無実だと断言した。
He has a sharp eye for jewels.	彼は宝石の鑑定には目がきく。
He was in the grip of poverty.	彼は貧乏にとりつかれていた。
Poverty drove him to steal.	彼は貧しいために盗みをはたらいた。
He was absent because of illness.	彼は病気なので休んだ。
He is in a rage with her.	彼は彼女のことをかんかんに怒っている。
He said to her under his breath.	彼は彼女に小声で言った。
He neglected to write her.	彼は彼女に手紙を書くのをおこたった。
He put some coins in the box.	彼は箱にコインを何枚か入れた。
He ought to have been an actor.	彼は俳優になるべきだった。
He was curious to see the inside.	彼は内側を見たがった。
He is suffering from a headache.	彼は頭痛で苦しんでいる。
He banged the door in anger.	彼は怒ってドアをばたんと閉めた。
He paid double the usual fare.	彼は通常の料金の２倍払った。
He was as still as a statue.	彼は彫像のようにじっとしていた。
He said it merely as a joke.	彼は単に冗談としてそれを言った。
He proposed an alternate plan.	彼は代わりの計画を提案した。
His body was shaking in anger.	彼は体を震わせて怒っていた。
He overcame many difficulties.	彼は多くの困難に打ち勝った。
He has a fairly large fortune.	彼は相当な財産を持っている。
He sent his luggage in advance.	彼は前もって荷物を送った。
He holds a record in swimming.	彼は水泳で記録を持っている。
He belongs to the brass band.	彼は吹奏楽団に所属しています。
He hit the ball out of bounds.	彼は場外にボールを飛ばした。
He didn't do a stitch of work.	彼は少しも仕事をしなかった。
He's always chasing girls.	彼は女の子の尻ばかり追いかけている。
He's staying with his uncle.	彼は叔父のところに泊まっている。
He comes out well in photographs.	彼は写真うつりがよい。
He was forced into unemployment.	彼は失業に追いやられた。
He gathered his books together.	彼は自分の本をかき集めた。
He advised me on my study.	彼は私の研究について忠告してくれた。
He blamed the accident on me.	彼は私に事故の責任を負わせた。
He blamed me for not coming.	彼は私が来なかったことを責めた。
He helped me do my homework.	彼は私が宿題をするのを手伝った。
He admitted John yesterday.	彼は昨日ジョンが入ることを許した。
He likes collecting old coins.	彼は古銭を集めるのが好きだ。
He is anything but a gentleman.	彼は決して紳士的ではない。
He is anything but a poet.	彼は決して詩人などと言う者ではない。
He got angry with his brother.	彼は兄さんに腹を立てました。
He has a passion for fishing.	彼は魚つりに情熱をもっている。
What is he so angry about?	彼は何をそんなに怒っているのだろう。
He took a taxi to the station.	彼は駅までタクシーに乗った。
He ought to have come by now.	彼はもう来てもいいはずなのに。
He may have already departed.	彼はもう出発したかもしれない。
He ought to have come by now.	彼はもうきていてもいいはずだ。
He dragged himself to bed.	彼はベッドまで足を引き摺っていった。
He gets lost wherever he goes.	彼はどこへ行っても道に迷う。
He must be somewhere about.	彼はどこかその辺りにいるはずです。
He dropped in at a bookstore.	彼はちょっと本屋に立ち寄った。
He decided to quit smoking.	彼はタバコをやめることを決意した。
He wetted his towel with water.	彼はタオルを水で濡らした。
He isn't as honest as all that.	彼はそれほど正直ではない。
He complained about the noise.	彼はその騒音に不平を言った。
He tore the newspaper in half.	彼はその新聞を半分に裂いた。
He was present at the ceremony.	彼はその式に列席していた。
He blamed me for the mistake.	彼はその誤りを私のせいにした。
He denies having said so.	彼はそう言った覚えはないと言っている。
I suppose he will be back soon.	彼はすぐ帰ってくると思う。
He did a good bit of waiting.	彼はかなり長い時間待っていた。
He speaks English fairly well.	彼はかなりうまく英語を話す。
He bolted away with all money.	彼はお金を全部もって逃げた。
He borrowed the money in advance.	彼はお金を前借りした。
He was educated at Oxford.	彼はオックスフォードで教育を受けた。
He is constantly complaining.	彼はいつもぶつぶつ言っている。
He was too old to resist.	彼はあまりにも高齢で抵抗できなかった。
He declined their invitation.	彼はあの人たちの招待を断った。
He arranged to be here at 6.	彼は６時にここは来ると約束した。
He was a burden to his parents.	彼は、両親の負担になった。
He urged me to think again.	彼は、私に再考するように説得した。
I was glad to hear his report.	彼の報告を聞いて嬉しかった。
His horse jumped over the fence.	彼の馬は柵を飛び越えた。
His long speech bored everyone.	彼の長話に皆うんざりした。
I got bored with his long talk.	彼の長話には飽き飽きした。
His joke set everyone laughing.	彼の冗談はみなを笑わせた。
His work is beyond all praise.	彼の作品は誉める言葉がない。
There was a bite in his remark.	彼の言葉にはとげがあった。
His house was struck by lightning.	彼の家に雷が落ちた。
He has the advantage of wealth.	彼には富と言う強みがある。
I warned you off about him.	彼に近付かないよう注意しただろう。
An A-bomb is a terrible weapon.	原子爆弾は恐ろしい武器だ。
Basho was the greatest poet.	芭蕉はもっとも偉大な詩人だった。
Hot soup burned her tongue.	熱いスープで彼女の舌がやけどした。
Japan is subject to earthquakes.	日本は地震を受けやすい。
Make hay while the sun shines.	日の照るうちに干し草を作れ。
A rainbow is a natural phenomenon.	虹は自然現象である。
Suddenly, they stopped talking.	突然彼らは話すのをやめた。
All of a sudden, it began raining.	突然雨が降り始めた。
Copper and silver are both metals.	銅も銀も金属である。
Copper conducts electricity well.	銅は電気をよく伝える。
They sell land by the acre.	土地はエーカー単位で売っています。
We met a traffic jam on the way.	途中で交通渋滞に遭った。
A word, once out, flies everywhere.	吐いた唾は飲めぬ。
It's boring to wait for a train.	電車は待つことが退屈だ。
What time did you shut the shop?	店は何時に閉めましたか。
There is a lamp on the ceiling.	天井にランプが付いている。
The city was blanketed with snow.	町は雪で覆われていた。
Do you have a table in the patio?	中庭の席がありますか。
There is a bridge over the pond.	池には橋がかかっている。
The earthquake occurred at dawn.	地震は明けがたに起きた。
The bullet glanced off the target.	弾丸は的をかすめた。
No one caught on to the joke.	誰もその冗談がわからなかった。
Nobody has solved the problem.	誰も問題を解いたことがない。
Nobody can live by himself.	誰も１人では生きていけないものだ。
Not everybody can be a poet.	誰でも詩人になれるとは限らない。
Someone is shouting for help.	誰かが助けてくれと叫んでいる。
Oh, no! My passport is gone!	大変だ、パスポートがなくなった！
The sun rose above the horizon.	太陽は地平線の上に昇った。
The sun rose above the horizon.	太陽が地平線の上に昇った。
The sun rose above the horizon.	太陽が水平線の上に昇った。
The sun sank below the horizon.	太陽が水平線の下に沈んだ。
The frost killed all the flowers.	霜で花はみんな枯れた。
The early bird catches the worm.	早起きの鳥は虫を捕える。
The ship set sail for Bombay.	船はボンベイに向けて出帆した。
The ship appeared on the horizon.	船が水平線上に現れた。
Do you have a laundry service?	洗濯のサービスはありますか。
War doesn't make anybody happy.	戦争は誰をも幸福にしない。
I will succeed at any cost.	石にかじりついても成功してみせる。
I used to swim in this river.	昔はこの川でよく泳いだものだ。
The stars are shining in the sky.	星が空に光っています。
Success depends on your efforts.	成功は努力いかんによる。
Swimming is one thing I enjoy.	水泳が私の楽しみの１つです。
Man consists of soul and body.	人間は心と体から成っている。
I had my thumbnail torn off.	親指の爪をはがしてしまいました。
Are you going to remove the nerve?	神経は抜くのですか。
Do you have anything to declare?	申告する物はありますか。
Blessed are the pure in heart.	心の清い人たちは幸いである。
Don't complain of your food.	食べ物の不平を言ってはいけない。
The floor was swimming with blood.	床は血だらけだった。
I think I've got a touch of fever.	少し熱があると思う。
Let me give you a bit of advice.	少し忠告したい事がある。
Will you weigh this parcel?	小包の重さをはかってもらえますか。
That girl has a lovely doll.	女の子は可愛い人形を持っている。
Have you finished your homework?	宿題は終わったんですか。
You'll be there in plenty of time.	十分間に合いますよ。
The boss buzzed his secretary.	社長はブザーで秘書を呼んだ。
Don't blame the mistake on her.	失敗を彼女のせいにするな。
The deer was running by itself.	鹿は１頭だけで走っていた。
Do your homework for yourself.	自分の力で宿題をやりなさい。
Do your homework for yourself.	自分の宿題は自分でしなさい。
Self-praise is no recommendation.	自賛は推薦にならない。
A stitch in time saves nine.	時を得た一針は九針の手間を省く。
We gathered around the teacher.	私達は先生の前に集まった。
I informed her of my success.	私は彼女に私の成功を知らせた。
I advised him not to drive.	私は彼に運転しないように助言した。
I believe that he is honest.	私は彼が正直であると信じている。
I was afraid he might die.	私は彼が死ぬのかもしれないと思った。
I ordered a pizza on the phone.	私は電話でピザを注文した。
I rode my bicycle to the store.	私は店まで自転車で行った。
I don't like artificial flowers.	私は造花が好きではない。
I intended to have succeeded.	私は成功するつもりだったのだ。
I'm a member of the swimming club.	私は水泳部の一員だ。
I will enter the swim meet.	私は水泳大会に参加するつもりです。
I spent a week at my uncle's.	私は叔父の家で１週間過ごした。
I collect stamps as a hobby.	私は趣味で切手を収集しています。
I rented a house with a garage.	私は車庫付きの家を借りた。
I found my bicycle gone.	私は自転車がなくなっているのに気づいた。
I was absent from work yesterday.	私は昨日仕事を休んだ。
I am playing volleyball now.	私は今バレーボールをしています。
I write poems in my free time.	私は暇な時間に詩を書きます。
I can't reach the top shelf.	私は一番上の棚まで手が届かない。
I have already done my homework.	私はもう宿題をすませた。
I must renew my passport.	私はパスポートを更新しないといけない。
I'm opposed to any type of war.	私はどんな戦争にも反対だ。
I was involved in the trouble.	私はトラブルに巻き込まれた。
I sometimes lie on the grass.	私はときどき草の上に横になる。
As for me, I have no objection.	私はといえば、異論はない。
I can eat anything but onions.	タマネギだけは食べれないの。
I only took a bite of bread.	私はただパンを一口食べただけだ。
I am glad to hear the news.	私はその知らせを聞いて喜んでいる。
I was not aware of the trick.	私はその企みに気づかなかった。
I was deeply moved by that.	私はそのことで強く心を動かされた。
I prefer swimming to skiing.	私はスキーより水泳の方が好きだ。
I used to swim here every day.	私はここで毎日泳いだものだ。
I am staying with my uncle.	私はおじのところに滞在しています。
I am too tired to climb.	私は。疲れすぎて登ることなどできません。
I worked hard to succeed.	私は、成功するために、一生懸命働いた。
I can't afford a new coat.	私は、とても新しいコートは買えない。
I really dig that singer.	私は、あの歌手が大変気に入っています。
My mother is easily moved to tears.	私の母は涙もろい。
Don't nose about my room.	私の部屋の中をかぎ回るのはやめなさい。
My father can fly an airplane.	私の父は飛行機が操縦できる。
My hobby is collecting stamps.	趣味は切手を集めることです。
Nobody believed what I said.	私の言うことを誰も信じなかった。
My feelings underwent a change.	私の気持ちに変化があった。
My opinion is contrary to yours.	私の意見は君のと反対だ。
My uncle lived to be ninety.	私のおじさんは９０歳まで生きた。
We had to depend on trade.	私たちは貿易に頼らなければなかった。
We nicknamed her "Ann".	私たちは彼女を「アン」という愛称で呼んだ。
We agreed to her suggestions.	私たちは彼女の提案に同意した。
We thought of him as a genius.	私たちは彼を天才だと思った。
We arrived there before noon.	私たちは正午前にそこへ着いた。
We gather here once a week.	私たちは週に１回ここに集まります。
We played a good knife and fork.	私たちはたらふく食べた。
We'll carry it to the barn.	私たちでそれを納屋に持っていこう。
If I am a fool, you are another.	私が馬鹿なら君もそうだ。
The population is dying off.	死亡により人口は減少しつつある。
Keep children away from the pond.	子供を池に近づけるな。
I had a puppy when I was a boy.	子供の頃小犬を飼っていた。
My sister is playing with dolls.	姉は人形で遊んでいます。
Are you going to quit your job?	仕事を辞めるつもりですか。
Oxygen and hydrogen make water.	酸素と水素から水ができる。
You can't live without oxygen.	酸素が無ければ生きられない。
I had my watch stolen last night.	昨夜、時計を盗まれた。
I built an amplifier yesterday.	昨日、アンプを組み立てた。
Excuse me. Can I get by here?	済みません。通してくれますか。
It might not freeze tonight.	今夜は凍てつかないかもしれない。
You are being naughty today.	今日はいたずらばかりしているね。
I've never seen a real cow.	今までに本物の牛を見たことがない。
Nobody has ever loved him.	今までに彼を愛したものは誰もいない。
I'm now staying at my uncle's.	今、叔父の家に滞在している。
The glow of the light was intense.	光の輝きが強かった。
The traffic jam lasted one hour.	交通渋滞が１時間続いた。
Don't forget to bolt the door.	戸締まりをするのを忘れるな。
Keep on swimming up to your limit.	限界まで泳ぎ続けろ。
The dog bit meat off the bone.	犬は肉を骨からかじりとった。
The dog snapped up the meat.	犬はその肉にパクリと噛みついた。
I was bitten on the leg by a dog.	犬に脚をかまれました。
Fighting won't settle anything.	喧嘩では何事も解決しない。
It's a shoot-'em-up western.	撃ち合い場面の多い西部劇ですよ。
The police arrested the suspect.	警察は容疑者を逮捕した。
You must practice grammar.	君は文法の練習をしなければならない。
Can you swim as fast as he?	君は彼と同じくらい速く泳げますか。
You are now among the elite.	君はいまやエリート集団の一員だ。
We will exempt you from attending.	君の出席は免除する。
Your conduct is perfectly legal.	君の行動は全く合法的だ。
Is your uncle still abroad?	君のおじさんは外国においでですか。
Where does your uncle live?	君のおじさんはどこに住んでいるの？
You have no cause for anger.	君には腹を立てる理由は何もない。
You have no cause for anger.	君には腹を立てる理由が何もない。
A fool's bolt is soon shot.	愚者はすぐ奥の手を出し行き詰まる。
The bank shuts late on Fridays.	金曜日の銀行は遅じまいだ。
Kyoko is lying on the grass.	京子は草の上に横になっています。
A fish leaped out of the water.	魚が水面から飛び上がった。
Necessity is the mother of invention.	窮すれば通ず。
We just have to swallow it.	泣き寝入りするよりほか仕方がない。
Suddenly, he changed the subject.	急に彼は話題を変えた。
I was too glad not to jump up.	嬉しさのあまりとび上がった。
I barely missed being struck.	危うくぶたれるのをまぬがれた。
The audience appeared bored.	観客は退屈しているように見えた。
It's simple. Just ask anybody.	簡単だ。誰にでも聞いて見ろ。
Our school was reduced to ashes.	学校は焼けて灰になった。
Don't tell tales out of school.	学校の中の話を外でするな。
Nobody is too old to learn.	学べないほど年を取った人はいない。
Do you have any foreign stamps?	外国の切手を持ってますか。
You must not touch the paintings.	絵に触ってはいけない。
I had a chance to travel abroad.	海外旅行の機会があった。
We sat on a bench in the park.	我々は公園のベンチに座った。
We must control our passions.	我々は激情を抑えねばならない。
We defeated various enemies.	我々はたくさんの敵をやっつけた。
Our supply of food is exhausted.	我々の食料は底を突いた。
Science rests upon observation.	科学は観察に基づいている。
The will is as good as the deed.	何事をするにも志が大切。
I gotta try to do my best.	俺はベストを尽くそうと努力している。
His wife leads him by the nose.	奥さんの尻にしかれている。
I bought a dozen pencils today.	今日鉛筆を１ダース買った。
I take a fancy to seeing movies.	映画を見るのが好きです。
The rain whipped against the window.	雨が窓を打った。
One word is enough for a wise man.	一を聞いて十を知る。
I'm afraid I have an upset stomach.	胃がむかむかする。
A form appeared in the darkness.	暗闇の中に人影が見えた。
What a good dancer Aoi is!	葵さんは何と優れたダンサーでしょう。
