Die!	死ね！
It really got to me.	それがとてもわたしの心に響いた
It's already past 4:30.	既に時間が４時半を回った
X cause many problems.	Xが多くの問題を引き起こす
First, he takes a step.	彼がまずは一歩を踏み出す
X is taken as the reason.	Xが理由に挙げられる
Let's change the subject.	話題を変えましょう。
Do you like Japanese food?	和食は好きですか。
This is Mr Suzuki speaking.	鈴木と申します。
Still waters run deep.	流れの静かな川は水が深い。
In a word, life is short.	要するに人生は短い。
Yumi has many books.	由美は本をたくさん持っている。
Bring along your friend.	友達を連れてきなさい。
My friends call me Beth.	友達は私をベスと呼ぶ。
My friends call me Ken.	友達はぼくをケンと呼ぶ。
I put the lighter out.	僕はライターの火を消した。
I think that it's true.	僕はそれが本当だと思う。
Show me another watch.	別の時計を見せてください。
See things as they are.	物事はあるがままに見よ。
My father is in good health.	父は元気です。
She has a kind heart.	彼女は優しい心の持ち主です。
She turned on the light.	彼女は明かりをつけた。
She spoke up for him.	彼女は彼のために口添えした。
She can speak Japanese.	彼女は日本語が話せます。
I found her kind.	彼女は親切だという事がわかりました。
She asked me a question.	彼女は私に質問をした。
She is most kind to me.	彼女は私にとても親切だ。
Does she speak English?	彼女は英語を話しますか。
She hasn't turned up yet.	彼女はまだ現れない。
She is not here yet.	彼女はまだここへ来ていません。
She works very hard.	彼女はとても一生懸命勉強する。
She looks very young.	彼女はとてもわかく見えます。
She is about my age.	彼女はだいたい私と同じ年頃だ。
She will be along soon.	彼女はすぐにやってくる。
I'm sure she will come.	彼女はきっと来ると思う。
She has ten children.	彼女は１０人の子持ちなのだ。
Her face is in focus.	彼女の顔に焦点があっている。
Have you called her yet?	彼女に電話しましたか。
When did you meet her?	彼女にいつ会ったのですか。
They work in the fields.	彼らは畑で働いている。
How hard they work!	彼らはなんて熱心に働くのだろう。
He likes to read books.	彼は本を読むのが好きだ。
He put the room in order.	彼は部屋を整頓した。
He set her mind at rest.	彼は彼女を安心させた。
He called out for help.	彼は大声で助けを求めた。
He is on another line.	彼は他の電話に出ています。
He died some years since.	彼は数年前に死んだ。
He is a man of position.	彼は身分のある人です。
He is a good man at heart.	彼は心底は善人だ。
He made good in business.	彼は商売に成功した。
He looks down on women.	彼は女性を見下している。
He was about to start.	彼は出発しようとしていた。
He is free to go there.	彼は自由にそこへ行ける。
He is stronger than I am.	彼は私より力が強い。
He did me a good turn.	彼は私に親切にしてくれた。
He is leaving home now.	彼は今出かけるところだ。
He made for the door.	彼は戸口の方へ進んで行った。
He left the door open.	彼は戸を開けたままにした。
He is by no means kind.	彼は決して親切ではない。
He asked for some money.	彼は金をくれと頼んだ。
He asked for the money.	彼は金がほしいといった。
He is good for nothing.	彼は何の役にも立たない。
He is speaking English.	彼は英語を話しています。
He left Japan for good.	彼は永久に日本を離れた。
He must work hard.	彼は一生懸命働かなければならない。
Will he be here soon?	彼はまもなくここへ来ますか。
What line is he in?	彼はどんな職業に就いていますか。
He broke the door open.	彼はドアを破って開けた。
He likes to watch TV.	彼はテレビを見るのが好きだ。
He made up that story.	彼はその話をでっち上げた。
He followed me along.	彼はずっとあとをつけて来た。
He will get well soon.	彼はすぐよくなるでしょう。
He often falls in love.	彼はしばしば恋に落ちる。
He always plays well.	彼はいつもよいプレーをする。
Is he a friend of yours?	彼はあなたの友達なの？
I would like to meet him.	彼に会いたいものだ。
He has three children.	彼には三人の子供がいます。
Monday follows Sunday.	日曜日の次に月曜日がくる。
What is Japan noted for?	日本は何で有名ですか。
No one knows the fact.	誰もその事実を知りません。
Your party is on line.	相手方がお出になりました。
I hope you'll get well soon.	早くよく成れ。
So many men, so many minds.	人の心は皆違う。
I can't talk with people.	人と話ができません。
A new idea came to me.	新しい考えが一つ浮かんだ。
The girl looked around.	少女はあたりを見回した。
He made good in business.	商売がうまくいった。
You may as well leave now.	出かけた方がいい。
I go to school at seven.	七時に学校に到着する。
Keep to your own line.	自己の方針をあくまで守れ。
Keep next Sunday free.	次の日曜は空けておいてね。
What am I to do next?	次に何をしたらよいのですか。
I'm younger than he is.	私は彼より若いんですよ。
I gave him a few books.	私は彼に本を数冊与えた。
I have met him before.	私は彼に会ったことがある。
I made friends with him.	私は彼と友達になった。
I made friends with him.	私は彼と親しくなった。
I met him the day before.	私は前日彼にあった。
I do not need money now.	私は今お金はいらない。
I have no money on me.	私は金の持ちあわせがない。
I was born in Yokohama.	私は横浜で生まれました。
I am able to read English.	私は英語が読める。
I like love stories.	私はラブストーリーが好きです。
I can't speak French.	私はフランス語が話せません。
I was just making sure.	私はただ確認しただけよ。
I want to read the book.	私はその本が読みたい。
I often go to London.	私はしばしばロンドンに行く。
I am shorter than you.	私はあなたよりも背が低い。
Are you against my plan?	私の計画に反対ですか。
We are in the same class.	私たちは同級生です。
We are not speaking.	私たちは今日は話をしていない。
We gave up the plan.	私たちはその計画をあきらめた。
All I have is books.	私が持っているのは本だけです。
Death comes to all men.	死はすべての人に訪れる。
Even a child can do it.	子供にでもそれはできる。
We go there often.	最近われわれはしばしばそこへ行く。
Now, there is a problem.	困ったことになったな。
Are you free this evening?	今晩お空きですか。
What's on the air now?	今は何を放送していますか。
Black becomes you.	黒のものはあなたによく似合います。
The door will not open.	戸がどうしても開かない。
Let's face the facts!	現実を直視しようじゃないか。
To see is to believe.	見ることは信じることである。
The plan has worked well.	計画はうまくいった。
You'd better start now.	君は今でかけた方がよい。
Can you speak French?	君はフランス語が話せますか。
You have many books.	君はたくさんの本を持っている。
You haven't any money.	君はお金を持っていません。
I like the way you smile.	君の笑い方好きだな。
Just follow your heart.	君の思うようにしなさい。
Where is your school?	君の学校はどこにありますか。
Your plan sounds great.	君のプランは素晴らしい。
I hope you like it.	気に入ってもらえるといいんだが。
I hope you'll like it.	気に入ってくれるといいな。
He was going to school.	学校へ行くところでした。
It's time to go to school.	学校に行く時間よ。
We learn by experience.	我々は経験によって学ぶ。
That won't change anything.	何も変わらない。
Tell me what you want.	何が欲しいか言ってごらん。
Do one thing at a time.	一度に一つのことをせよ。
I'll tell you a story.	一つ話をしてあげましょう。
Have we met before?	以前お会いしたことがありますか。
We got an early start.	われわれは朝早く出発した。
He'll be here soon.	もうすぐ彼はここに来るでしょう。
It will soon be New Year.	もうすぐお正月です。
Let's get together again.	また集まりましょう。
Do I have to focus it?	ピントはどうするのですか。
You'll have a hard time.	ひどい目にあいますよ。
See Naples and then die.	ナポリを見てから死ね。
Any child knows it.	どんな子供でもそれは知っている。
The answers are all right.	どれもみな正しい。
What are you driving at?	どうするつもりなのか。
Why don't you come in?	どうして入って来ないのか。
The door won't close.	ドアはどうしてもしまらない。
I heard the door close.	ドアが閉まる音を聞いた。
I heard the door close.	ドアが閉まるの聞こえた。
May I turn on the TV?	テレビを付けてもいいですか。
Will you turn on the TV?	テレビをつけてくれる？
May I ask you something?	ちょっと聞いてもいい？
Let's take a short break.	ちょっと休憩しよう。
I feel like taking a rest.	ちょっと休みたい。
It falls on Sunday.	ちょうど日曜日にぶつかりますね。
I met him just now.	ちょうど今、彼と出会ったのです。
Who made this plan?	だれがこの計画を立てたのですか。
How about Thai food?	タイ料理なんか、いかがですか。
Don't talk like that.	そんな風に言うものじゃない。
That can't be true.	そんなこと本当であるはずがない。
It's about time to start.	そろそろ出発時間だ。
I believe it to be true.	それを真実だと信じる。
It turned out true.	それは本当であることがわかった。
It is anything but big.	それは決して大きくない。
It's almost over.	それはほとんど終わりかかっています。
It must be hard for you.	それはつらいだろうね。
It all came to nothing.	それはすべて水に流した。
That's very kind of you.	それはご親切にどうも。
It is true in a sense.	それはある意味では本当だ。
How do you feel about it?	それって、どう思う？
Is this Canadian money?	それがカナダのお金なの？
Both stories are true.	その話は二つとも真実です。
Did you order the book?	その本を注文しましたか。
You may take the book.	その本を持っていってよい。
The girl has no mother.	その少女には母親がない。
The door won't open.	そのドアはどうしても開かない。
I'll leave that to you.	そのことは君に任せるよ。
That's not the problem.	そういう問題じゃないよ。
She will get well soon.	すぐに彼女はよくなるよ。
You had better go at once.	すぐに行きなさい。
You will be better soon.	すぐによくなりますよ。
Call 110 right now.	すぐ１１０番に電話してください。
I don't know for certain.	しかとは知りません。
This is very important.	これは非常に重要である。
This is a very old book.	これは大変古い本です。
This is a kind of food.	これは食べ物の一種です。
You can't bring this in.	これは持ち込めません。
This is my account book.	これは私の出納帳です。
Let's get off the subject.	この話題はよそう。
Can you do this problem?	この問題が解けますか。
This book is above me.	この本は私には難しすぎる。
This book is very small.	この本はとても小さい。
This book is very new.	この本はとても新しいです。
Don't read in this room.	この部屋で本を読むな。
Let's play this Sunday.	この日曜日はどうですか。
This money goes for food.	この金は食費になる。
May I put it down here?	ここに下ろせばいいのか。
Let's take a break now.	ここで休憩にしましょう。
Keiko is kind, isn't she?	ケイコは親切ですね。
May I ask your name?	お名前をお聞きしたいのですが。
May I ask your name?	お名前は何とおっしゃいますか。
My mother is well off.	お母さんは暮し向きが良い。
Be kind to the old.	お年寄りに優しくしてあげなさい。
How soon do you need it?	いつまでに必要ですか。
Did you speak at all?	いったい君は口をきいたのか。
I know nothing about it.	いっこうに存じません。
How many stops from here?	いくつめの駅ですか。
That book is a new book.	あの本は新しい本です。
How hard he works!	あの人、ほんとによくはたらくこと！
I'll drive you home.	お宅まで車でお送りしましょう。
You have two books.	あなたは二冊の本を持っています。
You can speak German.	あなたはドイツ語が話せます。
Do you need the book?	あなたはその本が必要ですか。
What you say is true.	あなたの言ったことは本当だ。
How is your mother?	あなたのお母さんはいかがですか。
May I talk with you?	あなたとお話ししていいですか。
I hope you like it.	あなたが気に入るといいんですが。
I like the way you talk.	あなたの話し方が好き。
Many people do research.	いろんな人が研究をします
Children play with water.	子供たちが水遊びをする
X is always on my mind.	Xがいつも自分のなかに有る
Each one has its own role.	それぞれが役割を持つ
There is no problem at all.	まったく問題が無い
He doesn't know me yet.	彼はまだ、私の事を知らない
He will use it for real.	彼がそれを実際に使用する
Now, open your heart.	さあ、心のとびらを開きましょう
I really saw the light.	本当に目から鱗が落ちました
X becomes very important.	Xが大変重要になります
They care for each other.	お互いが相手を思い遣る
He will get a good rest.	彼が体をゆっくり休めます
Shhh, she'll hear you!	しーっ、聞こえちゃうってば。
All things die in time.	やがて万物は死に絶えます。
I can't find my watch.	腕時計が見つからないんです。
We talked our time away.	話をして時間をつぶした。
That's too good to be true.	話がうますぎるよ。
Hold it with both hands.	両手でつかんでいなさい。
In a word, life is short.	要するには人生は短い。
Do as I told you to do.	命じたとおりにやりなさい。
I heard my name called.	名前が呼ばれるのを聞いた。
Read between the lines.	本当の所を読みとらなきゃ。
It was real hard work.	本当に骨の折れる仕事だった。
I'll be watching you.	僕は片時も君から目を離さない。
Tell me what you want.	望みのものを言ってください。
I don't feel like studying.	勉強する気がない。
Don't speak out of line.	柄にもないことを言うな。
My father loves my mother.	父は母を愛している。
My father got well again.	父は病気から回復した。
She called him by name.	彼女は彼を名指しで呼んだ。
She gave him the money.	彼女は彼にその金をやった。
She gave him the money.	彼女は彼にその金をあげた。
She is kind by nature.	彼女は生まれつき親切である。
She is about to leave.	彼女は出発しようとしている。
She is well able to read.	彼女は十分字が読める。
She is about my age.	彼女は私と同じくらいの年齢です。
She gave us some food.	彼女は私たちに食物をくれた。
She loves her children.	彼女は子供達を愛している。
She's hard at it now.	彼女は今せっせとやっています。
She supports her family.	彼女は一家を支えている。
She will get well soon.	彼女はすぐ良くなるだろう。
She will get well soon.	彼女はじきよくなるだろう。
Her smile spoke love.	彼女の微笑みは愛を語っていた。
Let's not talk to her.	彼女に話し掛けるのはよそう。
She has a few friends.	彼女には友だちが少しはいる。
She has few friends.	彼女には友だちがほとんどいない。
They stopped to talk.	彼らは話すために立ち止まった。
They paid me in kind.	彼らは私に現物支給でくれたよ。
They stopped talking.	彼らはおしゃべりを止めました。
No one gave up hope.	彼らの全員が希望を捨てなかった。
A child was born to them.	彼らに子供が産まれた。
He didn't stop talking.	彼は話すのをやめなかった。
He called on me at night.	彼は夜私を訪ねてきた。
He watches TV every day.	彼は毎日テレビを見ます。
He fell in love with her.	彼は彼女と恋におちた。
He is short, but strong.	彼は背は低いが力持ちだ。
He was born in Nagasaki.	彼は長崎で生まれました。
He has a well of knowledge.	彼は知識の宝庫だ。
He was small, but strong.	彼は小さいが強かった。
He is very kind to me.	彼は私に大変良くしてくれる。
He asked me to help him.	彼は私に助けてと頼んだ。
He handed a note to me.	彼は私に書き物を手渡した。
He made a will last year.	彼は昨年遺書を書いた。
He's now short of money.	彼は今お金に困っている。
He is a man of few words.	彼は口数の少ない人だ。
He is a man of few words.	彼は口数が少ない男だ。
He did what he was told.	彼は言われた通りにした。
He has nothing to do.	彼は何もすることがありません。
He speaks English well.	彼は英語を話すのが上手い。
He speaks English well.	彼は英語をうまくしゃべる。
He is no longer a child.	彼はもはや子供ではない。
Has he gone already?	彼はもう行ってしまったのかしら。
He has already gone home.	彼はもう帰宅しました。
He will soon come back.	彼はもうすぐ戻ってきます。
He will come back soon.	彼はまもなく戻ってきます。
He will be back soon.	彼はまもなく帰ってくるだろう。
He worked very hard.	彼はたいへん一生懸命働きました。
He read the book through.	彼はその本を通読した。
He may come here yet.	彼はそのうち来るかもしれない。
He will soon return home.	彼はすぐに帰宅します。
Will he come home soon?	彼はすぐに帰ってきますか。
He has a little money.	彼はお金を少し持っています。
He is as strong as ever.	彼はあいかわらず丈夫だ。
He likes Italian food.	彼は、イタリア料理が好きだ。
In front of him was man.	彼の前に１人の男がいた。
Do it like he tells you.	彼の言うようにしなさい。
I have business with him.	彼に用事があるのです。
I hope he will live long.	彼に長生きしてほしい。
I provided him with food.	彼に食物をあてがった。
He gave me a hard time.	彼にひどい目に合わされた。
I asked him to do that.	彼にそうしてくれと頼んだ。
I hope that he will come.	彼が来るとよいと思う。
Nara is a very old city.	奈良はとても古い都です。
The call has come through.	電話がつながったよ。
Who were you talking to?	誰に話しかけていたんだ。
Who told you the story?	誰が君にこの話をしたのか。
There is much water left.	多量の水が残っている。
Let's start early, shall we?	早く出発しよう。
Do come to the party.	是非パーティーへおこし下さい。
Nature is a good mother.	親はなくとも。子は育つ。
The new plan worked well.	新企画は図にあたった。
Business is looking up.	商売の景気が向上している。
I've known it all along.	初めから知っていました。
School starts at 8:40.	授業は８時４０分から始まる。
Don't put out your hand.	手を出してはいけません。
You are only young once.	若い時は、一度しかない。
In fact, he loves her.	実際は彼は彼女を愛している。
In fact, I was there.	実際に私はその場にいたのです。
May I ask you a question?	質問してもいいですか。
Put your room in order.	自分の部屋を整頓しなさい。
Mind your own business.	自分の事に打ち込みなさい。
Go about your business!	自分の仕事にかかりなさい。
Mind your own business!	自分のことだけ気にかけろ！
Self-help is the best help.	自助は最上の助け。
What am I to do next?	次は何をしたらよいでしょうか。
We have all kinds of time.	時間はたっぷりある。
Get your things together.	持ち物をまとめなさい。
It's time to leave.	私達の出発時間がさしせまっている。
I don't like it, either.	私も好きではありません。
I call her up every day.	私は毎日彼女に電話する。
I told her not to go.	彼女に行かないようにと言った。
I made friends with her.	私は彼女と友達になった。
I asked a question of him.	私は彼に質問をした。
I have no time to read.	私は読書をする時間がない。
I met her along the way.	私は途中で彼女にあった。
I led him by the hand.	私は手を取って彼を案内した。
I don't have any children.	私は子供がいません。
I am reading a book now.	私は今本を読んでいます。
I have little money.	私はほとんどお金を持っていない。
I want to learn French.	私はフランス語を学びたい。
I asked Tony a question.	私はトニー君に質問した。
I held the door open.	私はドアを押さえてあけていた。
I'll tell him so then.	私はその時彼にそう言います。
Will I get well soon?	私はすぐによくなるでしょうか。
I want to read this book.	私はこの本が読みたい。
I don't care for Alice.	私はアリスが好きではない。
I want to talk to you.	私はあなたと話がしたいなぁ。
I don't need anything now.	今は何も要りません。
I'll tell you my story.	私の身の上話をしましょう。
Am I making sense?	私の言っていることがおわかりですか。
Hear what I have to say.	私の言い訳を聞いてくれ。
Get that book for me.	私にその本を取ってきて下さい。
Why don't you come with me?	私と一緒に来ない？
We watch TV every day.	私たちは毎日テレビを見ます。
We live in a big city.	私たちは大都市に住んでいる。
That's not what I heard.	私が聞いたのとは違うな。
How is it in the market?	市場の景気はどうですか。
Let's call it a day.	今日の仕事は終わりにしましょう。
What about next Sunday?	今度の日曜日はどうですか。
You may as well leave now.	今出かけた方がいい。
You should leave now.	今すぐ出かけた方がいいですよ。
Now is the time for action.	今が行動する時だ。
The door opens from within.	戸は内側から開く。
Are you having your period?	現在生理中ですか。
The front door was open.	玄関のドアは開いていた。
Take care of your health.	健康に気をつけなさい。
Ken is kind to the girls.	健は女の子に親切です。
Are you younger than him?	君は彼より若いのかい。
You are free to go out.	君は勝手に出かけていいよ。
You are free to go home.	君は自由に帰っていいよ。
Did you read it at all?	君は一体それを読んだのか。
You have some books.	君はいくつかの本をもっています。
You and I are good friends.	君と僕は仲よしだ。
I didn't know you cared!	気を使ってくれてどうも。
Turn your face this way.	顔をこちらへ向けなさい。
That was a close call.	間一髪！危ないところでした。
Where do you go to school?	学校はどちらですか。
School starts in April.	学校が始まるのは４月です。
May I go out to play?	外に遊びに行ってもいいですか。
We believe in Buddhism.	我々は仏教を信仰している。
We started all at once.	我々はいっせいに出発した。
I've left my watch at home.	家に時計を忘れた。
What time are you leaving?	何時に出かけますか。
What are you driving at?	何をなさるつもりですか。
I want something to read.	何か読むものが欲しい。
I'm living in the city.	俺は今、都会に住んでいる。
There's nothing I can do.	俺はどうにもできない。
You speak good English.	英語を話すのが上手ですね。
Don't hold back anything.	隠さないで話してくれ。
The day is almost over.	一日が終わろうとしている。
It is no business of yours.	よけいなお世話だ。
It runs deeper than that.	もっと深い理由がある。
Have you met him already?	もう彼に会いましたね。
I've got to leave soon.	もう行かなくてはならない。
That was hard to believe.	もう嘘みたいだったよ。
May I put it on again?	もう一度着てみていいですか。
The day is breaking soon.	もうすぐ夜があけるよ。
Has Mary started yet?	メアリーはもう出発しましたか。
It will clear up soon.	まもなく天気になるでしょう。
I hope you will call again.	また来てください。
The time is yet to come.	まだその時はきていない。
He really turns me off.	ほんと彼にはうんざりだわ！
Play the part of Hamlet.	ハムレットの役を演じろ。
What are you driving at?	なにが言いたいのですか。
What kind of test is that?	どんなテストですか。
Which book is yours?	どちらの本があなたのものですか。
I would rather go out.	どちらかと言えば出かけたい。
Where would I find books?	どこで本が買えますか。
Where should we meet?	どこで待ち合わせしましょうか。
Where does it leave from?	どこから出るのですか。
Will you open the door?	ドアを開けてくれませんか。
I heard the door close.	ドアが閉めるのが聞こえた。
I heard the door close.	ドアが閉まるのが聞こえた。
Enough TV, already!	テレビはもういいかげんにしなさい。
Come as soon as you can.	できるだけ早くしなさい。
I was about to start.	ちょうど出発しようとしていた。
That can't be true.	そんなことは本当であるはずがない。
Can I take your word for it?	それは確かかい。
It's just another story.	それはごく平凡な物語だ。
It may well be true.	それはおそらく真実かもしれない。
What ever can that be?	それはいったい何なんだろう。
Is that a common name?	それはありふれた名前ですか。
I've never met him.	その人には一度も会ったことはない。
The girl smiled at me.	その少女は私に微笑みかけた。
Let's put that on hold.	その件は保留にしておこう。
Jesus' mother was there.	そこにイエスの母もいた。
Who did you meet there?	そこで誰に会ったのですか。
That's your strong point.	そこがお前の強みだよ。
Must I leave at once?	すぐに出なければいけませんか。
But this is not true.	しかし、実際にはそうではない。
Let's call it a day.	さぁ、一日を終わりとしましょう。
This is all I can read.	これが私が読める限界です。
This watch is a new type.	この腕時計は新型です。
How much is this watch?	この腕時計はいくらですか。
This book is above me.	この本は僕には理解できない。
This book is above me.	この本は私の力では及ばない。
Don't read in this room.	この部屋では本を読むな。
Is this information right?	この情報は正しいか。
This watch is my father's.	この時計は父のです。
This play has three acts.	この劇は三幕からなる。
Keep this money for me.	この金を預かってください。
You shall have this money.	このお金をあげよう。
I am here on business.	ここへは、商用で来ています。
Be kind to old people.	お年寄りには親切にしなさい。
A good idea came to me.	うまい考えがふと浮かんだ。
Or that was the idea.	いや、当初の考えはそうでした。
I always keep my word.	いつも約束を守っているだろ。
One thing led to another.	あれは成り行きでした。
In a sense, it is true.	ある意味ではそれは正しい。
That story can be true.	あの話は真実かもしれない。
Give that book back to me.	あの本を返してくれ。
We were younger then.	あの頃の我々はもっと若かった。
Do you speak Japanese?	あなたは日本語を話しますか。
Why do you think so?	あなたは何故そう考えるのですか。
Can you speak German?	あなたはドイツ語を話せますか。
I'm all for your plan.	あなたの計画には大賛成です。
Time will do the rest.	あとは時が解決するでしょう。
I love mother nature.	私は母なる自然を愛しています。
What time are you leaving?	何時ごろ出かけるの?
I can't help making a sound.	私が思わず声を出す
Things didn't go that way.	そんな訳にいかなかった
The knowledge is almost 0.	ほとんど知識が０に近い
Even I can't believe that.	自分でも信じられない。
I want a full report though.	話を聞かせてくれ。
The examples are as follows.	例は次の通りです。
My friends call me Ken.	友達は僕のことをケンと呼ぶ。
Do you have many friends?	友達はたくさんいますか。
Nothing comes from nothing.	無から有は生じない。
I shared a room with him.	僕は彼と部屋を共有した。
Can you hear I'm calling?	僕の声は届いていますか。
Father named me Kazunari.	父は私に和成と名づけた。
My father will help me.	父が手伝ってくれるでしょう。
She is kind to old people.	彼女は老人に親切です。
She has no thought of self.	彼女は利己心がない。
She turned off the lights.	彼女は明かりを消した。
She likes to read books.	彼女は本を読むのが好きだ。
She looks like her mother.	彼女は母親に似ている。
She said with a smile.	彼女は微笑みながら言いました。
She had a little money.	彼女は少しお金を持っていた。
She's not young, is she?	彼女は若くはありませんね。
She is as young as I am.	彼女は私と同じくらい若い。
She is only hard on me.	彼女は私だけにつらく当たる。
She left home just now.	彼女は今家を出たところです。
She hasn't come here yet.	彼女はまだここに来ない。
Does she speak French?	彼女はフランス語を話しますか。
She was all smiles.	彼女はにこにこしてうれしそうだった。
Will she get well soon?	彼女はすぐに良くなりますか？
She will get well soon.	彼女はすぐに良くなるだろう。
She is always smiling.	彼女はいつもにこにこしている。
I like the way she smiles.	彼女の笑い方が好きだ。
I can't really read her.	彼女にはついていけないよ。
I just love her to death.	彼女が好きでたまらない。
They are short of food.	彼らは食料が不足しています。
They asked for my help.	彼らは私に助けを求めてきた。
They broke down the house.	彼らは家を取り壊した。
They talked about love.	彼らは愛情についてはなした。
He was about to speak.	彼は話そうとするところだった。
He is really a nitpicker.	彼は本当に愚痴愚痴言う。
He wants a book to read.	彼は読むための本がほしい。
He is about your age.	彼は大体あなたぐらいの年齢です。
He turned down my offer.	彼は私の申し出を拒否した。
He did as I told him.	彼は私に言われたとおりにやった。
He was most kind to me.	彼は私にたいへん親切だった。
He took over the business.	彼は仕事を引き継いだ。
He is reading a book.	彼は今本を読んでいるところです。
He was in time for school.	彼は学校に間に合った。
He has just left home.	彼は家を出て行ったばかりです。
Can he speak English?	彼は英語を話すことができますか。
He is still full of energy.	彼はまだ元気盛んだ。
He hasn't returned yet.	彼はまだ帰ってきていません。
He can also speak French.	彼はフランス語も話せる。
I know why he did it.	彼はなぜそれをしたか知っている。
He left the door open.	彼はドアを開け放しにしていた。
He left the door open.	彼はドアを開けっぱなしにした。
He knows the city well.	彼はその町をよく知っている。
He will come down soon.	彼はすぐ降りてくるでしょう。
He will come back soon.	彼はすぐに戻ってくるだろう。
Will he get well soon?	彼はすぐに全快するでしょうか。
He often goes to Tokyo.	彼はしばしば東京に行きます。
He asked for more money.	彼はさらにお金を要求した。
He always takes notes.	彼はいつもメモをつけています。
He died at the age of 70.	彼は７０歳で亡くなった。
All he said was true.	彼の言ったことは全部本当でした。
You can ask him for help.	彼に助けを頼んでごらん。
I see him once in a while.	彼には時たま会います。
Does he have any children?	彼には子供がいますか。
He is learned in Russian.	彼にはロシア語が通じる。
I'd rather not meet him.	彼にはあまり会いたくない。
Have you heard from him?	彼から便りがありましたか。
Do you like Japanese food?	日本食はお好きですか。
We will soon take off.	当機は間もなく離陸いたします。
Sunday follows Saturday.	土曜日の次は日曜日がくる。
I think it's by the Chuo Line.	中央線ですね。
You must act like a man.	男らしく行動すべきである。
That's really great!	前よりずーっと良くなっていますよ。
I'm not as young as I was.	昔のような元気はない。
Food works on our health.	食べ物は健康を左右する。
The girl was in her best.	少女は晴れ着を着ていた。
I'm all set to start.	出発の準備はできあがっています。
I have no money with me.	手持ちのお金はありません。
Have you had an answer?	手紙の返事はもらいましたか。
May I ask you a question?	質問をしてもいいですか。
What's in front of you?	自分の前に何があるのですか。
Just follow your heart.	自分の思うとおりにしなさい。
Can you tell me the time?	時間を教えてくれないか。
We talked the night away.	私達は夜を語り明かした。
I'll be reading a book.	私は本を読んでいるでしょう。
I believe what he says.	私は彼の言うことを信じます。
I made him open the door.	私は彼に戸を開けさせた。
I left the money with him.	私は彼にお金を貸した。
I'm sure he will come.	私は彼が来ると確信しています。
I practice early rising.	私は早起きを実行している。
I have a book in my hand.	私は手に本を持っている。
I know it for a fact.	私は事実としてそれを知っている。
I watched TV last night.	昨夜はテレビを見てました。
I can't do anything.	私には何もすることができないんだ。
I am studying very hard.	私は一生懸命勉強している。
I have met him before.	私は以前彼に会ったことがある。
I am no longer a child.	私はもう子供ではありません。
I can speak French.	私はフランス語を話すことが出来ます。
I asked where to go.	私はどこへ行ったらよいのか尋ねた。
That sounds good to me.	私はそれでもかまいませんよ。
I should read the book.	私はその本を読むべきだった。
I'll tell him so then.	私はその時に彼にそういいます。
I've been there once.	私はそこへ１度行ったことがある。
I took to her at once.	私はすぐに彼女が好きになった。
I work at this company.	私はこの会社で働いています。
I am about to leave here.	ここを離れるところです。
I've run out of money.	私はお金が無くなってしまった。
I'll meet them at six.	私は６時に彼らに会うつもりだ。
My room is just above.	私の部屋はちょうどこの上です。
Keep my words in mind.	私のいうことを覚えときなさい。
Don't ask me for money.	私にお金をせびらないでくれ。
I get along well with her.	私と彼女は相性がいい。
We kept our books closed.	私たちは本を閉じていた。
We were at school together.	私たちは同窓生です。
We spoke what we know.	私たちは知っている事を話した。
All of us talk in English.	私たちは皆英語で話す。
We must work hard.	私たちは一生懸命働かなければならない。
We work to get money.	私たちはお金を得するために働く。
It's time to leave.	私たちの出発の時間が差し迫っている。
There was no one left but me.	私だけが残った。
Do I sound in love?	私が恋をしているように聞こえますか。
Be kind to the children.	子供たちに親切にしなさい。
Let's get down to business.	仕事に取りかかろう。
Are you here on business?	仕事で来られたのですか。
Where were you last night?	昨日の夜どこにいたの？
May I speak to Mr. Sato?	佐藤さんとお話出来ますか。
Let's make a night of it.	今夜は大いに楽しもうよ。
I'll be free this evening.	今晩は何も予定がない。
How about next Saturday?	今度の土曜日はどうですか。
It is another story now.	今では事情が変わってきた。
Let's get started right away.	今すぐ始めよう。
Now is the time for action.	今こそ行動する時だ。
May I talk to you now?	今お話ししてもよろしいですか。
There is a man at the door.	戸口に男の人がいる。
The door remained closed.	戸は閉まったままだった。
The door opened by itself.	戸はひとりでに開いた。
You must study hard.	君は熱心に勉強しなければならない。
You may keep the book.	君はその本を持っていていいよ。
Can you read this kanji?	君はこの漢字が読めますか。
I'll give you this money.	君にこのお金を上げよう。
You and I are the same age.	君と僕とは同じ年だ。
You and I are the same age.	君と僕とは同い年だ。
I have some money with me.	金はいくらかあります。
You just need a good rest.	休養が必要なんですよ。
I understand how you feel.	気持ちを御察しします。
I met him on my way home.	帰宅の途中で彼に会った。
The meeting was held here.	会議はここで開かれた。
The meeting is ten days away.	会議は１０日後。
How many people in your party?	何人様ですか。
What are you talking about!?	何言ってるんだよ！
Must I speak English?	英語を話さなければなりませんか。
There is no air in space.	宇宙空間には空気がない。
Can the report be true?	一体その報告は本当だろうか。
Lincoln died in 1865.	リンカーンは１８６５年に死んだ。
Have you called her yet?	もう彼女に電話しましたか。
Mary can speak Japanese.	メアリーは日本語が話せる。
I met a friend of Mary's.	メアリーの友達にあった。
Mike and Ken are friends.	マイクとケンは友達です。
Did you hear that, Mike?	マイク、今の話聞いたかい。
