Wow!	すごい！
I have a fondness for sweets.	私は甘いものが好きだ。
I love rock musicians.	私はロックミュージシャンが大好きだ。
I went there of necessity.	私はやむを得ずそこへ行った。
I am a poor correspondent.	私はめったに手紙を書かない。
I said so purely in jest.	私はただ冗談にそう言ったのだ。
I went to Kawagoe by taxi.	私はタクシーで川越へ行った。
I unwillingly undertook it.	私はそれを嫌々引き受けた。
I cannot abide the insult.	私はその侮辱が我慢できない。
I named the kitten Tama.	私はその猫に「たま」と名づけた。
I was dismayed at the news.	私はその知らせに当惑した。
I was overtaken by the car.	私はその車に追いつかれた。
I was amazed at the results.	私はその結果に仰天した。
I cannot help deciding so.	私はそう決断せざるを得ない。
I've never played golf.	私はゴルフをしたことがありません。
I had a toothache yesterday.	私はきのう歯が痛かった。
I don't enjoy tennis.	私はあまりテニスがすきではありません。
I commute to work for an hour.	私は１時間通勤する。
My wristwatch keeps good time.	私の腕時計は正確だ。
My land abuts on the river.	私の土地は川に接している。
My bicycle needs fixing.	私の自転車は修理する必要が有る。
My sister is a good swimmer.	私の姉は水泳が得意です。
Please repeat after me.	私の後について繰り返してください。
My conjunctivitis is chronic.	私の結膜炎は慢性です。
My punch sent him reeling.	私のパンチで彼はよろめいた。
I don't dig modern jazz.	私にはモダンジャズは分からない。
I cannot lift this stone.	私にはこの石は持ち上がらない。
We accepted his invitation.	私たちは彼の招待に応じた。
We watched TV after lunch.	私たちは昼食後テレビを見た。
We played tennis yesterday.	私たちは昨日テニスをした。
We went to a restaurant.	私たちはレストランに行きました。
Arithmetic deals with numbers.	算数は数を取り扱う。
Do you like giving haircuts?	散髪するのは好きですか。
Give me three pieces of salmon.	鮭を３切れ下さい。
We went into the red last year.	昨年は赤字でした。
How about dining out tonight?	今夜外食にしてはどう？
Windy this morning, isn't it?	今朝は風が強いですね。
I have to do my homework.	今は、宿題をしないといけない。
I can't straighten out my back.	腰が伸ばせません。
Do you play golf, Takaki?	高木さん、ゴルフはやりますか。
Luckily, I won first prize.	幸運にも私は１等賞を得た。
Take whichever you like.	好きなものをどれでも取りなさい。
I have a ulcer in my mouth.	口内炎ができているのです。
Great talkers are little doers.	口自慢の仕事下手。
She implored for mercy.	後生だから助けてくれと泣きついた。
A fox was caught in the snare.	狐がわなにかかった。
She has constructive ideas.	彼女が建設的な構想を持つ。
The moonlight shone brightly.	月の光が明るく輝いた。
The moon is shining brightly.	月が明るく輝いている。
Nothing happened after all.	結局なにも起こらなかった。
You were wrong after all.	結局、君のほうが間違っていた。
The officer gripped his arm.	刑事は彼の腕をつかんだ。
I was not scolding you.	君を叱っていたわけじゃないんだよ。
You cannot buy that judge.	君はあの判事を買収できない。
You really are hopeless.	君って本当にどうしようもないね。
We cannot live without air.	空気なしでは生きられない。
Do you have any vacancies?	空いている部屋はありますか。
Close things look blurred.	近くの物がかすんで見えます。
Fear robbed him of speech.	恐怖で彼は口がきけなかった。
Blotting paper absorbs ink.	吸取り紙はインク吸い取る。
It was just polite applause.	義理だけの拍手をもらう。
The logs flamed brightly.	丸太はあかあかと燃え上がった。
We hope to lower the tariff.	関税を下げることを望む。
All the audience was excited.	観衆はみんな興奮した。
It cannot be completely cured.	完全には治りません。
Let's sing some merry songs.	楽しい歌を何曲か歌おう。
School reopens in September.	学校は九月に再開される。
Foreigners admire Mt. Fuji.	外国人は富士山を賛美する。
It is getting dark outdoors.	外は暗くなりかけている。
Turtles live to a great age.	海がめは高齢まで生きる。
We are apt to waste time.	我々は時間を浪費しがちである。
We discussed the matter.	我々はその問題について議論した。
We are solidly behind you.	我々はこぞって君を支持する。
We have a traitor among us.	我々の中に裏切り者がいる。
We naturally got excited.	我々が興奮したのは当然だった。
Let bygones be bygones.	過ぎたことは過ぎたことにしておけ。
Make room for the baggage.	荷物を置く場所を空けてくれ。
Hold the vase in both hands.	花瓶は両手で持ちなさい。
The vase burst into fragments.	花瓶は粉々に砕けた。
The vase was broken to pieces.	花瓶が粉々に割れた。
Grass is luxuriant in summer.	夏には草がよく伸びる。
Don't do anything by halves.	何事も中途半端にするな。
How well she is singing!	何と上手に彼女は歌っているんだ。
My lower abdomen feels bloated.	下腹部が張ります。
The thermometer reads 10C.	温度計は１０度を指している。
I have a strong backhand.	俺はバックで打つ方が得意だな。
The king crushed his enemies.	王は敵軍を壊滅させた。
There are rumors in the air.	噂が世間に広まっている。
Rainy days make me depressed.	雨の日は気がめいるよ。
Can you lend me 10,000 yen?	一万円貸してくれませんか。
Taro Ito was found guilty.	伊藤太郎は有罪と判決された。
Stop yelling, I beg you.	わめくのをやめて、お願いだから。
Roger is a party animal.	ロジャーはパーティーが大好きだ。
The lemon is a sour fruit.	レモンはすっぱいくだものだ。
You managed it after all.	やっぱり何とかやってのけたね。
Half of the melon was eaten.	メロンが半分食べられた。
Meg sometimes annoys Ken.	メグはときどきケンを困らせる。
I have an allergy to milk.	ミルクにアレルギーなんです。
Mike has a nice racket.	マイクは良いラケットを持っている。
Bob is really a brown noser.	ボブは本当にごますりだ。
Mr Hawk is a kind gentleman.	ホーク氏は親切な紳士だ。
Wine is made from grapes.	ブドウ酒はブドウから作られる。
The owl can see in the dark.	ふくろうは暗闇が見える。
Bill can ride a bicycle.	ビルは自転車に乗ることができる。
The hail harmed the crops.	ひょうが作物に被害を与えた。
I was agreeably surprised.	びっくりしたが、嬉しかった。
Drinking beer refreshes me.	ビールを飲むと生き返るね。
A rose has thorns on its stem.	バラは茎に刺がある。
Close the door after you.	はいった後はドアを閉めなさい。
A mouse is a timid creature.	ネズミは臆病な生き物だ。
I can't get rid of my pimples.	にきびが治りません。
Nancy doesn't play tennis.	ナンシーはテニスをしません。
Why are you panting so?	なぜそんなに息をきらしているのか。
No matter how hard I tried.	どんなにがんばってみても。
Tom worked like a madman.	トムは気が狂ったように働いた。
Tom is as tall as Jack.	トムはジャックと背が同じくらいだ。
Take whichever you like.	どちらでも好きな方を取りなさい。
After all she did not come.	とうとう彼女は来なかった。
Germans are a frugal people.	ドイツ人は質素な国民だ。
It is easy to play tennis.	テニスをすることはやさしい。
Don't quarrel over trifles.	つまらぬ事で喧嘩をするな。
He had a tuberculin test.	ツベルクリン検査は受けました。
At last, he gained his ends.	ついに彼は目標を達した。
Your demands are unreasonable.	それは無理な注文だ。
That's putting it mildly.	それは控え目に言ってるんだよ。
It's a matter of etiquette.	それはエチケットの問題だ。
The apple is not yet ripe.	その林檎はまだ熟していない。
The medicine worked marvels.	その薬は驚くほど効いた。
The matter is all settled.	その問題はすべて解決済みだ。
The report cannot be true.	その報告は本当ではなかった。
The soldier acted bravely.	その兵士は勇敢に振る舞った。
The soldiers turned traitor.	その兵士たちは裏切った。
He was bewildered on that day.	その日彼は困惑した。
The soil retained richness.	その土壌は豊かさを保った。
The thief admitted his guilt.	その泥棒は罪を認めた。
Game birds abound in the area.	その地区猟鳥が多い。
The post will fall vacant.	その地位は空席になるだろう。
The boy got his hands dirty.	その男の子は手を汚した。
Fish abound in this river.	その川には魚がいっぱいいる。
Birds abound in the woods.	その森には鳥がたくさんいる。
That girl looks boyish.	その女の子は男の子のように見える。
The failure depressed him.	その失敗で彼は憂鬱になった。
The boy soon went to sleep.	その子はまもなく寝ついた。
The lake abounds with fish.	その湖には魚が豊富にいる。
He lied about the matter.	その件について彼は嘘をいった。
The hill overlooked the sea.	その丘から海が見渡せた。
The meeting is held annually.	その会は毎年開かれる。
The music lured everyone.	その音楽は全員をとりこにした。
The noise disturbed my sleep.	その音が睡眠を妨げた。
The rumor cannot be true.	その噂は本当であるはずがない。
The rumor is only too true.	その噂は残念ながら本当だ。
The grapes seem to be sour.	そのブドウは酸っぱそうだ。
The locust made a big jump.	そのイナゴは大きく跳ねた。
Whoever says so is a liar.	そういう人は誰でも嘘つきだ。
We cannot go into the studio.	スタジオに入れません。
Opportunity makes a thief.	すきを与えると魔がさすもの。
Sue is an American student.	スーはアメリカ人の学生だ。
John makes fun of his dog.	ジョンは自分の犬をからかう。
George is quite talkative.	ジョージはとても話し好きだ。
I talked myself hoarse.	しゃべりすぎて声がかれてしまった。
After a while, it grew dark.	しばらくして暗くなった。
John cannot keep his family.	ジェンは家族を養えない。
Is it OK if I go in jeans?	ジーンズで行ってもいいかな？
Sally called on Mr Taylor.	サリーはテイラー氏を訪ねた。
Hi, George! How's it going?	こんにちはジョージ、どう？
These blouses are long sleeved.	これらは長袖です。
This is a handy little box.	これは使いやすい木箱です。
This is a handy little box.	これは使いやすい小箱です。
This is a variety of violet.	これはスミレの一種です。
Have you ever played golf?	ゴルフをしたことがあるかい？
This clasp won't fasten.	この留金がどうしてもかからない。
This problem is in his field.	この問題は彼の領分だ。
This book deals with China.	この本は中国を扱っている。
The report cannot be true.	この報道は本当のはずがない。
What does this news augur?	この報道は何の前兆だろうか。
Does this dress look OK on me?	この服似合うかしら？
I cannot accept this gift.	この贈り物は受け取れません。
This window won't fasten.	この窓はどうしても閉まらない。
This river is not polluted.	この川は汚染されていない。
The novel is very exciting.	この小説はとても興奮する。
This bicycle needs oiling.	この自転車は油が切れている。
This bicycle belongs to me.	この自転車は私のものです。
This watch wants mending.	この時計は修理する必要がある。
This ring lost its luster.	この指輪は光沢をうしなった。
How do you view this matter?	この件をどう思いますか。
This metal burnishes well.	この金属は磨くとつやがでる。
This metal is free of rust.	この金属は錆とは無縁です。
This fish is unfit to eat.	この魚は食べるのに適さない。
This racket belongs to me.	このラケットは私のものです。
These lilies smell lovely.	このユリはいいにおいがする。
Is this beeper yours?	このポケットベルはあなたのものですか。
I don't like this sweater.	このセーターは気に入らない。
I'm troubled by this wart.	このいぼに悩まされています。
Pepper burned his mouth.	コショウで彼の口がひりひりした。
Beware of pickpockets here.	ここではスリに気をつけて。
I have a pricking pain here.	ここがちくちく痛みます。
I prefer coke to coffee.	コーヒーよりコーラの方が好きだ。
The coffeepot is boiling.	コーヒーポットが沸騰している。
Would you dine with me?	ごいっしょに食事でもいかがですか。
A nail punctured the tire.	くぎが車のタイヤに刺さった。
Playing the guitar is fun.	ギターをひくのはおもしろい。
She sets your world alight.	お前の世界へ光をもたらす。
Have a satsuma for dessert.	お口直しにミカンをどうぞ。
He hung his head sheepishly.	おどおどして首をたれた。
Rice gruel is easy to digest.	おかゆは消化しやすい。
Emily ate tofu at dinner.	エミリーは夕食に豆腐をたべた。
Our home is a condominium.	うちは、コンドミニアムです。
In Wales we have a proverb.	ウェールズに諺があります。
Did you buy a nice bicycle?	いい自転車を買いましたか。
Yeast makes beer ferment.	イーストはビールを発酵させる。
Is that a cow or a buffalo?	あれは牛ですか水牛ですか。
Don't go too far afield.	あまり遠くへ行ってはいけないよ。
Look at that big hammer.	あの大きなハンマーを見てごらん。
That politician is an old fox.	あの政治家は悪賢い。
The boy often runs errands.	あの子はよくお使いをする。
Annie ate nervously.	アニーは不安な気持ちで食事をしたものだ。
Pardon all but thyself.	あなた以外の者をすべて許しなさい。
Do you disobey me?	あなたは私の言うことに逆らう勇気があるのか。
Can you play the violin?	あなたはバイオリンが弾けますか。
After you with the salt.	あなたの次に塩をお回しください。
The hydrangea blooms in June.	あじさいは６月に咲く。
He is no better than a thief.	あいつは盗人も同然だ。
Ah, you're leaving tomorrow!	ああ明日発つんだってね。
Aha, you did it, didn't you?	ああ、君がやったんだね。
Beggars cannot be choosers.	乞食は選択者にはなれない。
I'm very disappointed in you.	君には心底失望したよ。
I'll reconsider the matter.	ちょっと考え直してみるよ。
There's a sauna and a pool.	サウナとプールがあります。
He hung his coat on a hook.	彼は上着をフックに掛けた。
This food is gluten-free.	その食品はグルテンフリーです。
Someone controlled it remotely.	誰かが遠隔操作をした
He cheered the athletes on.	彼は選手たちにエールを送った
I use the restroom in my office.	職場のトイレに行く
It went back to level 5 again.	レベルが再び５に戻った
His eyebrows went up slightly.	彼がわずかに眉を上げる
The fans will be disappointed.	それはファンの人に悪い
His voice came from behind.	彼の声が後ろから聞こえました
Our talk hit a stalemate.	話がなかなか前に進みませんでした
The fans sincerely wish for X.	Xをファンが心から望む
He is always attentive to X.	彼がXにいつも気を配ります
He is amazed by the beauty.	彼が思わず美しさに目を見張る
My hands tremble with nerves.	緊張で手がぶるぶる震える
It's simply overwhelming.	それはまさに圧巻の一言に尽きます
X is a boon for beginners. 	Xが初学者には何より有り難い
She was in a piteous state.	彼女は哀れを誘う有様だった。
Men love amorous women.	男性は色っぽい女性が大好きなのです。
'Childhood friends' are scary.	幼馴染ってこわ・・・。
Eat up all your spinach!	ほうれん草をのこさずにたべなさい。
The old man breathed his last.	老人は息を引きとった。
Streetcars run on electricity.	路面電車は電気で動く。
The train leaves at 2:30 p.m.	列車は午後２時半に出る。
Birds of a feather flock together.	類は友を呼ぶ。
Tears rolled down his cheeks.	涙がほおを伝わり落ちた。
How long is the stopover?	立ち寄り時間はどれくらいですか。
Hey you, make a reservation.	おい、きみ、予約してくれ。
Could you tell me the ETA?	予定到着時刻を教えてください。
Yumi will not play tennis.	由美はテニスをしないでしょう。
Famous china is on display.	有名な陶器が陳列されている。
I went shopping with a friend.	友達と買い物に行った。
Bravery is a great virtue.	勇敢さは素晴らしい美徳である。
A blood transfusion is necessary.	輸血が必要です。
A saint's maid quotes Latin.	門前の小僧習わぬ経を読む。
My eyes are brimming with tears.	目が泪であふれた。
The pot calls the kettle black.	目くそ鼻くそを笑う。
I believe you have appendicitis.	盲腸のようですね。
Tomorrow morning will be OK.	明日の朝なら空いています。
What's the stop after Nagoya?	名古屋の次はどこですか。
I shouldn't have overdone it.	無茶しなければよかった。
I'm sleepy, so I am leaving now.	眠いから帰ります。
I do feel on the mend.	本当によくなっている感じがしますもの。
I went on foot only one way.	僕は片道だけ歩いていった。
My hobby is reading comics.	僕の趣味は漫画を読む事です。
Bees fly from flower to flower.	蜂は花から花に飛ぶ。
Let me go. You're choking me.	放してくれ、息が詰まる。
My mother gazed at me fondly.	母は優しい目で私を見た。
My mother excused his mistake.	母は彼の過ちを許した。
Mother bought us a puppy.	母は私たちに小犬を買ってくれた。
Mother bought a loaf of bread.	母はパンを一個買った。
Must I repaint the wall?	壁はぬりかえなければなりませんか。
Rice is sold by the kilogram.	米はキロ単位で売られる。
Beggars can't be choosers.	物をもらうのに好みは言えない。
How do I get reimbursed?	払い戻しはどうしたらいいのですか。
I got a camera in a lottery.	福引きでカメラが当たった。
The weather vane points north.	風見は北をさしている。
Losing injured their pride.	負けて彼らの誇りが傷ついた。
My father has gone to China.	父は中国へ行ってしまった。
Father is proud of his car.	父は自分の車を自慢している。
My father went out just now.	父はついさきほど出かけた。
The patient breathed his last.	病人は息を引き取った。
The airplane flew very low.	飛行機は大変低く飛んでいた。
They asked after my father.	彼女達は父の容体をたずねた。
She continued to talk coolly.	彼女は冷静に話し続けた。
She fell prey to melancholy.	彼女は憂鬱症の虜に成った。
She was deceived by a friend.	彼女は友人にだまされた。
She was tricked up in jewels.	彼女は宝石で飾りたてた。
She went out of her study.	彼女は勉強部屋から出ていった。
She stained the wall beige.	彼女は壁をベージュ色にした。
She is remarkably attractive.	彼女は並外れて魅力的だ。
She felt her knees tremble.	彼女は膝が震えるのを感じた。
She went to the hairdresser's.	彼女は美容室に行った。
She is endowed with beauty.	彼女は美しさを備えています。
She is five years his junior.	彼女は彼より５才年下だ。
She guaranteed his debts.	彼女は彼の借金の保証人になった。
She turned down his proposal.	彼女は彼の求婚を断った。
She wears her hair in a bun.	彼女は髪を丸く束ねている。
She keeps her hair in curls.	彼女は髪をカールしている。
She had long blond hair.	彼女は長いブロンドの髪をしていた。
She shouted herself hoarse.	彼女は声がかれるまで叫んだ。
She is a natural musician.	彼女は生まれながらの音楽家だ。
She was aware of his eyes.	彼女は親の視線にきづいていた。
She slept off her hangover.	彼女は寝て二日酔いを治した。
She strode over the brook.	彼女は小川をひょいとまたいだ。
She is famous as an actress.	彼女は女優として有名です。
She practices as a dentist.	彼女は歯科医を開業している。
She bade farewell to me.	彼女は私に別れのあいさつを述べた。
She provided for an urgency.	彼女は危急の事態に備えた。
She saw play after play.	彼女は何本もたて続けに芝居を見た。
She came home after dark.	彼女は暗くなってから家に帰った。
She was profuse in praises.	彼女はやたらと誉めちぎった。
She is proficient in French.	彼女はフランス語が堪能だ。
She went to Chicago by bus.	彼女はバスでシカゴへ行った。
She plays tennis very well.	彼女はテニスがとてもうまい。
She bore the pain bravely.	彼女はその痛みを立派に耐えた。
She gets angry at trifles.	彼女はささいな事に腹を立てる。
She married her classmate.	彼女はクラスメートと結婚した。
She is in a cute swimsuit.	彼女はかわいい水着を着ている。
She was holding an umbrella.	彼女は手に傘を持っていた。
She is of American parentage.	彼女はアメリカ系である。
She got married in her teens.	彼女は１０代で結婚した。
Her eyes brimmed with tears.	彼女の目には涙があふれた。
Take heed of her advice.	彼女の忠告を心に留めておきなさい。
She looked after the child.	彼女がその子供の世話をした。
They appointed him manager.	彼らは彼を支配人に任命した。
They appointed him chairman.	彼らは彼を議長に任命した。
They teased the new student.	彼らは新入生をからかった。
They went to Chicago by car.	彼らは車でシカゴへ行った。
They went against my wishes.	彼らは私の希望に反対した。
They disposed of the old car.	彼らは古い車を処分した。
They went to Kyoto last year.	彼らは去年京都へ行った。
They went after the parade.	彼らはパレードの後を追った。
They can play the guitar.	彼らはギターを弾くことができる。
They sang one after another.	彼らはかわるがわる歌った。
Their car overtook ours.	彼らの車は私たちの車に追いついた。
I overheard their mockery.	彼らのあざ笑いをふと耳にした。
He gave an account of his trip.	彼は旅行の話をした。
He severed himself from the party.	彼は離党した。
He has a name for cleverness.	彼は利口だという評判だ。
I'm afraid he cannot come.	彼は来られないかもしれません。
He went to bed after supper.	彼は夕食のあと床についた。
He went by the post office.	彼は郵便局の側を通り過ぎた。
He shook hands with his friend.	彼は友人と握手した。
He always fulfills his promises.	彼は約束を果たす。
He is sincere in his promises.	彼は約束に誠実である。
He was gray, like his name.	彼は名前のように灰色でした。
He is loafing every day.	彼は毎日ごろごろ寝て暮らしてます。
He stuck the book in his bag.	彼は本を鞄につっこんだ。
He was deaf to my pleas.	彼は僕の訴えを聞こうとしなかった。
He went skiing in Hokkaido.	彼は北海道へスキーに行った。
He went out without a hat.	彼は帽子をかぶらずに出かけた。
He concentrated on his studies.	彼は勉強に集中した。
He took his defeat hard.	彼は負けたことを深刻にうけとめた。
He substituted for his father.	彼は父親の代理をした。
He is not equal to his father.	彼は父親には及ばない。
He disagreed with his father.	彼は父と意見が衝突した。
He is the picture of his father.	彼は父そっくりだ。
His nose is his best feature.	彼は鼻がいちばん立派だ。
He exaggerates the harm done.	彼は被害を大げさに言う。
He didn't reveal his secret.	彼は秘密を明かさなかった。
He went so far as to hit her.	彼は彼女を殴りさえした。
He made her a bookshelf.	彼は彼女に本棚を作ってあげました。
He bade her adieu forever.	彼は彼女に永遠の別れを告げた。
He bought her a sweater.	彼は彼女にセーターを買ってあげた。
He is accurate in his judgement.	彼は判断が正確だ。
He tiptoed into the room.	彼は抜き足差し足で部屋に入った。
He wept tearing his hair.	彼は髪をかきむしりながら泣いた。
He was opposed to monopolies.	彼は独占に反対していた。
He descended to stealing.	彼は盗みをするまでに落ちぶれた。
He fell, twisting his ankle.	彼は転んで足首を捻挫した。
He surprised his opponent.	彼は敵に不意打ちを食らわせた。
He put live bait on a hook.	彼は釣り針に生き餌をつけた。
He is eager to go to China.	彼は中国に行きたがっている。
He is only someone's stooge.	彼は誰かの手先に過ぎない。
He was accused of evading tax.	彼は脱税で非難された。
He's running for Congress.	彼は代議士に立候補しています。
He named his son James.	彼は息子をジェームズと名付けました。
He is as talkative as ever.	彼は相変わらずおしゃべりだ。
He was covered with bruises.	彼は全身あざだらけだった。
He went fishing in the river.	彼は川へ魚釣りに行った。
He is an energetic politician.	彼は精力的な政治家だ。
He jumped across the puddle.	彼は水たまりを飛び越した。
He was a god to his people.	彼は人民にとって神様でした。
He lives within his means.	彼は身分相応な生活をしている。
He embarked on a new study.	彼は新しい研究に乗り出した。
He was negligent of his duties.	彼は職務怠慢だった。
He tied the twigs into bundles.	彼は小枝を束にした。
He went to Tokyo on business.	彼は商用で東京へ行った。
He lay injured on the ground.	彼は傷ついて倒れていた。
He is a hen-pecked husband.	彼は女房の尻に敷かれている。
He was busy with his homework.	彼は宿題で忙しかった。
He fired most of his men.	彼は従業員のほとんどを首にした。
He shook his head up and down.	彼は首を上下に振った。
He stuck to his principle.	彼は主義を通して譲らなかった。
He hated his own kind.	彼は自分自身に似た連中が大嫌いだった。
He boasted about his skills.	彼は自分の腕前を披露した。
He was cleaning his room.	彼は自分の部屋の掃除をしていた。
He put his affairs in order.	彼は自分の身辺を整理した。
He named his puppy Pooch.	彼は自分の小犬をポチと名づけた。
His actions damned him.	彼は自分の行いのために身を滅ぼした。
He persisted in his opinion.	彼は自分の考えに固執した。
He persisted in his opinion.	彼は自分の意見に固執した。
He did the work on his own.	彼は自分で仕事をやりとげた。
He did it of his own accord.	彼は自発的にそれをやった。
He was injured in the accident.	彼は事故で負傷した。
He is a poet and novelist.	彼は詩人であり、かつ小説家だ。
He has distorted my speech.	彼は私の話をゆがめて伝えた。
He showed me his album.	彼は私に彼のアルバムを見せてくれた。
He received me cordially.	彼は私に心をこめて迎えてくれた。
He made me carry his baggage.	彼は私に荷物を運ばせた。
He assured me of his help.	彼は私に援助すると請け合った。
He is absorbed in his work.	彼は仕事に夢中になっている。
He fells trees in the mountain.	彼は山中で木を切る。
He was convicted of murder.	彼は殺人罪の評決を下された。
He breathed his last breath.	彼は最後の息をひきとった。
He wandered around the lake.	彼は湖の回りをぶらついた。
He chose his words carefully.	彼は言葉を慎重に選んだ。
He erred on the side of severity.	彼は厳格すぎた。
He never breaks his promise.	彼は決して約束やぶらない。
He grappled with his brother.	彼は兄と取っ組み合った。
He is rich, but he is unkind.	彼は金持ちだが不親切だ。
Was he lying on his back?	彼は仰向けに倒れていたのですか。
He was paralyzed with terror.	彼は恐怖で立ちすくんだ。
He has an enormous conceit.	彼は恐ろしくうぬぼれている。
He is contented with his lot.	彼は境遇に満足している。
He cannot be a slow learner.	彼は覚えが遅いはずがない。
He seems to be wary of us.	彼は我々を警戒しているようだ。
He partook of dinner with us.	彼は我々と共に食事した。
He got sick from overwork.	彼は過労が原因で病気になった。
I hear that he sold his house.	彼は家を売ったそうだ。
What a good swimmer he is!	彼は何と水泳が上手なのだろう。
He embraced his son warmly.	彼は温かく息子を抱きしめた。
He's working at his English.	彼は英語の勉強をしている。
He was drenched by the rain.	彼は雨でずぶぬれになった。
He remained poor all his life.	彼は一生涯貧乏だった。
He chucked me the apple.	彼はりんごをぽいとなげてよこした。
He came tumbling after.	彼はよろめきながら後からついてきた。
He is after a better job.	彼はもっとよい仕事を探している。
He lost his umbrella again.	彼はまた傘を置き忘れてきた。
He ran water into the bathtub.	彼はふろに水を入れた。
He elbowed me in the ribs.	彼はひじで私の脇腹をつついた。
He is famous as a pianist.	彼はピアニストとして有名です。
He painted a picture of roses.	彼はバラの絵を描いた。
How well he can skate.	彼はなんとスケートが、うまいのだろう。
He'll clutch at any straw.	彼はどんな藁をもつかむだろう。
He did it with great zeal.	彼はとても熱心にそれをやった。
He went to some place or other.	彼はどこかへ行った。
He is rather poor at tennis.	彼はテニスがかなり下手だ。
He achieved his aim at last.	彼はついに目的を果たした。
He is shrewd and calculating.	彼はちゃっかりしている。
He has any number of books.	彼はたくさん本を持っている。
He did it of his own accord.	彼はそれを自発的に行った。
He told his brother the story.	彼はその話を弟にした。
He was agitated by the news.	彼はその知らせに動揺した。
He absconded with the money.	彼はその金を持ち逃げした。
He was utterly perplexed.	彼はすっかりまごついてしまった。
He is disposed to laughter.	彼はすぐ笑い出す傾向がある。
He came to listen to jazz.	彼はジャズを聴くようになった。
He likes playing soccer.	彼はサッカーをするのが最も好きだ。
He is a Cicero in eloquence.	彼はキケロの様な雄弁家だ。
He had a shot at the goose.	彼はガンに向かって発砲した。
He narrowly escaped death.	彼はかろうじて命をとりとめた。
He boarded with his aunt.	彼は叔母さんの家に下宿していた。
He lied his way out of it.	彼はうそを言ってうまく逃げた。
His story is highly colored.	彼の話はそうとう大袈裟だ。
His speech turned us off.	彼の話に私達はしらけてしまった。
His request was as follows.	彼の要求は次の通りであった。
His predictions have come true.	彼の予感があたった。
I was amazed at his courage.	彼の勇気にはびっくりした。
His ambition knows no bounds.	彼の野心にはきりがない。
His eyes are bathed in tears.	彼の目は涙でぬれている。
His name heads the list.	彼の名前が名簿の最初に載っている。
I know what his name is.	彼の名前が何であるか知っています。
I can't abide his rudeness.	彼の無作法には我慢ならない。
No one knows his real name.	彼の本当の名を誰も知らない。
His clothes are out of fashion.	彼の服は時代遅れだ。
His clothes were dripping.	彼の服からしずくが垂れていた。
His room is always tidy.	彼の部屋はいつもきちんとしている。
His knowledge of art is poor.	彼の美術の知識は貧弱だ。
He was guarded in his remarks.	彼の発言は慎重だった。
His horse ran in the Derby.	彼の馬はダービーに出走した。
His sympathy was mere show.	彼の同情はうわべだけだった。
His land abuts on the road.	彼の土地は道路に接している。
His efforts come to nothing.	彼の努力は無駄におわった。
We should adopt his proposal.	彼の提案を採用すべきだ。
His advice was very helpful.	彼の忠告は非常に役立った。
His advice came home to me.	彼の忠告が私の胸にこたえた。
His strength slowly declined.	彼の体力は徐々に衰えた。
His son is in college now.	彼の息子は今大学に在学中です。
His voice quavered with anger.	彼の声は怒りで震えた。
Let's drink to his success.	彼の成功を祈って乾杯しよう。
His success is out of question.	彼の成功は疑いない。
His application was rejected.	彼の申し出は拒否された。
His behavior troubles us.	彼の振る舞いは私たちを悩ませる。
Who possesses his heart?	彼の心を捕まえているのは誰ですか。
His heart filled with joy.	彼の心は喜びでいっぱいだった。
His joke made us all laugh.	彼の冗談がみんなを笑わせた。
I have read all his novels.	彼の小説は全部読んでいます。
His business is doing well.	彼の商売はうまくいっている。
His sands are running out.	彼の寿命は終わろうとしている。
His car was seriously damaged.	彼の車はひどく壊れた。
His car is gaining on us.	彼の車が我々に追いつきつつある。
His child's life is in danger.	彼の子供の命が危ない。
His sister is a real beauty.	彼の姉さんはすごい美人だ。
His job is to promote sales.	彼の仕事は販売の促進です。
Both his wife and he like it.	彼の妻も彼もそれを好む。
His action frightened us.	彼の行動は我々をぎょっとさせた。
His tone was one of sorrow.	彼の口調は悲しみ口調だった。
His services were appreciated.	彼の功績は認められた。
His breathing became faint.	彼の呼吸は次第に弱くなった。
His words hurt her feelings.	彼の言葉が彼女を傷つけた。
I am concerned about his health.	彼の健康が心配だ。
The sweat stood on his face.	彼の顔に汗がにじんでいた。
A rash appeared on his face.	彼の顔に吹き出物ができた。
His pictures are very famous.	彼の絵はとても有名です。
His family are early risers.	彼の家族はおきるのが速い。
His house was small and old.	彼の家は小さくて古かった。
His house confronts mine.	彼の家は私の家と向き合っている。
His house was built of logs.	彼の家は丸太でできていた。
His speech was very poor.	彼の演説は、たいへんまずかった。
I can do without his help.	彼の援助無しでもやって行ける。
Don't count on his help.	彼の援助を当てにしてはいけません。
You cannot rely on his help.	彼の援助は当てに出来ない。
I can do without his help.	彼の援助なしでもやっていける。
His lie complicated matters.	彼の嘘が事態を複雑にした。
His opinion is reasonable.	彼の意見は道理にかなっている。
Some object to his opinion.	彼の意見に反対する人もいる。
All of us went besides him.	彼のほかに私たち皆が行った。
His alibi seemed cast-iron.	彼のアリバイは完璧に見えた。
Nothing comes amiss to him.	彼に不都合なことは何もない。
I will have him mend my shoes.	彼に靴を修理させよう。
He has an inferiority complex.	彼には劣等感があるね。
He is devoid of common sense.	彼には常識が欠けている。
He has my fate in his hands.	彼が私の運命を握っている。
His reelection seems sure.	彼が再選されるのは確実だろう。
I don't know where he went.	彼がどこへ行ったか知らない。
The criminal left footprints.	犯人は足跡を残していた。
The plank froze to the ground.	板は地面に凍りついた。
