I try.	頑張ってみる。
You ran a red light.	君は赤信号を無視して走りましたね。
You must not tell a lie.	君は嘘をついてはいけない。
You must go to bed now.	君はもう寝なければならない。
Choose the one you like.	君の好きなのを選びなさい。
Prices are high these days.	近ごろは物価が高い。
Let your hair down a little.	気を楽に持とうよ。
Easy come, easy go.	楽に得たものは、すぐに失ってしまう。
I'm looking forward to it.	楽しみにしております。
We stood face to face.	我々は向かい合って立っていた。
We will fight to the last.	我々はあくまでも闘う。
I'm just going to stay home.	家にいる予定です。
What time do you go to bed?	何時に寝るのですか。
What would you like to eat?	何が食べたいですか。
I don't want to go alone.	一人で行くのはいやです。
Did you come here alone?	一人でここに来たのですか。
You should stay in bed.	安静にして寝ていてください。
Bad money drives out good.	悪貨は良貨を駆逐する。
I was at a loss for an answer.	挨拶に困った。
"Now, boys." he said.	やあ、みんな。と彼は言いました。
May I start eating now?	もう食べ始めてもいいですか。
I can't walk another step.	もう一歩も歩けないよ。
I can't walk any farther.	もうこれ以上歩けないよ。
I can't walk any further.	もうこれ以上は歩けない。
Bob can drive a car, too.	ボブも車を運転できます。
Bob and Tom are brothers.	ボブとトムは兄弟である。
I will try it again.	ぼくはそれをもう一度やってみよう。
How long have you waited?	どのくらい待ちましたか。
They are all of a price.	それらはみんな同じ値段だ。
That is quite possible.	それは大いにありうることだ。
That's quite another thing.	それは全く別の事だ。
That's not my concern.	それは私の知ったことではない。
It begins at six-thirty.	それは６時半に始まります。
I know that much myself.	それくらい僕も知っている。
Let's wait around for her.	その辺で彼女を待とう。
It is long way to the town.	その町は遠いですよ。
The boy feared the dark.	その男の子は暗闇を恐れた。
It'll be too late then.	その時では遅すぎるでしょう。
I object to going there.	そこへ行くことには反対だ。
Who is standing there?	そこに立っているのは誰ですか。
John is my younger brother.	ジョンは私の弟です。
What do you want to eat?	じゃ、何が食べたいですか。
Will you sign it for me?	サインしてもらえるかしら。
Well begun is half done.	さいさき良ければ半ば成功。
Now let's begin the game.	さあ試合を始めましょう。
All is completed with this.	これで全てが完成だ。
I made this food myself.	この料理は私が作りました。
This question isn't easy.	この問題は簡単ではない。
This land is my property.	この土地は私の所有物だ。
This water is good to drink.	この水は飲めます。
This plant is good to eat.	この植物は食べられる。
Who is this letter from?	これは誰からの手紙ですか？
This car is as good as new.	この車は新品同様だ。
This car is my father's.	この車は私の父のものです。
Choose between these two.	この２つから選びなさい。
Here is a letter for you.	ここに君宛の手紙がある。
This place has everything.	ここには何でもあるよ。
Did you have a good sleep?	ぐっすり眠れましたか。
I like the way you walk.	かっこいい歩き方をするね。
I've heard a lot about you.	お噂は聞いています。
My son is just idling.	うちの息子は遊んでばかりいる。
That boy's hair is black.	あの少年の髪は黒いです。
Yours is not bad, either.	あなたも悪くありません。
Can you drive a car?	あなたは自動車の運転ができますか。
What long hair you've got!	あなたの髪は長いわね。
What's your blood group?	あなたの血液型は何ですか。
What does USSR stand for?	ＵＳＳＲは何の略ですか。
I'll stay here until ten.	１０時までここにいます。
More efforts are needed.	さらにいっそうの努力が必要だ
I am most concerned about X.	私はXに一番気を使う
X will come into view quickly.	Xがすぐ目に入る
He will never try that.	彼はそれに絶対に手を出しません
The value is shown in figure 1.	値を表１に示す
That is really bad for you.	それはホントに体に悪い
He will draw a line there.	彼がそこに一本の線を引く
Everything is included here.	この中にすべてを含む
X has a significant influence.	Xの影響が大きい
It records all information.	すべての情報を記録する
540 courses are offered.	５４０の講座を開講しています
Let's go to eat together.	一緒に食べに行きましょう。
I stayed up late last night.	夕べ遅かったんです。
I really feel bad about it.	本当にごめんなさいね。
I like walking at night.	僕は夜散歩するのが好きです。
She was run over by the car.	彼女は車にひかれた。
She appears well today.	彼女は今日は調子が良さそうだ。
She looks like a teacher.	彼女は教師のように見える。
She did the work alone.	彼女はその仕事を一人でやった。
She always stood by me.	彼女はいつも私を助けてくれた。
She had her only son die.	彼女は１人息子に死なれた。
Her time is drawing near.	彼女の死期は近づいている。
It is difficult to see her.	彼女に会うのは難しい。
She may be our teacher.	彼女が私達の先生かもしれない。
Their son's name is John.	彼らの息子の名はジョンだ。
They have a lot in common.	彼らには、共通点が多い。
He works even late at night.	彼は夜遅くでも働く。
He has a walk every morning.	彼は毎朝散歩をする。
He objected to our plan.	彼は僕たちの計画に反対した。
He holds a lot of land.	彼は土地をたくさん持っている。
He accepted our offer.	彼は私たちの申し出を受け入れた。
He had to stay in bed.	彼は寝ていなければならなかった。
He tried opening the door.	彼は試しにドアを開けた。
He took no notice of me.	彼は私を気にも留めなかった。
He offered to help me.	彼は私に手伝ってくれるといった。
He lives here all alone.	彼は一人でここに住んでいる。
He has taken on bad ways.	彼は悪に染まってしまった。
He has already gone to bed.	彼はもう寝てしまった。
He reads a lot of books.	彼はたくさんの本を読みます。
He has a lot of money.	彼はたくさんのお金を持っている。
He is not always late.	彼はいつも遅刻するわけではない。
He usually gets up at six.	彼はいつも６時に起きる。
He was more or less drunk.	彼はいくぶん酔っていた。
He crossed over to England.	彼はイギリスへ渡った。
She is everything to him.	彼にとって彼女は全てです。
He and I walked together.	彼と私はいっしょに歩いた。
Your age is beginning to tell.	年には勝てない。
Choose between the two.	二つの中から一つを選びなさい。
This is a difficult situation.	難しい状況です。
Reading improves the mind.	読書は知性を向上させる。
My head has begun to clear.	頭がはっきりしてきた。
My brother is still sleeping.	弟はまだ寝ている。
Get up early in the morning.	朝早く起きなさいよ。
No one took notice of him.	誰も彼に気づかなかった。
Are you looking for someone?	誰かをお探しですか。
You've really helped me a lot.	大助かりでした。
A face appeared at the window.	窓に顔が現れた。
Sooner begun, sooner done.	早く始めれば早く終わる。
The choice is all up to you.	選択は全く君次第だ。
I took a day off last week.	先週一日休みを取った。
Production is turning down.	生産が落ち始めている。
A few days later, he came.	数日後、彼はやってきた。
Plants die without water.	植物は水が無ければ枯れる。
You have done a very good job.	上出来でしたね。
All the boys looked down.	少年たちはみな見下ろした。
I can't read small letters.	小さい文字が読めない。
Is there any help available?	助けてもらえますか。
The letter runs as follows.	手紙の文面は次の通り。
How I wish I had a car.	車があればどんなによいだろう。
She knows herself well.	自分のことがよくわかっている。
Do a better job next time.	次回はもっとうまくやれ。
How did the game come out?	試合はどうなりましたか。
I take a walk every morning.	私は毎朝散歩します。
I usually go to bed at nine.	私は普通九時に寝る。
I usually get up at eight.	私は普通８時に起きます。
I gave in to her demands.	私は彼女の要求に屈服した。
I got a letter from her.	彼女から手紙をもらったんだ。
I stayed at home last night.	私は昨夜、家にいた。
I got up late this morning.	私は今朝、遅く起きた。
I'm looking forward to it.	私は楽しみにしています。
I want something to eat.	私は何か食べるものが欲しい。
I want something to drink.	私は何か飲む物がほしい。
I don't like to be alone.	私は一人でいるのが嫌いだ。
I am not concerned with it.	私はそれには関係ない。
I found the book easy.	私はその本がやさしいとわかった。
I am remembering the word.	私はその単語を暗記中だ。
I usually get up at six.	私はいつも６時に起床します。
In my beginning is my end.	私の始めに終わりがある。
Do you wish me to help?	私に手伝ってもらいたいですか。
He began to look for a job.	仕事を捜し始めました。
What happened last night?	昨夜、何があったんですか。
I couldn't sleep last night.	昨晩は眠れなかった。
Was it difficult to make?	作るのは難しかったですか。
Do you remember Mr Saito?	斎藤さんを覚えていますか。
Let's begin at the beginning.	最初から始めよう。
Let's eat in this evening.	今晩は家で食べましょう。
You can use my car today.	今日私の車を使っていいよ。
How are you feeling today?	今日は気分はいいですか。
Which day of the week is it?	今日は何曜日ですか。
I feel rather off today.	今日はあまり調子が良くない。
How are you feeling today?	今日の体調はどうですか。
Bring me today's paper.	今日の新聞を持ってきて欲しい。
How are you feeling today?	今日の気分はどうですか。
When will you next visit?	今度はいつ訪ねてくるのか。
What did you do this morning?	今朝は何をしたの？
I'm not available right now.	今は手が放せません。
Do you have an address?	行き先の住所はおわかりですか。
I'll call him back later.	後でまた彼に電話をします。
It's easier said than done.	言うは易く行うは難し。
Who are you waiting for?	君は誰を待っているのですか。
You have no claim on me.	君は私に要求する権利はない。
You lied to me, didn't you?	君は私に嘘をついたね。
Your son has come of age.	君の息子も青年になったね。
Your English is improving.	君の英語は上達している。
Do get up, it's very late.	起きなさい、もう遅いよ。
School begins on April 8.	学校は４月８日から始まる。
Don't be late for school.	学校に遅れてはいけません。
What would you like to eat?	何を召し上がりますか。
Give me something to drink.	何か飲むものを下さい。
May I offer you a drink?	飲み物を差し上げましょうか。
I feel like having a drink.	一杯やりたいきがする。
Come home before dark.	暗くならないうちに帰宅しなさい。
Keep away from bad company.	悪友仲間とつきあうな。
Do you think it a bad thing?	悪いことだと思うか。
We walked among the trees.	私たちは木の間を歩いた。
All right. It's a deal.	よし、これで取引はまとまった。
We have our backs to the wall.	もう後がないぞ。
Try doing it once more.	もう一度それをやってみなさい。
Mayuko reads a good deal.	マユコは本をたくさん読む。
I think I'll come back later.	また後ほど来ます。
Who else is gone today?	ほかにきょう、誰が欠席ですか。
Paul offered a new plan.	ポールは新しい案を提案した。
The party broke up late.	パーティーはおそく散会した。
Which shall I begin with?	どちらから始めましょうか。
What papers do you take?	どこの新聞をとっていますか。
I want someone to talk to.	だれか話し相手がほしい。
Actually, that's what I thought.	だと思った。
That's easy for you to say.	そんなこと言ったって。
Leave it off the list.	それをリストから外してください。
It is a difficult problem.	それは難しい問題である。
The beginning showed it.	それは最初から分かっていた。
We got a good price for that.	それは高く売れた。
Is it near your house?	それは君の家の近くにありますか。
It serves our purpose.	それは我々の目的にかなっている。
The room has two windows.	その部屋には窓が２つある。
The program is on the air.	その番組は今放送中です。
How does the paper feel?	その紙はどんな手触りですか。
Can you take on the job?	その仕事引き受けてくれるか。
That's why I was late.	そういうわけで遅くなったのです。
John is an American boy.	ジョンはアメリカの少年です。
When will the show begin?	ショーはいつ始まりますか。
Then I'll come again later.	じゃまた後から来ます。
Jim got down from the tree.	ジムは、木から降りた。
Are you being waited on?	ご用をお伺いしておりますか。
This time I'll try it.	こんどは私がそれをやってみよう。
This is an interesting story.	これは面白い話だ。
This is an interesting book.	これは面白い本だよ。
This is an important theory.	これは大切な理論だ。
This is an important letter.	これは大切な手紙だ。
Let's keep in touch.	これからも連絡を取り合いましょうね。
This problem is too simple.	この問題は単純すぎる。
This book is easy to read.	この本を読むのは容易だ。
This book looks interesting.	この本は面白そうだ。
This book is easy to read.	この本は読むのに簡単だ。
This car is easy to drive.	この車は運転しやすいな。
Stay here and wait for him.	ここで彼を待ちなさい。
You've taken everything.	お前はすべてを奪っていった。
Would you care for drinks?	お飲み物はいかがですか。
I wish I had much money.	うんとお金があればいいのに。
I always walk to school.	いつも歩いて登校しているよ。
Until when are you staying?	いつまでご滞在ですか。
Always tell the truth.	いつでも本当のことを言いなさい。
Do you accept AMEX?	アメリカン・エクスプレスは使えますか。
What do they deal in?	あの人達はなにを商売にしているの。
The woman served her purpose.	あの女は用済みだ。
Can you drive a car?	あなたは車を運転する事ができますか。
Do you walk to school?	あなたは学校に歩いていきますか。
How long did you wait?	あなたはどのくらい待ちましたか。
You are an American boy.	あなたはアメリカの少年です。
I'll accept your offer.	あなたの申し出を承知しました。
Here is a letter for you.	あなたに手紙が来ています。
Do you have any brothers?	あなたには兄弟がいますか。
What does SFX stand for?	ＳＦＸとは何を表すのですか。
What does PTA stand for?	ＰＴＡは何を表していますか。
Draw a line from A to B.	ＡからＢまで線をひきなさい。
I can do it in a week.	１週間でそれをすることはできる。
It will be half of the amount.	２分の１の額とする
He made that a key word.	彼がそれをＫｅｙＷｏｒｄにする
Two figures will appear above.	上に２つ数字が出る
X was held in various regions.	Xが各地で行われた
Quite a lot of people came.	結構、多くの人が来ました
X has continued for 68 times.	Xが六十八回も続いた
Someone calls me like this.	こう、誰かが私を呼びます
He stays at home all the time.	彼がずっと家に居る
X happens quite often to me.	Xが私には良くあります
He appeared on live TV.	彼がテレビの生番組に出演しました
Several problems will occur.	幾つかの問題が生じます
It met certain standards.	それが一定の基準をクリアした
I'll do it by myself too.	自分でもそれをやってみます。
Rest one's theory on facts.	理論を事実に基づかせる。
I've made lots of friends.	友達もたくさんできました。
Everything is in good order.	万事順調にいっている。
You really did a good job.	本当によくやってくれたね。
Where is your mother, boy?	坊やおかあさんは何処だい。
Don't look down on the poor.	貧しい人を軽蔑するな。
He makes necessary changes.	彼は必要な変更を加える。
She stopped our fighting.	彼女は僕等の喧嘩を制止した。
She left the window open.	彼女は窓を開けっ放しにした。
She fell into a deep sleep.	彼女は深い眠りについた。
She made a man of a boy.	彼女は少年を立派な人間にした。
She had to go herself.	彼女は自分で行かねばならなかった。
She took me for my brother.	彼女は私を兄と間違えた。
Is she any better today?	彼女は今日いくらかいいですか。
She will make a good wife.	彼女はよい妻になるだろう。
She has a lot of money.	彼女はたくさんお金を持っている。
She lives quite close by.	彼女はすぐそばに住んでいる。
She can even tell lies!	彼女はうそをつくことさえできる。
What will happen to her?	彼女の身に何が起こるのだろう。
I know she is sleeping.	彼女が眠っている事を知っている。
They are paid by the week.	彼らは週給をもらっている。
They drove the car by turns.	彼らは交代で運転した。
Learning runs in their blood.	彼らは学者の血筋だ。
They are as poor as can be.	彼らはこの上なく貧乏だ。
Their team's name is NWO.	彼らのチーム名はＮＷＯです。
He has a kind expression.	彼は優しい顔付きをしている。
He drew on others for help.	彼は他人の援助に頼った。
He looks as poor as ever.	彼は相変わらず貧乏のようだ。
He started to go to bed early.	彼は早く寝始めた。
He has gone out for a walk.	彼は散歩に出かけました。
He is being very kind today.	彼は今日やけに親切だ。
He is being kind today.	彼は今日は親切に振る舞っている。
He is taking a day off today.	彼は今日お休みです。
He got up early this morning.	彼は今朝早く起きた。
He is now staying in Paris.	彼は今パリに滞在中です。
He goes to the office by car.	彼は会社に車で行く。
He deals with my company.	彼はわが社と取引をしている。
He is seeking a good job.	彼はよい仕事をさがしている。
He is such a difficult boy.	彼はとても気難しい子だ。
He tried to open the door.	彼はドアを開けようとした。
He was alone in the room.	彼はその部屋でひとりだった。
He was then a boy of ten.	彼はその時十歳の少年だった。
He walked past the house.	彼はその家を通り過ぎました。
He soon left the new job.	彼はすぐに新しい職を辞めた。
He stayed here for a while.	彼はしばらくここにいた。
He may wait no longer.	彼はこれ以上待てないかもしれない。
He's always late for class.	彼はいつも授業に遅れる。
He kept walking all the day.	彼は一日中歩き続けた。
He has a good school record.	彼の学校の成績はいい。
Try to keep up with him.	彼に遅れずについていきなさい。
Don't let him do it alone.	彼にそれを独りでさせるな。
I am on good terms with him.	彼とは仲のよい間柄だ。
I can't figure him out.	彼がどんな人物かよくわからない。
He can't have told a lie.	彼がうそをついたはずがない。
Come home before dark.	日が暮れないうちに帰ってきなさい。
Where does the answer lie?	答えはどこにあるんだろう。
I met my teacher on the way.	途中で先生に出会った。
I waited for her a long time.	長い間彼女をまった。
Better late than never.	遅くなっても何もないよりはまし。
Seek, and you will find.	探せ、さらば見いだすであろう。
Someone is at the front door.	誰かが玄関にいるよ。
My son shall do the work.	息子にその仕事をやらせよう。
Run, or else you'll be late.	走らないと遅れますよ。
Close the window, will you?	窓を閉めてくれないかね。
Do not look out of the window.	窓から外を見るな。
The teacher let him go home.	先生は彼を帰宅させた。
The teacher got well again.	先生はまた元気になった。
People have a fear of wars.	人々は戦争を恐れている。
The evidence was against me.	証拠は私に不利だった。
Everything is so new to me!	初めてのものばかりです。
Easier said than done.	実行するより口で言うほうが容易だ。
The truth is I told a lie.	実は私は嘘をついたのです。
Study the next chapter.	次の章をよく予習しておきなさい。
Put on me to the office.	事務所の方につないでください。
We walked along side by side.	私達は並んで歩いた。
We usually call him Toshi.	私達は彼を普通トシと呼ぶ。
We have to wait for him.	私達は彼を待たねばなりません。
I walk to school every day.	毎日学校へ歩いていくよ。
I had to walk home.	私は歩いて家に帰らなければならなかった。
I was at a loss for an answer.	私は返答に窮した。
I took over my father's job.	私は父の仕事を継いだ。
I usually go to bed at ten.	私は普通１０時に寝ます。
I don't know her address.	私は彼女の住所を知りません。
I waited for her to speak.	私は彼女が話すのを待った。
I considered him a friend.	私は彼を友人と考えていた。
I took him out for a walk.	私は彼を散歩に連れ出した。
I got up early in the morning.	私は朝早く起きた。
I have nothing to do today.	私は今日することが無い。
I had no choice but to go.	私は行くより仕方なかった。
I am contented with my lot.	私は運命に満足している。
I don't have any brothers.	私は一人も兄弟がいません。
I'd better not eat that.	私はそれを食べないほうが良い。
I can open the window.	私はその窓を開けることが出来ます。
I must open the window.	その窓、開けないといけないんだ。
I am interested in this book.	私はこの本が面白い。
I'll tell you the truth.	私はあなたに本当の事を話そう。
I have been here for a week.	私は１週間ここにいる。
I made him tell the truth.	私は、彼に真実を話させた。
My room has three windows.	私の部屋には窓が三つある。
My room has two windows.	私の部屋には窓が２つあります。
My brother lives in Tokyo.	私の兄は東京に住んでいる。
My older brother is a teacher.	私の兄は教師です。
I haven't many brothers.	私には兄弟がたくさんいません。
We found the key at last.	私たちはついに鍵を見つけた。
It is easier than I thought.	思ったよりもやさしい。
I plan to stay in the city.	市内に滞在する予定です。
Don't play on the job.	仕事を遊び半分にしてはいけないよ。
There is nothing like a walk.	散歩程よい物はない。
Won't you go for a walk?	散歩にお出かけになりませんか。
Remember to cross your t's.	細部まで気を配りなさい。
My wife works part time.	妻はパートタイムで働いている。
We haven't seen her of late.	最近彼女を見かけない。
I'm not in good shape now.	最近調子が良くありません。
Lie down on your left side.	左横腹を下にして下さい。
I was at a loss for words.	困り果てて言葉につまった。
I left behind something today.	今日忘れ物をした。
I am going to see him today.	今日彼に会うつもりだ。
I feel a little bad today.	今日は少し体の調子が悪い。
You'd better not go today.	今日は行かないほうがよい。
How are you feeling today?	今日は気分はいかがですか。
I have nothing on for today.	今日は何の予定も無い。
That's enough for today.	今日はこのくらいにしておこう。
How much should I pay today?	今日はおいくらですか。
He is being very kind today.	今日、彼は実に親切だ。
Shall I call you up later?	後ほどお電話しましょうか。
Shall I call you up later?	後で電話をかけましょうか。
I'll call you back later.	後でこちらからお電話します。
Many times I've been alone.	孤独な時も何度かあった。
Am I making myself clear?	言ってることがわかりますか。
Easier said than done.	言うのはた易いが、行うのは難しい。
Let's talk before fighting.	喧嘩する前に話し合おう。
The plans have been drawn up.	計画が出来上がった。
Both the brothers were out.	兄弟二人とも留守だった。
You have no sense of direction.	君は方向音痴だ。
You should give up drinking.	君は酒をやめるべきだ。
You may use my new car.	君は私の新しい車を使ってもよい。
You worked a lot this week.	君は今週は随分働いたね。
Is this your son, Betty?	君の息子さんですか、ベティー。
I want specific information.	具体的に話して欲しい。
Travelling is easy these days.	近頃は旅行は楽だ。
Kanji are difficult to read.	漢字は読むのが難しい。
Our school begins at eight.	学校は８時に始まります。
What time does the play begin?	開演は何時ですか。
Stay away from the fire.	火に近づかないようにしなさい。
It's no use trying anything.	何をやっても無駄だよ。
Give me something to drink.	何か飲み物を私に下さい。
Give me something to drink.	何か飲みものをください。
Come home before dark.	暗くならないうちに家に帰りなさい。
Keep away from bad company.	悪友に近づいていけない。
I was also not a bad mother.	悪い母親でもなかった。
I always walk to school.	私はいつも徒歩で通学している。
I am beginning to understand.	わかり始めています。
Ok, let's give it a try.	わかった、試しにやってみよう。
Ask me something easier.	もっと易しい事を聞いて下さい。
I want to sleep a little more.	もう少し眠りたい。
Bob came home very late.	ボブはたいへん遅く帰ってきた。
You must not stay in bed.	ベッドで寝ていてはいけない。
I want everything on it.	トッピングは全部のせて下さい。
Which way is the nearest?	どちらの道が一番近いですか。
I didn't see either boy.	どちらの少年にも会わなかった。
I ran as quickly as I could.	できるだけ早く走った。
At last, he got the car.	ついに彼はその車を手にいれた。
It is no easy thing to do.	ちょっとできないことです。
Someone will do that job.	誰かがその仕事をするだろう。
May I eat a little of it?	それを少し食べてもいいかい。
It makes all the difference.	それは大変な差である。
It's for my personal use.	それは私の個人用のものです。
Won't it keep until later?	それは後にしてくれないか。
It would be better to try.	それはやってみた方がいい。
That is your major problem.	それが君の大きな問題だ。
The story appears to be true.	その話は本当らしい。
I found the book easy.	その本を読んでみるとやさしかった。
Can you see the difference?	その違いが分かりますか。
How did the game come out?	そのゲームはどうなったか。
Let's begin our work at once.	すぐ仕事にかかろう。
Susie's hair is very long.	スージーの髪はとても長い。
Let's drink the night away.	さあ、一晩飲み明かすぞ。
It is easy to read this book.	この本は読みやすい。
This is the most interesting.	この本が一番面白い。
How do you like this town?	この町は気に入りましたか。
This town gave to great men.	この町から偉人が出た。
This window won't open.	この窓がどうしても開かないんだ。
This car is the latest model.	この車は最新型です。
Who will try this case?	この事件は誰が審理するのですか。
Here are about ten boys.	ここに十人ぐらいの少年がいる。
I got up early this morning.	今朝は早く起きたんだ。
Christmas is near at hand.	クリスマスはもうじきです。
There'll be standing room only.	きっと立ち見よ。
My wife's trying to sleep.	かみさんが寝られないんだ。
How late are you open?	お宅の店は何時まであいていますか。
What would you like to drink?	お飲み物は何ですか。
Would you care for a drink?	お飲み物はどういたすか。
Wait until further notice.	おって通知があるまで待て。
The car is acting up again.	うちの車はまた故障した。
How long are you staying?	いつまでここにご滞在ですか。
That boy has black hair.	あの少年は黒い髪をしています。
Is that boy Tom or Ben?	あの少年はトムですかベンですか。
That boy is Tony, isn't he?	あの少年はトニーですね。
Were you here last week?	あなたは先週ここにいましたか。
You may open the window.	あなたはその窓を開けてもよい。
I'll call him back later.	あとでまた、彼に電話します。
How I wish I could go, too!	ああ、僕も行けたらなあ。
A man appeared at the door.	１人の男が戸口に現れた。
I plan to stay there a week.	１週間滞在の予定です。
The class begins at 8:30.	授業は八時三十分から始まる。
A lot of people helped out.	いろんな人が努力をしました
I'm not very interested in X.	Xにはあまり興味が無い
There is no such sign at all.	その気配がまったく無い
I'll be making the game myself.	自分がゲームを作る
He learns the design concept.	彼が設計の考え方を学ぶ
What will happen next?	それがはたしてどんな展開を見せるのか
X gets children's attention.	Xが子供の興味を引きます
X is becoming very difficult.	Xが大変難しくなります
Use only as directed.	あくまで説明書に従ってお使いください。
A good idea occurred to him.	良い考えが彼に浮かんだ。
I slept so well last night.	ゆうべはぐっすり眠れたよ。
Yumi will become a teacher.	由美は先生になるでしょう。
I see a house among the trees.	木の間に家が見える。
I'm never late for school.	僕は決して学校に遅刻しない。
Yutaka has two elder brothers.	豊には兄が二人いる。
My mother lives by herself.	母は一人暮らしをしている。
Father takes a walk every day.	父は毎日散歩します。
Don't look down on the poor.	貧しい人々を軽蔑するな。
She'll make a good wife.	彼女は良い奥さんになるでしょう。
She did the book up in paper.	彼女は本を紙で包んだ。
She handed out a key to him.	彼女は彼に鍵を手渡した。
She let go of the boy's hand.	彼女は男の子を放した。
She looked out of the window.	彼女は窓から外を見た。
She wanted to be a teacher.	彼女は先生になりたかった。
She bears herself very well.	彼女はとても行儀がよい。
She is a very good teacher.	彼女はとてもよい先生です。
Her story touched my heart.	彼女の話は私を感動させた。
She has five older brothers.	彼女には五人の兄がいる。
I began a meeting with her.	彼女との出会いが始まった。
Have him wait a moment.	彼をちょっと待たせておいて下さい。
They waited for their teacher.	彼らは先生を待った。
They live from hand to mouth.	彼らはその日暮らしだ。
He was at a loss for an answer.	彼は返事に困った。
He is the talk of the town.	彼は町中のうわさの的です。
He stood up to go inside.	彼は中に入ろうと立ち上がった。
He tried to open the window.	彼は窓を開けようとした。
He is old enough to drink.	彼は酒を飲んでも良い年齢だ。
He drives a car, doesn't he?	彼は車を運転しますよね？
He's a friend of my brother's.	彼は私の兄の友達だ。
He found me a good job.	彼は私によい仕事を見つけてくれた。
He ordered me to go alone.	彼は私に１人で行けと命じた。
He's out of town on business.	彼は仕事で町にいない。
He came home late last night.	彼は昨夜遅く帰宅した。
He appeared on TV last night.	彼は昨夜テレビに出た。
He is an experienced teacher.	彼は経験豊かな教師だ。
He lived in a town near by.	彼は近くの街に住んでいた。
He has strong principles.	彼は強固な信念の持ち主である。
He had long hair last year.	彼は去年長い髪をしていた。
He is a hard man to deal with.	彼は扱いにくい男だ。
He is often late for school.	彼はよく学校に遅刻する。
He often walks to school.	彼はよく学校へ歩いて行きます。
He is yet to know the truth.	彼はまだ事実を知らない。
He stood against the wall.	彼は塀にもたれて立っていた。
He walked toward the door.	彼はドアの方へ歩いて行った。
He usually comes home late.	彼はたいてい遅く帰宅する。
He isn't much of a teacher.	彼はたいした教師ではない。
He had various experiences.	彼はさまざまな経験をした。
He may have told a lie.	彼はうそをついていたかもしれない。
He has various knowledge.	彼はいろんな知識を持っている。
He will be a good teacher.	彼はいい先生になるでしょう。
He has never told a lie.	彼は１度も嘘を言ったことがない。
He walked all the way home.	彼は、家までずっと歩いた。
He is improving in health.	彼の健康は回復してきている。
I read the letter to him.	彼にその手紙を読んで聞かせた。
He gave me quite a start.	彼には本当にはっとさせられた。
He has a son of your age.	彼には君と同じ年の息子がいる。
Do you have access to him?	彼とはつきあいがありますか。
He can't know the truth.	彼が真実を知っているはずはない。
The second term came to an end.	二学期は終わった。
I have no pain in particular.	特に痛みはありません。
When do you usually get up?	朝は普通何時に起きますか。
I told her not to be late.	遅れないように彼女に言った。
Some boy is running away.	誰か男の子が走って逃げている。
Someone is at the front door.	誰か玄関に来ているよ。
A lot of houses were on fire.	多くの家が燃えていた。
There is nothing like sleep.	睡眠ほどよいものはない。
You'd better fight off sleep.	睡魔と空戦わなくちゃ。
The population is increasing.	人口は増加しつつある。
Man will die sooner or later.	人間はいずれ死ぬのだ。
Are you done with the paper?	新聞はもうお済みですか。
Food is necessary for life.	食生活は生存に必要である。
Everything is against us.	情勢はすべて我々に不利である。
All the boys spoke in turn.	少年たちは皆順々に話した。
Is this your first visit here?	初めての診察ですか。
Wait until your turn comes.	順番が来るまで待ちなさい。
School begins on April 5th.	授業は４月５日から始まる。
Let's have a drink or something.	酒でも飲もうよ。
I didn't make it myself.	自分で作ったのではないのですよ。
Natural food will do you good.	自然食品は体によい。
Let me play the next game.	次の試合を私にさせて下さい。
How did the game come out?	試合はどんな結果になったか。
We usually walk to school.	私達は普通歩いて学校へ行く。
I slept with the light off.	私は明かりを消して眠った。
My father gave me a game.	私は父からゲームを与えられた。
I felt drawn toward her.	私は彼女の魅力に引き付けられた。
I remember seeing her.	私は彼女に会ったことを覚えています。
I took him for my brother.	私は彼を自分の弟だと思った。
I think him a good teacher.	私は彼をいい先生だと思う。
I gave way to their demands.	私は彼らの要求に屈した。
I challenged him to a game.	私は彼に試合を申し込んだ。
I have a bad pain in my back.	私は背中がひどく痛い。
I know some of the boys.	私は少年達の何人かを知っている。
I am content with my job.	私は自分の仕事に満足している。
I wanted something to eat.	私は何か食べ物が欲しかった。
I am interested in English.	私は英語に興味があります。
I don't want to eat any more.	私はもう食べたくない。
I do everything for myself.	私はなんでも皆自分でする。
I usually walk to school.	私はたいてい歩いて学校へ行く。
I usually walk to school.	私はたいてい学校に歩いていく。
I usually go home at four.	私はたいてい４時に帰宅する。
I want to see it for myself.	私はそれを自分で見たい。
I started a fire right away.	私はすぐに火を起こした。
I am interested in this story.	私はこの話が面白い。
I think this book is easy.	私はこの本はやさしいと思う。
I usually go home at five.	私はいつもは５時に帰宅する。
I have visited America.	私はアメリカを訪れた事があります。
My father is an office worker.	私の父は会社員です。
I change my mind a lot.	私の思考は当てもなく曲がりくねる。
Do I make myself clear?	私の言っていることが分かりますか。
I have a lot of work to do.	私には仕事がたくさんある。
Let me have a try at it.	私にそれをやらせてみてください。
It's time for us to go to bed.	私たちが寝る時間だ。
Children should play outside.	子供は外で遊ぶべきだ。
May I go out for a walk?	散歩に出かけてもよろしいですか。
I slept little last night.	昨夜はほとんど眠れなかった。
He is being very kind today.	今日は彼はやけに親切だ。
I am going to see him today.	今日は彼に会うつもりだ。
I feel like going out today.	今日は出かけたい気分だ。
I have nothing to do today.	今日は何もする仕事がない。
I have nothing to do today.	今日はすることが何もない。
How are you feeling today?	今日のご気分はいかがですか。
