Birds fly.	鳥は飛ぶ。
The bullet found its mark.	弾が的に当たった。
Nobody can understand it.	誰もそれは解らない。
Who will bell the cat?	誰が猫の首に鈴をつけるか。
Who stole the apple?	誰が、りんごを盗んだのですか？
Who made this cake?	このケーキ、誰が作ったんですか？
Who made this cake?	誰がこのケーキを作ったのですか。
Somebody pushed me in.	誰かが私を中へ押し込んだ。
Who telephoned Ann?	誰がアンに電話してきたのですか。
Isn't it a lovely day!	素晴らしい天気ではないか。
Please show your ticket.	切符を見せてください。
There is plenty of food.	食べ物はたっぷりある。
A little pot is soon hot.	小鍋はすぐ熱くなる。
My uncle made a fortune.	叔父は一財産を作った。
There was nobody about.	周囲には誰も居なかった。
There was nobody about.	周りには誰もいなかった。
We have plenty of time.	時間はたっぷりあります。
I was invited to dinner.	私は夕食に招待された。
I made her my secretary.	私は彼女を秘書にした。
I bought him a tie.	私は彼にネクタイを買ってあげた。
I intended to succeed.	私は成功するつもりだった。
I propose a short rest.	私は小休止を提案します。
I got up early yesterday.	私は昨日早く起きた。
I bought it yesterday.	私は昨日それを買いました。
I want to be an engineer.	私は技師になりたい。
I returned from abroad.	私は外国から帰ってきた。
I had my fortune told.	私は運勢を占ってもらった。
I'm looking for my pen.	私はペンを探しています。
I heard the bell ring.	私はベルが鳴るのを聞いた。
I never touch beer.	私はビールはぜんぜん飲みません。
I don't care for beer.	私はビールが好きではない。
I will accompany you.	私はあなたと同行しましょう。
I have a few pens.	私は２、３本のペンを持っています。
My mind was blank.	私の心にこれという考えもなかった。
My brother is an engineer.	私の兄は技師です。
We cut off the rope.	私たちはロープを切り落とした。
Are there reserved seats?	指定席はありますか。
He drank hard yesterday.	彼は昨日大酒を飲んだ。
We had a storm yesterday.	昨日台風が来ました。
It was raining yesterday.	昨日は雨降りでした。
All seats are reserved.	座席は全部予約済みです。
Did you behave today?	今日は行儀よくしていたかい。
It's a lovely day today.	今日はすばらしい日だ。
I need it yesterday.	今すぐいるんだ、大至急お願い！
I'm very hungry now.	今、とてもおなかがすいている。
I was chilled to the bone.	骨の髄までひえた。
The Diet is now in session.	国会は開会中だ。
Curiosity killed the cat.	好奇心は身を滅ぼす。
Curiosity killed the cat.	好奇心が猫を殺した。
State your case briefly.	言い分を簡潔に述べよ。
Was the fight fixed up?	喧嘩はおさまりましたか。
Blood runs in the veins.	血は血管の中を流れる。
A crowd gathered around.	群集が周りに集まった。
A fire broke out nearby.	近くで火事が起こった。
Cows give us milk.	牛は私たちにミルクを与えてくれる。
There's a scent of danger.	危険な香りがする。
I have very bad chills.	寒気がしてたまりません。
Come feel my forehead.	額にさわらせてちょうだい。
Please be quiet, everybody.	皆さんお静かに。
The meeting dragged on.	会合はだらだらと続いた。
We often eat fish raw.	我々はよく魚を生で食べる。
Don't touch the flowers.	花に触れないで下さい。
Do you play any sports?	何かスポーツをしますか。
Your wife is mad at you.	奥さんがカンカンだぞ。
Wind accompanied the rain.	雨に風が加わった。
The Devil may come.	悪魔がやってくるかもしれないよ。
Render good for evil.	悪に報いるに善を持ってせよ。
Hold on to the rope.	ロープにしっかり捕まりなさい。
She bit into the apple.	リンゴをがぶりと齧った。
Everybody agrees with you.	みんな君に賛成だ。
Nobody has come up yet.	まだ誰も上がってこない。
Physically impossible.	まず現実には起こりえない。
What do you say to a beer?	ビールを一杯どう？
It's as lovely as a rose.	バラのように美しい。
You've been very helpful.	とても助かりました。
Which do you recommend?	どちらを勧められますか。
Cheese is made from milk.	チーズは牛乳で作る。
That's my sole concern.	それは唯一の関心事です。
That's altogether wrong.	それは全く間違いです。
It is a kind of orange.	それはオレンジの一種だ。
The ceremony was simple.	その式典は簡素だった。
The boy has a high fever.	その子は高熱である。
The dog must be hungry.	その犬は空腹に違いない。
The plan is not mature.	その計画は熟していない。
The bell rings at eight.	そのベルは８時になる。
Luck smiled on us then.	そのとき幸運に恵まれた。
There was nobody there.	そこには誰もいなかった。
I fly into a rage easily.	すぐに腹がたちます。
The server was down.	サーバーがダウンしていました。
I bought this yesterday.	これを昨日買ったんだ。
This medicine tastes bitter.	この薬は苦い。
This pen has run dry.	この万年筆はインクが切れた。
This cloth feels soft.	この布は手触りが柔らかい。
This apple is very red.	このりんごはとても赤い。
You can use this pen.	このペンを使っていいですよ。
Put this bench forward.	このベンチを前に出して。
How much is this tie?	このネクタイはいくらですか。
Ken is an eager student.	ケンは熱心な生徒です。
I failed to make a cake.	ケーキ作りに失敗した。
Kate is very charming.	ケイトはとても魅力的です。
Do you believe in ghosts?	きみは幽霊を信じる。
The curtain caught fire.	カーテンに火がついた。
There was no bathroom.	お風呂はありませんでした。
That's my own affair.	お前が口を出すことではない。
I'm charmed to meet you.	お会いできて光栄です。
My uncle came to see me.	おじが私に会いに来た。
Is that clock working?	あの時計は動いていますか。
Who the devil was that?	あいつはいったい何者だ？
The curtain time is at 8:00.	８時開演です。
It is close to seven o'clock.	７時近くだ。
Tom hung up on Mary.	トムはメアリーの電話を切った。
I'm not really hungry.	あんまお腹空いてないんだ。
He's a well-informed person.	彼は情報通だ。
It was acquired at last.	入手することが出来ました
The fishing was pleasant.	快適に釣りが出来ました
My uncle was in the car.	車のなかにおじさんがいた
It's not quite convincing.	どうも納得がいかない
It cures the patient.	それが患者さんの病気を治します
They aren't selling at all.	全く商品が売れない
The thread title's wrong.	スレタイ間違ってるぞ。
Mix eggs with sugar.	卵に砂糖を入れてかき混ぜなさい。
I am in pursuit of points.	僕は得点を追求する。
I asked him point-blank.	僕は単刀直入に尋ねたよ。
Don't lean against the wall.	壁にもたれるな。
He said that he was hungry.	腹が減ったという。
The wind drifted the sand.	風は砂を吹き寄せた。
Father gave up cigarettes.	父はタバコをやめた。
The sign says "Exit."	標識には、出口と書かれている。
Grief drove her mad.	悲しみのあまり彼女は気が狂った。
She has a tender heart.	彼女は優しい心をしている。
She lives by her pen.	彼女は文筆で生活を立てている。
She was aching all over.	彼女は体中が痛んでいた。
She poured in the water.	彼女は水をそそぎ入れた。
She is a reliable person.	彼女は信頼できる人だ。
She cursed the times.	彼女は時世が悪いのだと言った。
She recovered her senses.	彼女は意識を回復した。
She knocked on the door.	彼女はドアをノックした。
She won the contest.	彼女はそのコンテストで優勝した。
She cut a cake in two.	彼女はケーキを二つに切った。
Does she like oranges?	彼女はオレンジが好きですか。
She is dead to pity.	彼女には哀れみの心がまるでない。
They are picked soldiers.	彼らは粒よりの兵士だ。
They eat a lot of rice.	彼らは沢山のご飯を食べる。
They made for the exit.	彼らは出口のほうに進んだ。
They broke into laughter.	彼らは急に笑い出した。
They go to Himeji castle.	彼らは、姫路城に行く。
Don't associate with them.	彼らとはかかわるな。
He succeeded in life fine.	彼は立派に出世した。
He is wanting in courage.	彼は勇気にかけている。
He goes abroad every year.	彼は毎年海外へ行く。
He leaned against the wall.	彼は壁にもたれた。
He climbed over the fence.	彼は塀を乗り越えた。
He is altogether a giant.	彼は文句無しの巨人だ。
He is tall and lean.	彼は背が高く、ほっそりしている。
He is in a rage to know.	彼は知識欲が旺盛である。
He was elected president.	彼は大統領に選ばれた。
He had a blue jacket on.	彼は青い上着を着ていた。
He likes Western culture.	彼は西洋文化が好きだ。
He is reserved by nature.	彼は生まれつき内気だ。
He would have succeeded.	彼は成功していただろう。
He is out for promotion.	彼は昇進をねらっている。
He shouted, "Get out!"	彼は「出て行け！」と叫んだ。
He thrust me aside.	彼は私をわきの方へ強く押しやった。
He lent me two books.	彼は私に本を２冊貸してくれた。
He showered abuse on me.	彼は私に毒舌を浴びせた。
He bade me stay behind.	彼は私に後に残れと命じた。
He spared me some salt.	彼は私に塩を分けてくれた。
He rejected our offer.	彼は私たちの申し出を断った。
He is precious to us.	彼は私たちにとって大事な人だ。
He is guilty of murder.	彼は殺人の罪を犯している。
He called on me yesterday.	彼は昨日私を訪れた。
He is away on holiday.	彼は休暇をとって休んでいる。
He was absent from school.	彼は学校を欠席した。
He is absent from school.	彼は学校を休んでいる。
He did badly at school.	彼は学校の成績が悪かった。
He is known to everybody.	彼は皆に知られている。
Does he do any sports?	彼は何かスポーツをしますか。
I fancy he is a doctor.	彼は医者のような気がする。
He got a good appointment.	彼はよい地位を得た。
He had a hungry look.	彼はひもじそうな顔をしていた。
He burned himself badly.	彼はひどいやけどをした。
He awoke with a start.	彼はびくっとして目が覚めた。
He's sitting on the fence.	彼はどっちつかずだ。
He painted the door blue.	彼はドアを青に塗った。
He is a lover of sports.	彼はスポーツの愛好者だ。
He is ready with excuses.	彼はすぐ言い訳をする。
He had a certain charm.	彼はある種の魅力があった。
He came about four o'clock.	彼は４時頃に来た。
He deserves a promotion.	彼なら昇進しても当然だ。
He broke out into rage.	彼がカンシャクを起こした。
The sales are slipping.	売り上げが急に落ちている。
The cat arched its back.	猫は背を弓なりに曲げた。
I was scratched by a cat.	猫にひっかかれました。
The telephone doesn't work.	電話が通じません。
The telephone doesn't work.	電話が使えません。
Don't care a hang about it.	痛くも痒くもない。
Let the bird fly away.	鳥を逃がしてやってください。
I wonder who to invite.	誰を招待したらいいかしら。
Everybody seeks happiness.	誰でも幸福を求める。
Everybody knows that.	誰でもみんなそれを知っている。
Somebody catch that man!	誰かその男をつかまえて。
The game lacked excitement.	大味な試合だった。
I dare say he is innocent.	多分彼は無罪だろう。
I used to drink beer.	昔はよくビールを飲んだものだ。
Oil and water don't blend.	水と油はまざらない。
I was given a new jacket.	新しい上着をもらった。
Run pipes under the floor.	床下にパイプを通す。
I bade the boy go out.	少年に出ていくように命じた。
What is the departure time?	出発は何時ですか。
It'll cure itself naturally.	自然に治ります。
Better luck next time.	次はきっとうまくいきますよ。
A clock has two hands.	時計には２本の針があります。
We are next-door neighbors.	私達は隣同士です。
We are eight altogether.	私達はみんなで８人です。
I hugged her tightly.	私は彼女をしっかり抱きしめた。
I bought him a magazine.	彼に雑誌を買ってあげた。
I'll give him a pen.	私は彼にペンをあげるつもりです。
I wish I were a bird.	私は鳥であればいいのだがなあ。
I am sure of succeeding.	私は成功を確信している。
I have a horror of snakes.	私は蛇が大嫌いです。
I consulted with my sister.	私は姉に相談した。
I am reading a magazine.	私は雑誌を読んでいます。
I painted the fence green.	私は柵を緑に塗った。
I watched TV yesterday.	私は昨日テレビを見ました。
I am on holiday this week.	私は今週お休みです。
I was caught in a shower.	私はにわか雨にあった。
I like classical music.	私はクラシックが好きです。
I was hired by my uncle.	私はおじに雇われました。
I am on holiday this week.	私は、今週休みです。
My mother is on a diet.	私の母はダイエット中です。
My uncle deals in fish.	私の叔父は魚を商っている。
My uncle died of cancer.	私の叔父はガンで死んだ。
My car is being fixed now.	私の車は今修理中だ。
Don't lean on my chair.	私の椅子にもたれかかるな。
My uncle died of cancer.	私のおじはガンで死んだ。
Please give me this pen.	私にこのペンをください。
We have no spare money.	私たちは余分なお金はない。
We slept in a tent.	私たちはテントのなかで眠りました。
I'll fix it up all right.	私がちゃんとやるから。
Bring me the magazines.	雑誌を持ってきてください。
I drank beer last night.	昨晩私はビールを飲んだ。
It snowed hard yesterday.	昨日は雪がひどかった。
Did you work yesterday?	昨日、仕事をしたのですか。
The wages of sin is death.	罪の報いは死である。
To win by a narrow margin.	際どいところで勝つ。
I bet it's fine tonight.	今夜は、きっと晴れるよ。
Sales are down this month.	今月は売上が落ちた。
Is anyone absent today?	今日は誰か休んでいますか。
I wish you the best of luck.	幸運を祈ります。
Don't you like apples?	君はりんごは好きでないのか。
Please lend me your car.	君の車を貸してください。
Banks open at nine o'clock.	銀行は９時に開く。
There is a hospital nearby.	近くに病院がある。
The professor smiled.	教授はにっこりと微笑みました。
A cow is a useful animal.	牛は有用な動物である。
The cows are eating grass.	牛が草を食べている。
Did you enjoy your holiday?	休日は楽しかった？
Keep sight of the flag.	旗を見失わないようにしろ。
Water shot from the pipe.	管から水が吹き出した。
I graduated from the school.	学校を卒業した。
Have you been abroad?	外国へ行ったことがありますか。
It was pitch black outside.	外は真っ暗だった。
Everybody looks up to him.	皆が尊敬しています。
When it rains, it pours.	雨が降れば必ず土砂降り。
I partly agree with you.	一部君の意見に賛成する。
It's a temporary condition.	一時的なものです。
I suffer from a stomach ache.	胃痛に苦しむ。
How do I fix the seat?	椅子を元に戻したいのですが。
Everybody calls him Mac.	みんな彼をマックと呼ぶ。
That's fairly reasonable.	まあ手ごろな値段だな。
I'll punch your lights out!	ぶっ飛ばしてやる！
The battery ran down.	バッテリーが上がってしまった。
He painted the door blue.	彼はドアを青く塗った。
Everybody loves music.	だれでもみんな音楽を愛する。
We buy eggs by the dozen.	ダース単位で卵を買う。
It looks like an apple.	それはりんごに似ています。
The bird spread its wings.	その鳥は翼を広げた。
The man committed murder.	その男は殺人を犯した。
The guilt lies with him.	その罪の責任は彼にある。
The apple tastes sweet.	そのリンゴは甘い味がする。
John did a brave thing.	ジョンは勇敢なことをした。
Now folks, let's go on.	さあ、みんな、先へ進もう。
Whose are these pens?	これらのペンは誰のものですか。
This is what he painted.	これが彼の描いたものだ。
This book is too expensive.	この本は高すぎる。
This cloth feels smooth.	この布はなめらかである。
This article is for sale.	この品物は売り物です。
This is a false bottom pan.	この箱は上げ底だ。
Are you free this weekend?	この週末は暇ですか。
This flower smells nice.	この花はいい匂いがする。
Please lend me this pen.	このペン貸してください。
Is this bench firm?	このベンチはしっかりしていますか。
This cake is very sweet.	このケーキはとても甘い。
Is this camera for sale?	このカメラは売り物です。
May I eat this cake?	このお菓子を食べてもいいですか。
Don't kick the door open.	けってドアを開けるな。
Won't you have some cake?	ケーキを食べないかい？
I like classical music.	クラシック音楽が好きです。
May I use the bathroom?	お手洗いを拝借できますか。
Our guests have arrived.	お客様がお着きになった。
I'd like orange juice.	オレンジジュースをください。
My uncle runs a hotel.	おじはホテルを経営している。
My uncle made a fortune.	おじは一財産をつくった。
You will succeed some day.	いつか君は成功する。
The kid looks blank.	あの子はぼーっとしているようだ。
I wish I were a bird.	ああ、私は鳥であればよいのに。
Let's meet at one o'clock.	１時に会いましょう。
We had a lovely meal.	私たちはすばらしい食事をした。
This milk smells funny.	この牛乳は変な臭いがする。
Tom is drinking juice.	トムはジュースを飲んでいる。
She has a tender heart.	彼女は優しい心の持ち主だ。
The boy stares at me.	男の子が、じっと私の方を見ました
It's fairly comfortable.	それはなかなか気持ちが良い
X really stimulated him.	彼がXに大いに刺激を受けた
He goes to the destination.	彼が目的の場所へ行く
Fan fiction is included.	内容には同人要素を含みます
He hugged me tightly.	彼が、あたしをぎゅっと抱き締めた
What sound does a sheep make?	羊は何て鳴くの？
Do ghosts really exist?	幽霊は本当に居るのだろうか。
I think that ghosts exist.	幽霊は存在すると思う。
Do you believe in ghosts?	幽霊の存在を信じますか。
I intend to get full marks.	満点を取るつもりだ。
I heard an unusual sound.	僕は異常な物音を聞いた。
Staying busy and crazy!!	忙しくって、クレージーだ。
Don't lean against the wall.	壁により掛かるな。
I'm so hungry, I ate it.	腹が空いてから食ったんだ。
She bought a dozen eggs.	彼女は卵を１ダース買った。
She has attractive eyes.	彼女は目もとに愛敬がある。
She hung up in silence.	彼女は黙って受話器を置いた。
She likes short skirts.	彼女は短いスカートが好きだ。
She has married nobody.	彼女は誰とも結婚しなかった。
She is a college graduate.	彼女は大学を出ている。
She ate only lean meat.	彼女は赤身の肉だけを食べた。
She is brave for a girl.	彼女は女の子だが、勇敢だ。
She eats sliced raw fish.	彼女は刺し身を食べます。
She displayed her talents.	彼女は才能を発揮した。
She ached for home.	彼女は故郷が恋しくてたまらなかった。
She hates green peppers.	彼女はピーマンが大嫌いだ。
She looks so grand.	彼女はとても思いあがっているようだ。
She telephoned just now.	彼女はちょうど今電話した。
She's not half attractive.	彼女はすごく魅力的だ。
Her ideas sound crazy.	彼女の意見はばかげて聞こえる。
Her dress looked cheap.	彼女のドレスは安物に見えた。
They are eager for peace.	彼らは平和を望んでいる。
They found him guilty.	彼らは彼に有罪の判決を下した。
They call me captain.	彼らは、私をキャプテンと呼んだ。
He was absent without leave.	彼は無断欠勤した。
He gained her affections.	彼は彼女の愛を勝ち得た。
He was employed by the day.	彼は日給で雇われた。
He came at about two o'clock.	彼は二時頃来た。
He was wounded by a bullet.	彼は弾丸で負傷した。
He has nobody to consult.	彼は相談する人がいない。
He made a fortune in oil.	彼は石油で大儲けをした。
He is immune from taxes.	彼は税金を免除されている。
He is eager for success.	彼は成功を強く望んでいる。
He is in with the boss.	彼は上司とうまくいっている。
He put on a suicide act.	彼は自殺の真似事をやった。
He interpreted for me.	彼は私の通訳をつとめてくれた。
He kicked me in the side.	彼は私の横っ腹を蹴った。
He kicked me in the side.	彼は私のわき腹をけった。
He calculated the expenses.	彼は支出を計算した。
He succeeded in business.	彼は仕事で成功しました。
He did not fail to confess.	彼は告白して否まず。
He tied the dog to a tree.	彼は犬を木につないだ。
He is by no means stupid.	彼は決して馬鹿ではない。
He is employed in a bank.	彼は銀行に雇われている。
He is employed in a bank.	彼は銀行に勤務している。
He gave up going abroad.	彼は海外旅行をあきらめた。
He cut a brilliant figure.	彼は異彩を放っていた。
He led a life of vice.	彼は悪に染まった生活を送った。
He often paints landscapes.	彼はよく風景を書く。
He wore a blank look.	彼はぼんやりした表情をしていた。
What a lucky person he is!	彼はたいした肖り者だ。
He lost sight of the bird.	彼はその鳥を見失った。
He put on the red jacket.	彼はその赤い上着を着た。
He stared at the picture.	彼はその絵をじっと見た。
He just barely succeeded.	彼はかろうじて成功した。
He sailed the Seven Seas.	彼は７つの海を航海した。
He instantly denied it.	彼は、すぐにそれを否定した。
He is lacking in courage.	彼には勇気が欠けている。
He can't endure anymore .	彼にはもう我慢できない。
I'll fix it up with him.	彼となんとか話をつけよう。
He wrote to me yesterday.	彼から昨日便りがあった。
The road was very rough.	道はとてもでこぼこだった。
It never rains but it pours.	踏んだり蹴ったり。
Can you reach the ceiling?	天井に手が届きますか。
Stay with me till the dawn.	朝まで一緒にいよう。
Everybody looked up to him.	誰もが彼を尊敬した。
Everybody desires happiness.	誰でも幸福を望む。
Everybody had a good time.	誰でもいい時はあるさ。
Not all birds can fly.	全ての鳥が飛べるわけではない。
The ship had three decks.	船には甲板が３つあった。
Get me a ticket, please.	切符を手にいれてください。
Coal is not always black.	石炭は必ずしも黒くない。
Man is a rational animal.	人間は理性の動物である。
Man is a rational being.	人間は理性的な存在である。
God save the Queen.	神様が女王をお守り下さいますように。
I have nothing to declare.	申告ものはありません。
Nobody is free from care.	心配事のない人はいない。
Always obey your father.	常にお父さんに従いなさい。
The girl let the bird go.	少女は鳥を放してやった。
You've got plenty of time.	十分間に合いましたね。
I can't get anywhere with it.	手も足も出ない。
As it is, you are awake.	実際あなたは、起きている。
Time heals all wounds.	時はすべての傷を癒してくれる。
Our sales are decreasing.	私達の売上は減っている。
Don't make sport of me.	私をからかわないでください。
I invited all my friends.	私は友人をみんな招いた。
I recovered from my illness.	私は病気が治った。
I lent her my camera.	私は彼女に自分のカメラを貸した。
I invited him to my house.	私は彼を自宅に招いた。
I took him by the wrist.	私は彼の手首をつかまえた。
I'm standing in the shade.	私は日陰に立っている。
I have a lot of flowers.	私は多くの花を持っている。
I wasn't busy yesterday.	昨日は忙しくなかったんだ。
I caught a cold yesterday.	私は昨日風邪をひいた。
I was in Tokyo yesterday.	私は昨日東京にいました。
I am on holiday this week.	私は今週はお休みです。
I am now in an old castle.	私は今古い城にいます。
I was chilled to the bone.	私は骨の髄まで冷えた。
I have a terror of heights.	私は高所恐怖症です。
I've never been abroad.	海外へ行ったことがないんだ。
I like to eat apples.	私はリンゴを食べるのが好きです。
I had a very high fever.	私はとても高い熱があった。
I studied it thoroughly.	私はそれを徹底的に調べた。
I must get it fixed.	私はそれを修理しなければならない。
I am not good at sports.	私はスポーツが得意でない。
Coffee keeps me awake.	私はコーヒーを飲むと眠れない。
I drew back the curtain.	私はカーテンを開け放した。
I stayed with my uncle.	私はおじさんの家に滞在した。
I'll be back at seven o'clock.	7時に帰るよ。
I recommend it strongly.	私は、それを強くすすめる。
My son can read a clock.	私の息子は時計が読めます。
My day ends at 5 o'clock.	私の仕事は５時に終わる。
This is my email address.	私のメールアドレスです。
We felt sympathy for her.	私たちは彼女に同情した。
We have plenty of time.	私たちは時間がたくさんある。
We go to Odawara castle.	私たちは、小田原城に行く。
I wish I were a prince.	私が王子様だったらいいのに。
The child painted flowers.	子供は花の絵をかいた。
It poured for three days.	三日間雨が激しく降った。
I had a good time yesterday.	昨日は楽しかった。
I slept all day yesterday.	昨日は一日中寝ていた。
It rained hard yesterday.	昨日は激しく雨が降った。
You will succeed in the end.	最後は成功します。
Is anyone absent today?	今日は誰か欠席していますか。
This time he has succeeded.	今度は彼は成功した。
Traffic is all tied up.	交通が全く不通になっている。
I heard a knock at the door.	戸を叩く音がした。
Handsome is that handsome does.	見目より心。
The crowd was in a panic.	群集はあわてふためいた。
What do you intend to do?	君は何をするつもりなの。
You have been imposed upon.	君はだまされている。
You've got a lot of guts.	君はすごく根性があるね。
I see a flower on the desk.	机の上に花が見える。
The shouting echoes loud.	歓声は大きくこだまして。
I have plenty of money with me.	懐が暖かい。
We talked on the telephone.	我々は電話で話した。
Where can I buy a ticket?	何処で切符を買えますか。
What's the name of this tune?	何という曲なの。
Clouds sail across the sky.	雲が空を流れて行く。
Space is full of mystery.	宇宙は神秘に満ちている。
Our company pays badly.	われわれの会社は賃金が低い。
We are in the tie-up.	わたしたちは業務提携しています。
Please pay at the register.	レジでお願いします。
Don't you like apples?	リンゴが好きではないのですか。
We're not getting anywhere.	もう話しにならない。
It is almost ten o'clock.	もうかれこれ１０時です。
Everybody puts me down.	みんな僕のこと悪く言うんだ。
Do you care for pop songs?	ポップスは好きですか。
I really feel like a beer.	ビールを一杯やりたい。
Because he invited me.	なぜなら彼が招待したからです。
Please lend me your knife.	ナイフを貸して下さい。
Tom watched TV yesterday.	トムは昨日テレビを見た。
I'm as hungry as a bear.	とてもお腹が空いているの。
That is a fine excuse.	どうもごりっぱな言いわけだよ。
I beg you forgive me.	どうか私のことをお許しください。
This weekend, if possible.	できれば今週末ですね。
Finally, she succeeded.	ついに彼女はそれに成功した。
Everybody seeks happiness.	だれでも幸福を求める。
I want to get cigarettes.	タバコを買いたいんです。
That excuse will not do.	そんな言い訳は通らないよ。
That's just an excuse.	そんなのは言い訳に過ぎないよ。
It was a strange affair.	それは不思議な事件だった。
This is a real popular item.	それは人気商品だ。
It's a delicate problem.	それは慎重を要する問題だ。
It is quite a grand view.	それは実に雄大な眺めだ。
You can put it anywhere.	それはどこへ置いてもいい。
That's a delicate point.	それはデリケートな点です。
I can't endure the noise.	その騒音に我慢できない。
The girl tore the cloth.	その少女はその布を裂いた。
The incident upset him.	その出来事が彼を動転させた。
The news is fiction.	そのニュースは事実ではありません。
The wild beasts all gather.	すべての野獣が集い。
Don't stare at people.	じろじろ人を見てはいけません。
May I take a shower?	シャワーを浴びてもよいでしょうか。
Please accept my sympathies.	ご同情いたします。
I do hope you'll succeed.	ご成功を心から祈ります。
Fancy meeting you here!	こんなところで君に会うとは！
These apples taste good.	これらのりんごは味がよい。
This is a beautiful flower.	これは美しい花です。
This is the flag of Japan.	これは日本の国旗です。
This smells like cheese.	これはチーズの匂いがする。
This is how we cook rice.	これがお米の炊き方です。
This egg has a bad smell.	この卵は嫌な匂いがする。
This battery is charged.	この電池は充電されている。
This cloth irons well.	この生地はアイロンがよくきく。
This clock isn't working.	この時計は動いてません。
Eggs are cheap this season.	この季節は卵が安い。
This flower smells sweet.	この花は甘い匂いがする。
This flower smells sweet.	この花は甘い香りがする。
Please give this pen to me.	このペンをください。
What does this pen cost?	このペンはいくらしますか。
This table is reserved.	このテーブルは予約済みです。
This tape doesn't stick.	このテープはくっつかない。
This jacket sets well.	このジャケットはぴったり合う。
Start a new paragraph here.	ここで改行しなさい。
Coffee keeps me awake.	コーヒーを飲むと眠くならない。
Cathy has a hot temper.	キャシーは怒りっぽい性質だ。
I'm sure Mom will get mad.	きっとおふくろ怒るよ。
Your soul needs rescue.	お前の魂が助けを求めている。
My sides ache, doctor.	お医者さん、脇腹がいたみます。
I have a lot of discharge.	おりものが多いのです。
My uncle gave me a book.	おじは私に本を一冊くれた。
Please wish me luck.	うまく行くように祈ってくださいね。
Come whenever you like.	いつも好きなときに来なさい。
You have three pens.	あなたは３本のペンを持っています。
You have two flowers.	あなたは２本の花を持っています。
How old is your uncle?	あなたのおじさんは何歳ですか。
He is a shame of the town.	あいつは町の面汚しだ。
Two ice creams, please.	アイスクリームを２つ下さい。
Is it open round the clock?	２４時間営業ですか。
I don't have a spare shirt.	シャツの替えがない。
I'm not really hungry.	あまりお腹が空いてないんです。
Tom has a high-pitched voice.	トムは声が高い。
X is not very meaningful.	Xにあまり意味が有りません
He looks at the below chart.	彼が下のグラフを見る
There are many tender songs.	優しい感じの曲が多い
He occupies a large place.	彼がかなり場所を取ります
X is totally different from X.	XとXが全然違う
He will launch two attacks.	彼が２度攻撃を仕掛ける
I drag everyone else down.	私がみんなの足を引っ張る
The constitution assumes X.	Xを憲法が想定している
He decided to study abroad.	彼が留学を決心しました
I'll do it for a cake.	ケーキ一個で手を打ってあげるよ。
Please buy a few apples.	りんごを少し買ってください。
A good medicine tastes bitter.	良薬は口に苦し。
The hook doesn't catch.	留め金がうまく引っかからない。
Do you have an appointment?	予約はしてありますか。
Oil and water don't blend.	油と水は混じり合わない。
I bet it will rain tomorrow.	明日はきっと雨だよ。
I painted the gate blue.	僕は門をペンキで青く塗った。
I asked him point-blank.	僕は彼に単刀直入に尋ねたよ。
I was not born yesterday.	僕だって赤ん坊ではないぞ。
I'm tied up at the office.	忙しくて会社にいるんだ。
I am tied up at the office.	忙しくて会社にいます。
Don't lean against the wall.	壁にもたれかかるな。
Give a lecture on literature.	文学の講義をする。
Dad painted the walls white.	父は壁を白く塗った。
Don't make sport of her.	彼女をからかってはいけない。
She is loved by everybody.	彼女は誰からも愛される。
She is reserved by nature.	彼女は先天的な無口です。
She showered abuse on me.	彼女は私に悪口を浴びせた。
She is forbidden to go out.	彼女は今外出禁止です。
She screamed with terror.	彼女は恐怖で悲鳴をあげた。
She was anxious for help.	彼女は援助を切望していた。
She painted the wall red.	彼女はその塀を赤く塗った。
She curtained the windows.	彼女はカーテンを掛けた。
She drew up the curtain.	彼女はカーテンを引き上げた。
She'll lend you a book.	彼女はあなたに本を貸すだろう。
Her occupation is teaching.	彼女の職業は先生です。
Nobody ever praises him.	彼を誉める者など誰もいない。
They have twin daughters.	彼らには双子の娘がいます。
He leaned against the wall.	彼は壁に寄りかかった。
He bought a plane ticket.	彼は飛行機の切符を買った。
He is employed on the farm.	彼は農場で働いている。
He engaged in agriculture.	彼は農業に従事している。
He broke out into rage.	彼は突然かんしゃくを起こした。
He is guilty of stealing.	彼は盗みの罪を犯している。
He looked up at the ceiling.	彼は天井を見上げた。
He dug a hole in the garden.	彼は庭に穴を掘った。
He is a mere nobody.	彼は地位も名声ももたない平凡な人だ。
He's a take-charge boss.	彼は責任の取れるボスですよ。
I doubt if he will succeed.	彼は成功しないだろう。
He took out some coins.	彼は数枚のコインを取り出した。
He ran an ad in the paper.	彼は新聞に広告を載せた。
He is a doctor by profession.	彼の職業は医師だ。
He got ready for departure.	彼は出発の用意をした。
He fixed the watch for me.	彼は時計を直してくれた。
He invited me to dinner.	彼は私を食事に招いてくれた。
He failed to come yesterday.	彼は昨日来なかった。
He was behind time yesterday.	彼は昨日遅刻した。
He is a shade better today.	彼は今日は少し元気だ。
He's a well-informed person.	彼は見聞の広い人だ。
He won a dramatic success.	彼は劇的な成功を博した。
He never got a holiday.	彼は休暇をとったためしがない。
He was covered with sweat.	彼は汗びっしょりだった。
He decided to go abroad.	彼は外国へ行こうと決心した。
He likes to travel abroad.	彼は海外旅行が好きです。
He caught hold of the rope.	彼はロープをつかんだ。
