Is he right?	彼は正しいですか。
Now that you say it, I think you're right.	そう言えばそうだ。
Now this is more like it.	この方がしっくりする。
Now you are looking at our company website.	あなたは今、当社のホームページを御覧になっています
Now, another CD has been released.	今、もう一枚のＣＤが発売されました
Now, are you going back to your room or not?	さあ、とっとと自分の部屋に帰るのか帰らんのか、どっちだ？
Now, go about your study.	さあ、勉強に取りかかりなさい。
Now, there is a problem.	困ったことになったな。
Oedipus thought for a long while.	オイデイプスは長い間考えた。
Of course I can drive a car very well.	もちろん、じょうずに車を運転できます。
Of course I can drive a car very well.	もちろん、私は大変上手に車を運転できます。
Of course I will go.	もちろん私も行きます。
Of course you can take it if you want.	もちろん、欲しければとってもいいですよ。
Of course you can take it if you want.	もちろん欲しければとってもいいよ。
Of course, I will be at the party.	もちろん私はそのパーティーに行きます。
Of course, I will go there with you.	もちろん、私はあなたとそこに行くつもりです。
Of course, we must do our best.	もちろんわれわれは最善を尽くさなければならない。
Of course, you may.	もちろん、いいよ。
Of course, you may.	もちろんいいとも。
Of course.	もちろんさ。
Of what value is it?	それはどれほど価値があるのですか。
Oh my, you're right, I didn't know that at all.	あらまあ、ホント、全く知らなんだ。
Oh, I didn't know it was that close.	あれ、そんなに近いとは知りませんでした。
Old Mr Smith is saving as much money as he can.	年老いたスミスさんは出来るだけお金をためている。
Old friends called on me.	旧友が訪ねてきた。
Olivier acted the part of Hamlet.	オリビアがハムレットの役を務めた。
On no account must you go out today.	今日は絶対に外へ出てはいけない。
On no account must you go out today.	今日は絶対外に出てはいけない。
On what account?	どう言うわけで？
One can't help many, but many can help one.	一人で大勢は助けられないが、大勢は一人が助けられる。
One day I found a box there.	ある日、私はそこで箱を見つけました。
One day I visited an old friend.	ある日私は旧友を訪問した。
One day she and I visited an old friend.	ある日彼女と私は旧友を訪問した。
One evening a man came to my house.	ある夕方、一人の男がやってきた。
One is new, and the other is old.	一つは新しく、もう一つは古いものです。
One man says this, another that.	ある人はこうだと言い、またある人はああだと言う。
One must do one's best.	人はベストを尽くさなくてはならない。
One of my friends knows you.	私の友達の一人は君を知っています。
Only six people came to the party.	そのパーティーにはわずか六人しか来ていませんでした。
Only six people were present at the party.	パーティーには６人しか出席しなかった。
Only ten people showed up for the party.	そのパーティーに姿を見せたのは１０人だけだった。
Only time will tell you if you're right.	時がたてば君が正しいかどうかがわかるだろう。
Only twenty people will come to the party at best.	せいぜい２０人しかそのパーティーには来ないだろう。
Open up.	開けてくれ。
Open your book to page nine.	九ページを開きなさい。
Open your texts to page 50.	教科書の５０ページを開きなさい。
Osaka is the second largest city of Japan.	大阪は日本で２番目の大都市です。
Other special software is needed.	別に専用のソフトが必要だ
Our Web site, http://www.example.com will tell you all you need to know.	私どものウェブサイトhttp://www.example.comは、あなたに必要な情報を全てお伝えします。
Our car is three years older than yours.	私たちの車はあなたのより３年古い。
Our city has one third as many people as Tokyo.	我々の市は東京の３分の１の人口です。
Our city is getting bigger and bigger.	私たちの市はますます大きくなっている。
Our class has increased in size.	我々のクラスは規模が大きくなった。
Our class is a small one.	私たちのクラスは少人数のクラスである。
Our class is a small one.	私達のクラスは小人数のクラスである。
Our company has a long, long history.	我が社はとても長い歴史をもっています。
Our company has come a long way since it was set up.	わが社も設立以来よく伸びたもんだ。
Our company makes use of the Internet.	我々の会社ではインターネットを利用している。
Our company provides high-quality products.	当社は高品質の商品を提供します
Our company wants to take part in that research project.	わが社はその調査計画に参加したい。
Our department doesn't have that information.	その資料はこの部署にはありません。
Our feelings are in all of the words.	それぞれの言葉に私たちの想いが込められています
Our main office is in Osaka.	当社の本社は大阪にあります。
Our money ran out.	お金がなくなってきた。
Our rates increased in April.	４月に給料があがりました。
Our school has nine classes.	私たちの学校にはクラスが９つある。
Our school has ten classes.	私たちの学校には１０の学級がある。
Our school has twenty-four classes in all.	私たちの学校には、全部で２４クラスある。
Our school is 80 years old.	私たちの学校は創立８０周年です。
Our school is fifty years old.	私たちの学校は創立して５０年だ。
Our school is in the south of the city.	私達の学校は市の南部にある。
Our school is very close to the park.	我々の学校は公園のすぐ近くにある。
Our school library has many books.	私たちの学校の図書館には本がたくさんある。
Our school library is small, but new.	私たちの学校の図書館は小さいが新しい。
Our school was not the same size as yours.	私たちの学校はあなたの学校と大きさが違っていた。
Our shop has a history of over forty years.	当店が４０年以上の歴史を誇ります
Our team did very well.	私達のチームはよくやった。
Our team played an even game with team "S".	わがチームはＳチームと対等に戦った。
Our website opened.	当社のホームページが開設されました
Our world is getting smaller and smaller every year.	世界は毎年ますます狭くなってきている。
Our world is getting smaller and smaller.	私たちの世界は、だんだん小さくなってきている。
Over 100 people were present at the party.	パーティーには１００人以上が参加していた。
P. S. I love you.	追伸愛してます。
Paris is one of the largest cities in the world.	パリは世界最大の都市の一つである。
Parked cars are in the way.	駐車は通り道の邪魔になる。
Paul offered a new plan.	ポールは新しい案を提案した。
People are living in all parts of the world.	人間は世界のあらゆる所に住んでいる。
People call him Dave.	人々は彼をいつもデーブと呼んでいる。
People call him Dave.	人々は彼をデイブと呼ぶ。
People learn from experience.	人は経験から学ぶ。
People live only about 70 years.	人生わずか７０年である。
People must love one another.	人々は互いに愛し合わなければならない。
People think so.	人には、そう見える
People were still living in that house.	その家にはまだ人が住んでいました
People who like RPGs will like this.	ＲＰＧが好きな人にはぜひオススメだ
Perry visited Uraga in 1853.	ペリーは浦賀に１８５３年に来航した。
Personal computers are of great use.	パソコンはとても役に立つ。
Peter loves Jane.	ペーターはジェーンを愛している。
Philip found Nathanael and told him.	彼は、ナタナエル見つけていった。
Place this book back where it was.	この本をもとあった場所に戻しなさい。
Plan your work before you start it.	始める前に仕事の計画を立てなさい。
Please ask him to call me.	彼に電話をくれるように頼んで下さい。
Please book a room for her.	彼女のために部屋を予約してください。
Please book me a room in a first-class hotel.	一流ホテルの部屋を予約して下さい。
Please call him up.	彼に電話して下さい。
Please call me up between seven and eight.	７時から８時の間に電話してください。
Please change my room?	部屋を変えていただけますか。
Please change my room?	部屋を替えてください。
Please check all the items on this list.	このリストの項目を全部チェックして下さい。
Please check on when he will return.	彼がいつ帰るか確かめてください。
Please come into the room one by one.	部屋の中に一人づつ入ってください。
Please come to my house next Saturday if you care to.	もしよければ、今度の土曜日にうちに遊びに来てください。
Please come to my house.	私の家に来て下さい。
Please come to my room to help me.	私を手伝いに部屋に来て下さい。
Please come to see us at our new place.	新居にも是非遊びに来て下さい。
Please credit my account for the returned item.	返品した品物の代金を私の口座に振り込んで下さい。
Please do not use the phone while working.	仕事中に電話しないでください。
Please don't bother about me.	どうか私に気を使わないで下さい。
Please don't bother.	どうぞおかまいなく。
Please don't bother.	どうぞお構いなく。
Please don't go out of your way on my account.	私の事はお構いなく。
Please don't run about the room.	部屋の中を走り回らないでちょうだい。
Please get me hotel security.	ホテルの保安係りにつないでください。
Please get these papers out of the way.	この書類を片付けてください。
Please give me a hand with my job.	私の仕事を手伝って下さい。
Please give me a hand.	ちょっと手を貸して。
Please give me help in taking this down.	これを下ろすのてつだってください。
Please give me some water.	水を少しください。
Please give me some water.	私に水をくれませんか。
Please give me the paper when you have done with it.	その新聞を読み終えたら私にください。
Please go on with your story.	あなたの話を続けて下さい。
Please go on with your story.	君の話を続けて下さい。
Please go on with your story.	話を続けて下さい。
Please go on with your study.	勉強を続けて下さい。
Please hand in your papers by the last day of this month.	レポートは今月の末日までに提出してください。
Please have a second helping.	どうぞおかわりをして下さい。
Please have a try.	どうぞやってみて。
Please keep my place in this line.	この列の私の場所を取っておいてください。
Please keep this book at hand.	この本を手元に置いてください。
Please keep this money for me.	このお金を預かっておいてください。
Please mail this form to your insurance company.	この用紙を保険会社に郵送してください。
Please make way for him.	どうぞ彼のために道をあけて下さい。
Please note my words.	私のことばを注意して聞いてください。
Please open this box.	この箱を開けてください。
Please pay at the register.	レジでお願いします。
Please phone me before you come.	電話をしてからきてください。
Please read between the lines.	言外の意味をとってください。
Please reply by return.	折り返しお返事をお願いします。
Please return it by 10 a.m. Monday.	月曜日の１０時までにお返し下さい。
Please save my place.	座席をとっておいてください。
Please see my people.	私の家族に会ってください。
Please send us more information.	新しい資料をお送りください。
Please show me another one.	ほかのを見せてください。
Please show me another one.	もう一つ別の物を見せて下さい。
Please show me another.	別のを見せて下さい。
Please show me another.	別の物を見せて下さい。
Please show me around.	私をあちこちに案内してください。
Please show me some of the travel guides for this country.	この国の旅行ガイドを見せてくれませんか。
Please show me the TV Guide.	テレビガイドを見せて下さい。
Please sign your name here.	ご署名をお願いします。
Please study here.	ここで勉強しなさい。
Please take another one.	もう一枚とってください。
Please take me to this address.	このアドレスのところに行ってください。
Please take me to this address.	この住所まで、行ってください。
Please take with you as much as you need.	いるだけ持っていらっしゃい。
Please take your book off this table.	あなたの本をこのテーブルからどけて下さい。
Please tell John that I called.	私から電話があったとジョンに伝えて下さい。
Please tell her to call me back.	お電話して下さいと、お伝えいただけますか。
Please tell me a place to read books.	本が読める場所を教えてください。
Please tell me about you and your family.	あなたやあなたの家族について話して下さい。
Please tell me about your problem.	どうかあなたの問題について私に話して下さい。
Please tell me how to get to the post office from here.	ここから郵便局への道を教えて下さい。
Please tell me how to take a book.	本の借り方を教えて下さい。
Please tell me if I get in your way.	もしじゃまだったら、そう言ってくれ。
Please tell me the way to the XYZ store.	どうぞわたしにＸＹＺストアへ行く道を教えて下さい。
Please tell me the way to the post office.	郵便局へ行く道を教えて下さい。
Please tell me what I should do first.	最初に何をすべきか教えてください。
Please tell me what will be coming next week.	来週の映画を教えて下さい。
Please tell me what you know about it.	私にそれを知らせて下さい。
Please tell me what you saw then.	あなたがその時に何を見たのか話して下さい。
Please tell me what you think.	あなたの考えを言ってください。
Please tell me when he'll be back.	彼がいつ戻るのか教えてください。
Please tell me when to go.	いつ行ったらいいのか私に教えてください。
Please tell me when you are coming back.	いつあなたはお帰りになるのか教えてください。
Please tell me where to go next.	次にどこへ行ったらいいか教えてください。
Please tell me where to go.	どこへ行ったらいいか私に知らせてください。
Please tell me where to park my car.	どこに駐車したらいいか教えてください。
Please tell me where you will live.	どこに住むつもりなのか教えてください。
Please tell me which to take.	どちらをとったら言いか私に教えてください。
Please tell me your address.	どうぞご住所を教えてください。
Please tell me your location.	場所を教えてください。
Please tell me your name.	名前を教えてください。
Please tell me your name.	私に君の名前を教えてください。
Please tell me your present address.	あなたの現住所を教えてください。
Please tell us what to do next.	次に何をしたらいいか教えてください。
Please think about the problem.	その問題について考えてみてください。
Please think no more about it.	そのことはもう考えないで下さい。
Please try me for the job.	その仕事に私を使ってみてください。
Please try one.	一度食べてみて下さい。
Please visit there today.	本日ご覧ください。
Please visit us in our new office.	新しい事務所にお立ち寄りください。
Please write about your real experience.	どうかあなたの実体験のことを書いて下さい。
Please write down my address.	私の住所を書き留めておいて。
Please write down what I am going to say.	これから私の言うことをどうぞ書き取ってください。
Please write down your contact address here.	連絡先をここに書いてください。
Please write down your home address.	お客様の住所を書いて下さい。
Please write down your name here.	どうぞ、ここにあなたの名前を書いてください。
Please write down your name.	あなたの名前を書いて下さい。
Please write this down.	これを書き留めて下さい。
Please, tell me.	どうぞ、私に話して下さい。
Please, you can have the paper first.	新聞を先にどうぞ。
Prices are going up every day.	物価は毎日アップしている。
Prices are lower in Kobe.	神戸は比較的物価が安い。
Prices have gone up these three months.	ここ三ヶ月物価が上昇しました。
Prices have gone up these three months.	ここ３か月、物価が上昇しました。
Read as many books as you can.	できるだけ多くの本を読みなさい。
Read between the lines.	本当の所を読みとらなきゃ。
Read over your paper before you hand it in.	答案を出す前にもう一度読み返しなさい。
Return to the top of the page.	ページのトップへ戻る
Return to the top of the page.	ページのＴＯＰに戻る
Ricky, this is my friend Suzuki.	リッキー、こちらが私の友人の鈴木君です。
Rie Kawada will do my job while I'm gone.	私が不在の間は河田理恵が私の仕事をすることになります。
Robert comes to visit me every now and then.	ロバートは時々私を訪ねて来る。
Rome is an old city.	ローマは古い街だ。
Romeo is the man Juliet loves.	ロメオはジュリエットが愛している男だ。
Room service. May I help you?	ルームサービスです。御用は。
Running is good for the health.	走ることは健康に良い。
Said John, and he was right.	ジョンは言いましたが、彼の言う通りでした。
Sales are down now.	今は売り上げが落ちている。
Sales are down this month.	今月は売上が落ちた。
Sales have been off this month.	今月の売り上げはよくない。
Sapporo is the fifth largest city in Japan.	札幌は、日本で５番目に大きな都市だ。
Saturday comes before Sunday.	土曜日は日曜日の前に来る。
Saturday is the last day of week.	土曜日は週の最後の日です。
Say 'ahhh'.	「アー」といってください。
Say it in English.	それを英語で言ってごらん。
Say it in another way.	それを他の言葉に言い換えなさい。
Say the word any time.	いつでも合図して。
Say which one you would like.	どちらが欲しいか言ってご覧なさい。
Say, Mike. Tell me how to get to your house.	ところでマイク、あなたの家への行き方をおしえてください。
School will open on Monday.	学校は月曜日に始まります。
See more.	続きを見る
See to it that he does not go there.	彼がそこへ行かないように気をつけなさい。
See you a little before 7.	７時前にね。
See you around.	またお会いしましょう。
See you at the party.	じゃあパーティーで会いましょう。
See you in the evening.	また夜に会いましょう
See you next week!	また来週！
Select action for Chris.	クリスの行動を選択して下さい。
Send me the account.	鑑定書を送ってください。
Set it down there.	それを下に置け。
Set off right now.	今すぐ出かけなさい。
Shakespeare is the author of Hamlet.	シェイクスピアはハムレットの著者である。
Shakespeare was not of an age but for all time.	シェイクスピアは一時代だけの人ではなくて、あらゆる時代に通じる人であった。
Shall I ask Peter for help?	ピーターに手伝ってもらいましょうか。
Shall I ask her to send the book to us?	彼女にその本を送ってくれと頼みましょうか。
Shall I buy some for him?	あの人のために何か買ってあげましょうか。
Shall I come to your office?	あなたの事務所に行きましょうか。
Shall I drive you home?	家まで車でお送りしましょうか。
Shall I get you some water?	水をお持ちしましょうか。
Shall I have him call you?	そちらへ電話させましょうか。
Shall I have him go with you?	彼をあなたと一緒に行かせましょうか。
Shall I have that box?	その箱を持ちましょうか。
Shall I help you with this box?	この箱を運ぶのを手伝いましょうか。
Sharon must be a go-getter.	シャロンはやり手にちがいない。
She acted as a guide.	彼女が案内役をした。
She acted as if she knew French well.	フランス語をよく知っているかのように振る舞った。
She acted in a play for the first time.	彼女は初めて劇に出た。
She acted in the play.	彼女はその劇に出ていた。
She and I are in the same class.	彼女と私は、同級生です。
She and I are of an age.	彼女は僕と同い年だ。
She asked about my school.	彼女は私の学校についてたずねた。
She asked about the location of the house.	彼女はその家のある場所を尋ねた。
She asked me how old I was.	あなたは何歳ですかと私に言った。
She asked me if I knew Tom's address.	彼女は私にトムの住所を知っているかどうかたずねた。
She asked me if I knew her address.	彼女は僕に彼女の住所を知っているかと尋ねた。
She asked me if I was all right.	彼女は私に大丈夫かと尋ねた。
She asked me if I would be free next Sunday.	彼女は今度の日曜日は暇かどうか私にたずねた。
She asked me to help her with the work.	彼女は私に仕事を手伝うように頼んだ。
She asked me where I was going.	彼女は私に、どこへ行くのですか、と尋ねた。
She asked me where I was going.	彼女は私にどこに行くのですか、と尋ねた。
She asked me where to go.	彼女は私にどこへ行ったらよいか聞いた。
She bobbed at him.	彼女は彼にぴょこんとおじぎをした。
She bought a new house the other day.	彼女は先日新しい家を買いました。
She called him by name.	彼女は彼を名指しで呼んだ。
She called me many a time.	彼女は何度も私に電話をかけてきた。
She called off the party.	彼女はパーティーを取りやめた。
She called while I was out.	私の外出中に彼女は来た。
She came around to my house.	彼女は急いで私の家にやって来た。
She came back before eight.	彼女は８時前に帰ってきた。
She came in company with her friends.	彼女は友人たちといっしょにやって来た。
She came into the room.	彼女が部屋に入ってきた。
She came into the room.	彼女は部屋に入ってきた。
She came out of the room.	彼女は部屋から出てきた。
She came to Tokyo with a view to getting a new job.	彼女は新しい職を見つけるために東京にやってきた。
She came to like the house.	彼女はその家が好きになった。
She came up to me and asked my name.	彼女は私の側までやってきて私の名前を尋ねた。
She came up to me and said "How are you?"	彼女が私に近づいてきて「おげんきですか」と言った。
She came up with a good way of making money by using the Internet.	彼女はインターネットで稼ぐよい方法を思いついた。
She can drive a car.	彼女は車の運転ができる。
She can't be over thirty; she must still be in her twenties.	彼女が３０歳以上であるはずがない。まだ２０代であるにちがいない。
She can't be over thirty; she must still be in her twenties.	彼女は３０を超えているはずはない。まだ２０代に違いない。
She can't drive a car.	彼女は車の運転ができない。
She can't have said so.	彼女がそう言ったはずはない。
She can't so much as write her own name.	彼女は、自分の名前さえ書けない。
She changed the subject.	彼女は話題を変えた。
She comes from a good family.	彼女は良家の出身だ。
She comes of a good family.	彼女は名門の出である。
She did all she could on my account.	彼女は私のできる限りの事をしてくれた。
She did it for the good of the community.	彼女は地域社会のためにそれをした。
She did not so much as look at me.	彼女は私を見ることさえしなかった。
She did not visit me on Sunday but on Monday.	彼女は日曜日ではなく月曜日に訪ねてきた。
She did the book up in paper.	彼女は本を紙で包んだ。
She did well by him.	彼女は彼によく尽くした。
She didn't have much money.	彼女はほとんどお金を持っていなかった。
She didn't know what to do with the problem.	彼女はその問題をどう扱うべきかわからなかった。
She didn't know what to say to him.	彼女は彼に何を言ったらよいのか分からなかった。
She didn't pay me the money.	彼女は私にそのお金を払ってくれなかった。
She didn't play cards, because she didn't like it.	彼女はトランプがすきではなかったのでしなかった。
She didn't reply.	彼女は返答しなかった。
She didn't say a word about it.	彼女はそれについては一言も言わなかった。
She didn't take many photos.	彼女はあまり写真を撮らなかった。
She does know it.	彼女は確かにそのことを知っているんです。
She does not have many friends in Kyoto.	彼女は京都にあまり友達がいない。
She does not have much money.	彼女はあまりお金はもっていない。
She doesn't get paid by the month, but by the day.	彼女は月給ではなく日給をもらっている。
She doesn't have any friends.	彼女は友達がいない。
She doesn't have to go to school on Saturday.	彼女は土曜日に学校に行く必要はありません。
She doesn't have to go to school on Saturday.	彼女は土曜日学校に行かなくてもよい。
She doesn't know how to drive a car.	彼女は車の運転のしかたがわかりません。
She doesn't live there any more.	彼女はもうそこに住んでいません。
She drove my car without so much as asking.	彼女は何の断りもなしに私の車を運転した。
She found the money gone.	彼女はその金がなくなっていることに気付いた。
She found the money gone.	彼女はその金がなくなっているのに気がついた。
She gave a look as much as to say, "Get out".	彼女は出て行けとばかりの顔つきをした。
She gave all her time to the study.	彼女は時間を全部その研究に注いだ。
She gave him all the money that she had then.	彼女はその時持っていたすべてのお金を彼にあげた。
She gave him money as well as food.	彼女は彼に食べ物だけでなく金も与えた。
She gave him the car.	彼女は彼にその車をやった。
She gave him the money.	彼女は彼にそのお金をあげました。
She gave him the money.	彼女は彼にその金をあげた。
She gave him the money.	彼女は彼にその金をやった。
She gave it to him.	彼女は彼にそれを与えた。
She gave me a present.	彼女が僕にプレゼントをくれた。
She gave me access to her records.	彼女はレコードを聞いていいと言ってくれた。
She gave money.	彼女はお金を与えた。
She gave us a present.	彼女は私たちにプレゼントをくれました。
She gave us some food.	彼女は私たちに食物をくれた。
She goes to market every day.	彼女は毎日市場に買い物に行きます。
She goes to the library every other day.	彼女は一日おきに図書館に行く。
She goes to the library every other day.	彼女は一日おきに図書館へ行く。
She goes under the name of Yotchan.	彼女はヨッチャンという名を使っている。
She got a part-time job so that she could study at college.	彼女は大学で勉強できるようにアルバイトを見つけた。
She got into the car and drove off.	彼女はその車に乗って行ってしまった。
She got into the university with a view to studying English.	彼女は英語を勉強するためにその大学に入った。
She got me by the hand.	彼女が僕の手をつかんだ。
She got through her work before five.	彼女は５時前に自分の仕事を終えた。
She got what he said.	彼女は彼の言うことを理解した。
She had a little money.	彼女は少しお金を持っていた。
She had gone there ten years before.	彼女はその１０年前にそこに行っていた。
She had lived in five different countries.	彼女は５カ国で暮らしていた。
She had returned home long before.	彼女はずっと前に家に帰っていました。
She had the care of many older people.	彼女はたくさんの老人の面倒をみた。
She had, I thought, no right to do that.	彼女はそんなことをする権利がないと私は思った。
She has a good many friends here.	彼女はここにたくさんの友人がいる。
She has a love of learning.	彼女は学問を愛する気持ちがある。
She has a love of music.	彼女は音楽が大好きです。
She has as many books as I.	彼女は私と同じくらい本を持っている。
She has been on her own since the age of eighteen.	彼女は１８歳のときから経済的に独立している。
She has been studying English since the age of ten.	彼女は１０歳からずっと英語を習っている。
She has gone, but I still love her.	彼女は行ってしまったが、私はまだ彼女を愛している。
She has good control over her class.	彼女は担任のクラスをよく把握している。
She has good control over her class.	彼女は担任のクラスをよく掌握している。
She has many friends in Hong Kong.	彼女は香港に友人がいっぱいいる。
She has no money about her.	彼女には手持ちの金がない。
She has some money of her own.	彼女はちょっとした資産を持っている。
She has to pay for the book.	彼女はその本の代金を支払わねばならない。
She has to study science.	彼女は理科を勉強しなければなりません。
She is a credit to her class.	彼女はクラスの名誉だ。
She is about my age.	彼女はだいたい私と同じ年だ。
She is about my age.	彼女はだいたい私と同じ年頃だ。
She is about my age.	彼女は私くらいの年齢だ。
She is about my age.	彼女は私と同じくらいの年齢です。
She is aged seventeen.	彼女は１７歳です。
She is all in all to him.	彼女は彼にとってかけがえのない人だ。
She is all in all to him.	彼女は彼にとっては全てだ。
She is all in all to him.	彼女は彼にとって最もたいせつな人だ。
She is at home in the subject.	彼女はその問題に詳しい。
She is at most 18 years old.	彼女は多く見ても１８歳だろう。
She is at the top of her class.	彼女はクラスでトップです。
She is at work right now.	彼女は今、仕事中だ。
She is booked up all next week.	彼女は来週はずっと先約がつまっている。
She is close on sixty.	彼女はもうすぐ６０歳だ。
She is coming home at the end of this month.	彼女は今月の終わりに帰ってきます。
She is coming home at the end of this month.	彼女は今月の終わりに帰省します。
She is eighteen at most.	彼女はせいぜい１８歳だ。
She is five years old.	彼女は五歳です。
She is free from care.	彼女には心配がない。
She is free from care.	彼女には心配ごとがない。
She is going to France next week.	彼女は来週フランスへ行く。
She is going to learn how to drive.	彼女は近く運転を習うつもりでいます。
She is in her thirties, but looks old for her age.	彼女は３０代だが、歳の割にはふけて見える。
She is just started for your house.	彼女は建ったいま、あなたの家に向かったところだ。
She is looked up to by her friends.	彼女は友達に尊敬されている。
She is loved by him.	彼女は彼に愛されている。
She is no longer what she used to be.	彼女はもはや以前の彼女ではない。
She is not without money.	彼女はお金がないというわけではない。
She is open to people who have a different point of view.	彼女は見解の異なる人々にも心を閉ざさない。
She is reading a book in the library.	彼女は図書館で本を読んでいる。
She is said to be in love with him.	彼女は彼に恋をしていると言われている。
She is said to have been a model.	彼女はモデルだったそうだ。
She is still under age.	彼女はまだ未成年だ。
She is the only friend I have.	彼女は私の唯一の友達です。
She is three years older than I am.	彼女は私よりも三つ年上だ。
She is traveling around the world.	彼女は世界一周旅行をしている。
She is trying to save as much money as she can.	彼女は、出来るだけお金をためようと努力している。
She is trying to save as much money as she can.	彼女はできるだけお金を貯めようとしている。
She is trying to save as much money as she can.	彼女はできるだけお金を貯めようと努力している。
She is trying to save as much money as she can.	彼女は出来るだけお金を溜めようと努力している。
She is two years older than you.	彼女は君より２つ年上だ。
She is very free with her money.	彼女はとても気前よくお金を出す。
She is very free with her money.	彼女は大変気前がいい。
She is very good at changing the subject.	彼女は話題を変えるのがうまい。
She is visiting Paris.	彼女はパリを訪れている。
She is well known both in Japan and in America.	彼女は日本でもアメリカでも有名である。
She is well known in both India and China.	彼女はインドだけでなく中国でもよくしられている。
She is working on the problem.	彼女はその問題と取り組んでいる。
She isn't running.	彼女は今走っていません。
She knew him better than did all the others.	彼女は彼のことを、他のみんなが知っていたよりも、よく知っていた。
She knew that John loved her.	彼女はジョンが愛しているのを知っていた。
She knew the teen.	彼女は、ティーンを知った。
She knows French, and even more English.	彼女はフランス語を知っている。英語はなおさら知っている。
She knows ten times as many English words as I do.	彼女は私の１０倍近く多くの英単語を知っている。
She knows that John loved her.	彼女はジョンが愛してくれているのを知っている。
She knows the art of making money.	彼女は金もうけのこつを知っている。
She led the old man into the room.	彼女は老人を部屋に導いた。
She likes music very much.	彼女は音楽がとても好きです。
She likes to play the koto very much.	彼女は琴を弾くことがとても好きだ。
She likes word games.	彼女はことば遊びが好きだ。
She lived a long life.	彼女は長生きした。
She lived in five different countries by age 25.	二十五歳までに、彼女は異なる五つの国で暮らしてきた。
She lives in a large house.	彼女は大きな家に住んでいる。
She lives in a large house.	彼女は広い家に住んでいます。
She lives in a two-story house.	彼女は２階建ての家に住んでいる。
She lives in the country.	彼女はいなかに住んでいる。
She looked about in her room.	彼女は自分の部屋の中をぐるりと見回した。
She looked all around.	彼女は辺りをぐるりと見回した。
She looked around the room.	彼女は部屋を見回した。
She looked around.	彼女は自身の辺りを見回した。
She looked pleased with her new job.	彼女は新しい仕事が気に入っているように見えます。
She looks better today than when I her saw last.	彼女は私がこの前会った時より今日の方が体調が良さそうだ。
She loved me in the same way that I loved her.	私が彼女を愛したように、彼女も私を愛してくれた。
She loves Tom more than she does me.	彼女は私よりトムの方を愛している。
She loves Tom, not me.	彼女が愛しているのはトムであって、私でない。
She loves Tom.	彼女はトムを愛している。
She loves an old table made in England.	彼女はイギリス製の古いテーブルを愛しています。
She loves him for what he is, not for what he has.	彼女は彼の人柄に惹かれているのであって、彼の財産に惹かれているのではない。
She made a man of him.	彼女は彼を一人前の男にした。
She made a point of visiting me.	彼女は必ず私を訪ねてくれた。
She made friends with Tom at the party.	彼女はパーティーでトムと友達になった。
She made her point.	彼女は自分の主張をとおした。
She made me a star.	彼女は私をスターにした。
She made news in that country.	彼女はその国で話題の人となった。
She may have called me up while I was out.	彼女は私が外出している間に電話をくれたかもしれない。
She may have said so.	彼女はそう言ったかもしれない。
She may well say so.	彼女がそういうのももっともだ。
She may well say so.	彼女がそう言うのも当然だ。
She may well say so.	彼女がそう言ったのももっともです。
She must be forty or so.	彼女は４０歳かそこらにちがいない。
She must be from the South.	彼女は南部出身に違いない。
She must be over eighty.	彼女は８０歳を超えているに違いない。
She must be well off.	彼女はお金持ちに違いない。
She must care for the old man.	彼女はその老人の世話をしなければならない。
She must go there.	彼女はそこへ行かなければならない。
She must have gone out.	彼女は出かけたにちがいない。
She must have seen better days.	彼女は昔羽振りが良かったに違いない。
She must still be in her twenties.	彼女はまだ２０代に違いない。
She needn't have paid the money.	彼女はそのお金を払う必要はなかったのに。
She needs to help him.	彼女は彼を助けてやる必要がある。
She owns a very big house.	彼女はとても大きな家を所有している。
She paid a visit to Laurie's house.	彼女はローリの家を訪れた。
She played cards with Roy.	彼女はロイとトランプをした。
She provided for her old age.	彼女は老後の備えをした。
She provided me with some food.	彼女は私に食べ物をくれた。
She ran out of paper.	彼女は紙を使い果たした。
She ran second.	彼女は競走で２着になった。
She returned the book to the library.	彼女は図書館に本を返した。
She said 'I love you' to me.	彼女は僕に「あなたが好きだ」と言った。
She said good-by to me for good.	彼女は私にそれを最後にさよならを言った。
She said he would be sixteen next month.	彼女は来月１６歳になると言った。
She said no more work.	彼女は仕事はしないと言った。
She said she was going to have her own way.	彼女は思い通りにするつもりだと言った。
She said that she had seen such and such there.	彼女はそこでしかじかの人々を見たと言った。
She said that they were good friends of hers.	彼女は彼らはよい友達だといった。
She said to me, 'I'll go out and buy cookies.'	「外へ行ってクッキーを買ってくるわ」と彼女は私に言った。
She says she will come.	彼女はくるといっているよ。
She says she will come.	彼女は来ると言っている。
She set a new world record.	彼女は世界記録を出しました。
She should know better at her age.	彼女の年齢ではもっと分別がなくてはならない。
She showed me her room.	彼女は僕に部屋を見せてくれた。
She showed me her room.	彼女は私に部屋を見せてくれた。
She still loved him.	彼女はまだ彼を愛していた。
She studies English every day.	彼女は英語を毎日勉強します。
She studies English.	彼女は英語を勉強します。
She supports her family.	彼女は一家を支えている。
She thinks the world of him.	彼女は彼をとても愛しています。
She thought that John had loved her.	彼女はジョンが以前に愛してくれていたと思った。
She thought that John had loved her.	彼女はジョンが愛してくれていたと思った。
She told Tony.	彼女はトニーに言いました。
She told me about what she saw in Australia.	彼女はオーストラリアで見たことについて私に話してくれた。
