I like tea.	私はお茶が好きです。
It's warm for this time of year.	今頃にしては暖かい。
The tax reform will not touch the banking industry.	今後の税制改革では銀行業界に何の影響も与えないだろう。
I am just warming up now.	今肩慣らししているところです。
My salary was high this month.	今月は給料が多かった。
It's been hot this month, but today's an exception.	今月は暑かったが、今日は例外だ。
We've had a lot of rain this month.	今月は雨が多かった。
We have two examinations during this term.	今学期、２つの試験がある。
The last election was such a hot contest that several ex-ministers lost.	今回の選挙は激戦で元大臣が何人も落ちた。
The last examination was very difficult.	今回の試験は非常に難しかった。
It is raining now.	今雨が降っている。
It is raining hard now.	今雨が激しく降ってます。
No one has ever been able to solve this problem.	今までにこの問題が解けた者はひとりもいない。
It is ten degrees below zero now.	今は零下１０度だ。
There are a lot of new buildings here now.	今は新しいビルがたくさん立っています。
Matters are different now.	今は事情が違っている。
There are a few drops of rain now.	今は雨が少し降っている。
It's three o'clock now; I'll come again in an hour.	今は３時です。１時間後にまた来ますね。
Now ten dollars buys less than five dollars did three years ago.	今は１０ドルでは３年前には５ドルで買えたほども買えない。
Can't you get by on your salary?	今の給料ではやっていけないの？
Our current house is too small, so we decided to move.	今の家は狭すぎるので、引っ越す事にした。
Can you repeat what you said?	今のをもう一度言っていただける。
I am prepared to put up with it for the time being.	今のところはそれを我慢する覚悟はできている。
The engine has given us no trouble as yet.	今のところエンジンには故障はない。
Your present trouble is on my mind all the time.	今のあなたのお困りの様子がいつも私の気がかりです。
It is going to snow.	今にも雪が降りそうだ。
It may rain at any moment.	今にも雨が降るかもしれない。
It is going to rain soon.	今にも雨が降りそうだ。
There is every sign of rain.	今にも一雨降りそうだ。
I feel at peace with myself now.	今とてもゆったりした気分だ。
I'm tied up now. Could you make it later?	今ちょっと立て込んでいますので後にしてもらえませんか。
You'll get the plane all right if you leave at once.	今すぐに出発すればその飛行機に間違いなく乗れますよ。
Wash your hands right now.	今すぐに手を洗いなさい。
It may rain any minute.	今すぐにも雨がふるかもしれない。
I need it yesterday.	今すぐいるんだ、大至急お願い！
A wind from the ocean blows at this time of the year.	今ごろの季節には海からの風が吹く。
My business is slow right now.	今あまり繁盛していません。
Try now, or you will be sorry for it later.	今、努力しなさい。さもないとあとで後悔しますよ。
It is snowing now.	今、雪が降っている。
Should I pick up my ticket now?	今、切符を受け取らなくてはいけないのですか。
It is raining hard now.	今、雨が激しく降っている。
I have a good eye for the value of antiques.	骨董品を見る目には自信があります。
Be reduced to skin and bones.	骨と皮ばかりにやせ細る。
It'll take the bone a month or so to set completely.	骨が完全にくっつくには１ヶ月くらいはかかるだろう。
I don't like to eat fish with many bones.	骨がたくさんある魚は嫌いだ。
I sat down and opened my notebook.	腰を下ろし、手帳を開きました。
A black coat is in fashion this winter.	今年の冬は黒いコートが流行している。
Some national parks offer showers and even baby-sitting services.	国立公園によって、シャワーや託児施設まで提供してくれるところもある。
The people enjoyed a taste of freedom.	国民は自由を味わった。
Do you have a cheap flight ticket on a domestic line?	国内便の安い航空券はありますか。
Nearly 80 percent of the land is mountains.	国土の８割近くが山です。
The result of the census led the left wing to believe that their policy was wrong.	国勢調査の結果は左派に自己の政策が誤っていたことを信じさせるにいたった。
National honor is national property of the highest value.	国家の名誉は最高の価値ある国家的財産である。
The capture of the prince by the king led to another war.	国王が王子をとらえたことがまた戦争をひきおこした。
Heavy snow delayed the train for several hours.	豪雪のおかげでその列車は数時間遅れた。
You'd better remember that tipping is necessary in the USA.	合衆国ではチップが必要だということを忘れない方がよい。
Why don't you go over your sums?	合計額を調べてはどうですか。
The total is approximately ten thousand dollars.	合計は１万ドルに近い。
The majority of the successful candidates were university graduates.	合格者の過半数は大学出身者であった。
Will you put a dot before the names of the successful students?	合格した生徒の名前の前に点をつけて下さい。
How wonderful that you passed the examination.	合格したとはすごいではないか。
You should study hard, if you are to pass the exam.	合格したいなら一生懸命がんばることです。
You'll have to modify the height of the table to make it fit.	合うようにテーブルの高さを修正しなければならない。
Try this hat on and see if it fits you.	合うかどうかこの帽子をかぶってみてください。
The climate of Kochi is warmer than that of Kyoto.	高知の気候は京都の気候よりも暖かい。
The air is rare on high mountains.	高山では空気が希薄になる。
I used to play tennis in high school.	高校時代はよくテニスをしたものです。
I am on our high school soccer team.	高校ではサッカーチームに入っています。
His high salary enabled him to live in comfort.	高給をとっていたので、彼は安楽に暮らすことができた。
There's a black hat caught in the high tree top.	高い木のてっぺんにひっかかった黒い帽子。
The lecture was above me.	講義は難しくて私には理解できない。
The lecture started on schedule.	講義は時間通り始まった。
Professor Naruhodo's lecture was re-broadcast.	ナルホド先生の講演が再放送された。
The lecture lasted for two hours.	講演は２時間続いた。
A lot of people came to the lecture.	講演には多数の出席者があった。
The story of the lost prince was a fiction.	行方不明になった王子の話というのは作り話だった。
Manners make the man.	行儀作法が人を作る。
Go and help wash the dishes.	行って皿洗いを手伝いなさい。
I'm sorry I can't go.	行けなくて残念です。
Instead of going myself, I sent a gift.	行けない代わりに、贈り物をおくった。
I decided not to go.	行くまいと決めた。
It is up to you to decide whether or not.	行くべきかどうか決めるのはあなた次第だ。
It's up to you to decide whether or not to go.	行くべきかどうかを決めるのは君次第だ。
It's up to you to decide whether or not to go.	行くべきかどうかを決めるのはあなたの責任だ。
Let's let him go or stay as he decides.	行くのかとどまるのか彼の決めるままにさせよう。
I am sending you a birthday present by air mail.	航空便でお誕生日プレゼントを送ります。
Can I pick my ticket up at the airport?	航空券は飛行場で受け取れますか。
Where can I pick up my ticket?	航空券はどこで受け取ればいいのですか。
Second thoughts are best.	考えなおしたうえでの考えが一番よい。
Thoughts and feelings are expressed by means of words.	考えと感情はことばによって表される。
Come to think of it, it has been raining for a week.	考えてみれば、一週間雨が降りつづいている。
Come to think of it, I promised to see him at five.	考えてみると、私は５時に彼に会う約束があった。
He brought me coffee, when I had asked for tea.	紅茶を頼んだのにコーヒーが来た。
Would you care for a cup of tea?	紅茶を召し上がりませんか。
How about a cup of tea?	紅茶を一杯いかがですか。
Would you care for a cup of tea?	紅茶を一杯いかが。
Would you like some more tea?	紅茶をもう少しいかがですか。
Please give me a cup of tea.	紅茶をいっぱいください。
Could you get me some tea?	紅茶をいただけますか。
A cup of tea, please.	紅茶を１杯お願いします。
Have a cup of tea, won't you?	紅茶を１杯お飲みになりませんか。
May I have a cup of tea?	紅茶を１杯いただけますか。
Would you like some tea or some coffee?	紅茶またはコーヒーはいかが？
Would you like your tea now or later?	紅茶はすぐにお持ちしますか、それとも後になさいますか。
Would you care for some tea?	紅茶は、いかがですか。
Would you like tea or coffee?	紅茶にしますかそれともコーヒーにしますか。
Can you describe to me the difference between black tea and green tea?	紅茶と緑茶の違いを私に説明できますか。
Which do you want, tea or coffee?	紅茶とコーヒーのどちらがいいですか。
Which do you like better, tea or coffee?	紅茶とコーヒーとどっちが好きですか。
I want another cup of tea.	紅茶がもう１杯欲しい。
Care for tea or coffee?	紅茶かコーヒーはいかがですか。
I was offered the choice of tea or coffee.	紅茶かコーヒーどちらでもどうぞと言われた。
Would you like tea or coffee?	紅茶がいいですが、それともコーヒーですが？
Two teas and a coffee, please.	紅茶２杯とコーヒー１杯ください。
The prince learned English from the American lady.	皇太子はそのアメリカ婦人から英語を習った。
Koji was caught in a shower on his way home.	浩二は帰宅の途中ににわか雨に会った。
I met her on campus yesterday.	構内で昨日彼女に会ったよ。
The gates of the school open at eight.	校門は８時に開く。
Our principal made a long speech.	校長先生は長い演説をしました。
Where did you come across the principal?	校長先生と何処で会ったのですか。
The meeting was held at the principal's office.	校長室で会議が開かれた。
Mr Bush, principal of our school, graduated from Yale.	校長のブッシュ先生はエール大学の卒業です。
You must not run in the school buildings.	校舎内では走ってはいけません。
You must not run in the school buildings.	校舎内で走ってはならない。
The news that the school had been burned down soon spread though the town.	校舎が全焼したという知らせはすぐに町中に伝わった。
Attack is the best form of defense.	攻撃は最大の防御なり。
Attack is the best form of defense.	攻撃は最大の防御である。
Attack is the best form of defense.	攻撃は最大の防御。
It was a good dinner, to say the least.	控え目に言ってもそれはすばらしいディナーだ。
It was a good dinner, to say the least.	控え目にいっても素晴らしいディナーだった。
How about we play baseball in the open space?	広場で野球をするのはどうでしょうか。
Hiroko sat there all alone.	広子は全く一人きりでそこに座っていた。
There was heavy snow over a large area.	広い地域にわたって大雪が降った。
Man is also an animal in a broad sense.	広い意味では、人間も動物だ。
Many factory workers consider themselves just an average Joe.	工場労働者の多くは自分のことを平凡な人間だと思っている。
The families of the factory workers need schools, hospitals, and stores, so more people come to live in the area to provide these services, and thus a city grows.	工場労働者の家族には学校、病院、店などが必要なので、こうした必要を満たすためにさらに多くの人々がやってくる。かくして、都市が出来てくるのである。
That will be better than the factory.	工場よりずっといいよ。
The factory has been transferred to Hokkaido.	工場は北海道へ移転した。
The factory had to cut back its production.	工場は生産を縮小せざるをえなかった。
The factory is keyed to produce men's wear.	工場は紳士服をもっぱら生産している。
The factory is running at full capacity.	工場はフル稼動している。
The area of the factory is 1,000 square meters.	工場の面積は１０００平方メートルだ。
Many men were hired at the factory.	工場には多くの人が雇われていた。
The factory did not want him.	工場では彼を欲しがりませんでした。
Strike while the iron is hot.	好機を逃がすな。
Computers are certainly playing an important role in our life, whether we like it or not.	好むと好まざるとにかかわらず、コンピューターが、われわれの生活の中で重要な役割を果たしていることは確かである。
There is no accounting for tastes.	好みを説明する事はできない。
There is no accounting for tastes.	好みは、説明できない。
There is no accounting for tastes.	好みについて説明することはできない。
Suit yourself.	好きにしろよ。
Read whatever you like.	好きな物を何でも読みなさい。
Who's your favorite actor?	好きな俳優は誰ですか。
Eat whatever food you like.	好きな食べ物は何でも食べなさい。
Choose any flowers you like.	好きな花をどれでも選びなさい。
Choose any flowers you like.	好きな花をいくらでも選びなさい。
Point your finger at your choice.	好きなものを指差しなさい。
Eat whatever you like.	好きなもの何でも食べなさい。
You can take whatever you like.	好きなものは何でもとっていいですよ。
You can do whatever you like.	好きなことは何でもしてよろしい。
You can see a white tower over there.	向こうに白い塔が見えます。
The man you see over there is a famous writer.	向こうに見える人は有名な作家です。
The man you see over there is a famous writer.	向こうに見えるのが有名な作家です。
That tower you see over there is the Eiffel Tower.	向こうに見えるのがエッフェル塔です。
The girl running over there is my sister.	向こうで走っている少女は私の妹です。
Do you know the girl waving at us over there?	向こうで私たちに手を振っている女の子を知っていますか。
The park was extended to the river.	公園は川の所まで拡張された。
Which direction is the park in?	公園はどちらの方向にありますか。
I walked toward the park.	公園の方に足を向けた。
Look at the flowers in the park.	公園の花をみてごらん。
In our park, we have a nice slide for children to play on.	公園に子供が遊ぶのにちょうどよい滑り台がある。
Don't play baseball in the park.	公園で野球をしてはいけないよ。
We expect rapid growth of the utilities sector.	公益事業部門の急成長を見込んでいます。
Light and sound travel in waves.	光や音は波の形で伝わる。
While light waves travel most quickly through air, they go slower through water and even slower through glass.	光の波は空中で最も速く進み、水中ではそれより遅く、ガラスの中ではもっと遅く進む。
Light waves travel through space and various kinds of materials.	光の波は空間や様々な種類の物質の中を通って進む。
The candidates are out kissing babies and pumping hands.	候補者たちは街頭に出て、せっせと愛想を振りまいています。
The noise of traffic prevented us from hearing what the man said.	交通騒音のために、私たちはその人が言ったことが聞こえなかった。
Traffic accidents are increasing year by year.	交通事故は年々増えつつある。
The traffic accident took place on the main highway.	交通事故は主要高速道路で起こった。
A traffic accident happened there.	交通事故はそこで起こった。
We must take measures to prevent traffic accidents.	交通事故の防止対策を講じなければならない。
The cause of the traffic accident was reported by the police.	交通事故の原因が警察によって報告された。
As a result of a traffic accident, several persons were killed.	交通事故の結果、死者が数人出た。
We had to put off the meeting because of the traffic accident.	交通事故のため会議を延期せざるをえなかった。
A traffic accident caused us a lot of trouble.	交通事故のために、私達は大変な目にあった。
His delay in coming here is due to a traffic accident.	交通事故のせいで彼はここへ時間どおりに来れてないんだよ。
We should guard against traffic accidents.	交通事故には用心しなければならない。
Talking of traffic accidents, I saw one last year.	交通事故と言えば去年、私は１件それを見た。
The traffic accident took place on the main highway.	交通事故が幹線道路で起こった。
An accident has happened.	交通事故がおきました。
There was a car accident and the traffic didn't move an inch.	交通事故があって、１インチも動かない渋滞になってしまいました。
I got a traffic ticket.	交通違反のチケットを渡された。
Traffic is a major urban problem.	交通は都市の主要な問題である。
Traffic is all tied up.	交通が全く不通になっている。
Let's take turns rowing the boat.	交替でボートをこごう。
I would like to return it to you for replacement.	交換のために返却したいと思います。
Thank you for setting the record straight.	誤解を正してくださってありがとう。
Please let me set the record straight.	誤解を正させてください。
Playing go is my only recreation.	碁を打つのが私の唯一の娯楽だ。
Playing go is my only recreation.	碁を打つことが私の唯一の楽しみだ。
Can I have some tea?	お茶をもらえますか。
Could I have some more tea?	御茶をもう少しいただけますか。
Please send my regards to your family.	御家族の方によろしくお伝え下さい。
The backer is waiting to see how the deal pans out.	後援者は取引がどんな結果になるか様子を見ています。
Later the personal guards of kings were called satellites.	後になると王の護衛がサテライトと呼ばれた。
You'll be sorry!	後で吠え面かくなよ！
I have tennis practice later.	後でテニスの練習があるんだよ。
We have an opening at two o'clock.	午後二時なら開いてます。
A custom developed in which they would kiss each other.	互いにキスをする習慣が発達した。
I asked her to call me at five o'clock.	五時に起こしてくれるように彼女に頼んだ。
Can you change a five-dollar bill?	五ドル札を崩せますか。
I have told you how to treat customers.	顧客の扱い方をお話しした。
The lake is about 25 meters deep.	湖は約２５メートルの深さだ。
There was a new coat of paint on the door.	戸には新しくペンキが塗ってあった。
Many times I've been alone.	孤独な時も何度かあった。
The old guard was nearly voted out of the Upper House.	古参議員たちは、選挙で参議院の議席を失いそうになりました。
They decided to pull down the old building.	古い建物を取り壊すことに決めた。
There are many old Indian legends.	古いインドの伝説が数多くある。
You can win all the battles yet lose the war.	個々の戦闘にはみな勝っても戦争に負けることがある。
Language is unique in that any statement must start out as the creation of an individual mind.	言語は、いかなる言葉も必ず個人の心の創作として飛び出してくるという点で、ユニークである。
There are many guesses about how language began, but the fact is that no one really knows.	言語がどのように始まったのかについてはいくつも推論はあるが、実はだれもあまり知らない。
Am I making myself clear?	言ってることがわかりますか。
You can say whatever you want to.	言いたい事はなんでも言ってよろしい。
In other words, he is a man of faith.	言いかえると、彼は信念の人です。
Ten o'clock local time?	現地時間で１０時だ。
The natives were not allowed to enter the district.	現地の人達はその地区に立ち入ることを許されなかった。
Modern art has broken away from nineteenth century conventions.	現代美術は１９世紀の慣習とはすっかり変わっている。
Let well enough alone.	現状のままにして置く。
You should face up to the reality.	現実を直視するべきだ。
You should face reality.	現実を直視すべきだ。
It is not always easy to face reality.	現実に直面することは必ずしも簡単ではない。
Fall from reality.	現実から逃げ出す。
You must not get away from reality.	現実から逃げてはいけないよ。
At present freedom of speech is taken for granted.	現在では言論の自由は当然と思われている。
To many people today, "competitive" is a bad word.	現在、「競争」を悪い言葉と思っている人は多い。
If you run out of cash, you can fall back on your savings in the bank.	現金がなくなっても、あなたは銀行預金をあてにできる。
It is often said that a good way to lose weight is to stop eating sweets.	減量する良い方法は甘い物を食べることをやめることだ、とよく言われている。
Hard labor was beginning to tell on his health.	厳しい労働が彼の体にこたえ始めていた。
The natives collect and store rain-water to drink.	原住民は雨水をためて飲料水にしている。
The two teams debated on the issue of nuclear power.	原子力について２つのチームが討論した。
Mr Suzuki, who is a former Prime Minister, will be chairman of the committee.	元総理大臣の鈴木氏が、委員会の議長になるだろう。
You must pull yourself together and face up to life.	元気を取り戻して人生にたちむかえ。
I locked myself out.	鍵を部屋においたままドアをしめてしまいました。
Kenji plays tennis.	賢治君はテニスをします。
Kenji is a tennis player.	賢治君はテニスの選手です。
There was nothing but the ocean as far as the eye could see.	見渡す限り海だった。
Everything was covered with snow as far as the eye could see.	見渡す限り一面の雪景色だった。
As far as I could see, everything was covered with snow.	見渡すかぎり、すべては雪におおわれていた。
Keep track of everything that looks promising.	見込のありそうなことは何でも見失わないことだ。
Look! The book is burning.	見て本が燃えている。
When we looked down, we saw many buildings.	見おろすと、たくさんビルが見えた。
Man's best friend certainly makes a good addition to a household.	犬は確かに家庭に何か潤いを与えているね。
We have to keep our dog tied.	犬はつないで飼わなければなりません。
Don't throw a stone at the dog.	犬に石を投げてはいけません。
Having fed the dog, he sat down to his own dinner.	犬に餌をやってから、彼は自分の食事に取りかかった。
Asked what exactly a right was, I was at a loss to explain it.	権利は正確には何であるのかと聞かれて、私は説明に困った。
The results of the test were negative.	検査の結果は陰性だった。
Please wait until we get the results of the examination.	検査の結果が出るまで待ってください。
I'd like to have a medical examination.	検査していただきたいのです。
We check your guns here.	拳銃は預からせてもらいます。
Takeo felt in his pocket for the ticket.	建雄はポケットに手を入れて券を探した。
Buildings are much stronger now than they used to be.	建築物は、現在では昔よりずっと堅牢になっている。
Speak plain truth.	嫌なことをあからさまに言う。
I am not pushing.	嫌なら結構です。
If you want to have a row, have it with me.	喧嘩したければおれが相手になってやるぜ。
I'll see about getting the tickets.	券の手配しとくよ。
Ken's really got computers on the brain.	健本当にコンピューターに取り付かれているようだね。
Kenji decided to become a cook.	健二はコックになることに決めた。
You should have a doctor examine your condition.	健康状態を医者に診てもらったほうがいい。
It is not until you lose your health that you realize its value.	健康を失ってはじめてその価値が分かる。
You don't realize its value until you have lost your health.	健康を害するまでその価値はわからない。
Loss of health is more serious than loss of money.	健康を害することはお金をなくすことより重大である。
It is not until you have lost your health that you realize its value.	健康を害してはじめてその価値がわかるものだ。
Walking is the best way to stay healthy.	健康を維持するためには散歩するのが一番良い。
It is not until we lose our health that we realize the value of it.	健康の価値はそれを失ってはじめてわかる。
My health makes me a very slow worker.	健康のせいで仕事がいっこうにはかどらない。
A healthy man does not know the value of health.	健康な人は健康の価値が分からない。
Ken wants to be a baseball player.	健は野球選手になりたがっている。
Ken plays soccer every day.	健は毎日サッカーをする。
Ken's really a chip off the old block.	健は親にそっくりね。
Ken has not washed the car yet.	健はまだ車を洗っていません。
Ken talked with his friends yesterday.	健はきのう友達と話しました。
It is generally believed that a trip to the moon will be made possible during this century.	月世界への旅は今世紀中に実現するだろうと一般に考えられている。
It will pay you to save a part of your salary each month.	月々給料の一部を貯金しておけば損はないよ。
It will not be long before we can take a trip to the moon.	月へ旅行できる日がまもなく来るだろう。
A trip to the Moon is no longer a dream.	月への旅行はもはや夢ではない。
The moon rises in the east.	月は東から上る。
The moon is a satellite of the earth.	月は地球の衛星である。
The moon moves around the earth.	月は地球の周りを回っている。
The moon is the Earth's satellite.	月は地球の衛星だ。
The moon is the earth's only satellite.	月は地球のただ一つの衛星である。
The moon is risen.	月は昇った。
The moon is not a good place to live on.	月は住むのによい所ではない。
The moon doesn't have light of its own.	月は自分では光らない。
The moon goes round the earth once a month.	月は月に１回地球の周りを回る。
The moon is already up.	月はもう上がっている。
The moon was on the lake.	月の光が湖を照らしていた。
The time will soon come when man will be able to travel to the moon.	月に旅行できる時がそのうちに来るだろう。
I hope the day will soon come when we can travel to the moon.	月に旅行ができる日がすぐにやってくることを望んでいます。
There is no life on the moon.	月に生物はいない。
Nor are there any woods on the moon.	月には森も無い。
Since there is no air on the moon, there is no sound at all.	月には空気がないから音がまったくない。
There is no air on the moon.	月には空気がない。
The moon has set.	月が沈んだ。
The moon has gone down.	月が没した。
The moon is risen.	月が出た。
The moon is coming up over the mountains.	月が山の向こうから上がりつつある。
The moon was reflected in the lake.	月が湖に映し出されていた。
The moon is low in the sky.	月が空に低く出ている。
The moon rose above the hill.	月が丘の上に昇った。
Seen from the moon, the earth looks like a ball.	月から見ると、地球はボールのように見える。
I'd like to have my blood examined.	血液検査をしてもらいたいんです。
Let's forget everything about that conclusion.	結論を白紙にもどそう。
By way of conclusion he said as follows.	結論として彼は次のように言った。
In marriage there should be equal give and take.	結婚生活は公平なギブ・アンド・テイクであるべきだ。
Marriage is the union of a man and woman.	結婚は男女の結びつきである。
Marriage can be a wonderful thing if two people understand each other.	結婚は２人が互いを理解し合えばすばらしいものとなりうる。
Marriage is the last thing on my mind.	結婚するつもりなんかこれっぽっちもありません。
OK. Go ahead.	結構です。どうぞ。
In the end, they made up their minds to go by plane.	結局彼らは飛行機で行く決心をした。
In the end we decided to ask our teacher for advice.	結局、私達は先生に助言を求めることにした。
She would be shocked if she were to know the result.	結果を知ったら彼女はショックを受けるでしょう。
The results were negative.	結果は望ましいものではなかった。
It ended up being canceled, but it gave us a chance to learn each other's feelings.	結果として、キャンセルすることになったけど、お互いの気持ちを知るいい機会だった。
The result is all that matters.	結果だけが重要だ。
The result is all that matters.	結果だけが必要だ。
It rests with you to decide.	決定は君次第である。
It's up to you to decide.	決定するのは君次第だ。
What we had to decide was when to open the meeting.	決定すべきことは、いつ集会を開くかと言うことだった。
I couldn't decide what to do, so I just followed my heart.	決心がつきかねたので、私は感情のおもむくままに行動した。
The gold cup was given to the winner of the final match.	決勝戦の勝者に金のカップが贈られた。
It rests with you to decide.	決めるのは君次第だ。
Please let me know as soon as it's decided.	決まり次第教えてください。
Please let me know as soon as it's decided.	決まり次第知らせて下さい。
Never break your promise.	決して約束を破るな。
You must never resort to violence.	決して暴力に訴えてはいけない。
Never speak ill of others.	決して他人の悪口を言うな。
It's raining cats and dogs.	激しく雨が降っている。
The heavy rain prevented them from going there.	激しい雨が彼らの行く手を妨げた。
On my way to the theater I saw a traffic accident.	劇場へ行く途中、私は交通事故を見た。
There is a parking lot behind the theater.	劇場の裏に駐車場がある。
He looked just like his picture on the wall of the theater.	劇場の壁にかかっている写真にそっくりでした。
Let's meet in front of the theater.	劇場の前であいましょう。
I met Yoko on my way to the theater.	劇場に行く途中でヨウコにあった。
We ran out of gas on the way to the theater.	劇場に向かう途中でガス欠になった。
There was a large audience in the theater.	劇場には大勢の観衆がいました。
There was a large audience at the theater.	劇場には多くの聴衆がいた。
At the theater, Kathy changed seats with her mother.	劇場でキャシーは母と席を替えた。
A stream of people came out of the theater.	劇場から続々と人が出てきた。
The play began exactly on time.	劇はちょうど定刻に始まった。
It requires a good taste to study art.	芸術の研究には立派な鑑識力が必要だ。
Karuizawa is famous as a summer resort.	軽井沢は避暑地として有名である。
The police considered the crime to be serious.	警察当局はその犯罪が重大であると考えた。
The police regarded him as a party to the crime.	警察は彼がその犯罪に関係していると考えた。
The police were able to find the criminal.	警察は犯人を見つけ出す事ができた。
The police demanded that the criminal hand over the gun to them.	警察は犯人に銃を手渡すように要求した。
The police found out where the criminal lived.	警察は犯人がどこに住んでいるかを知った。
The police established where he was when the crime occurred.	警察は犯罪が起きたとき彼がどこにいたかを立証した。
The police continued their investigation.	警察は調査を続けた。
The police tried to keep people away from the accident.	警察は人々をその事故現場からとおざけようとした。
The police took some pictures of the scene of the accident.	警察は事故現場の写真を何枚か撮った。
The police are looking into the cause of the accident.	警察は事故の原因を調査中である。
The police are looking into the cause of the accident.	警察は事故の原因を調べている。
The police are examining the car accident now.	警察は今その交通事故を調べている。
I believe the police will ignore you.	警察は君の事を無視すると思うよ。
The police were forced to break into the apartment through the window.	警察はやむなく窓からそのアパートに入った。
The police could not establish the identity of the man.	警察はその男の身元を突きとめる事ができなかった。
The police have decided to look into the case.	警察はその事件を詳しく調査することにした。
The police are looking into the cause of the traffic accident.	警察はその交通事故の原因を調べている。
The police set out to solve the crime.	警察は、その犯罪の解決に着手した。
The investigation by the police brought their secret life to light.	警察の調べによって彼らの秘密の生活が明るみに出た。
The police got to the scene of the accident.	警察が事故現場に着いた。
The police were examining their bags.	警官達が彼らの鞄を調べていた。
I believe the police will ignore you.	警官は君のことを無視すると思うよ。
The police were on the scene of the accident.	警官がその事故の現場に居合わせた。
You must be accurate in counting.	計算に間違いがあってはならない。
For the economy as a whole, recovery seems still far away.	経済全体としてみたら、回復はまだずっと先のようだ。
I major in economics.	経済学を専攻しています。
Economics is the study of economic mechanisms.	経済学は経済の仕組みを研究する学問である。
I ordered five books on economics from London.	経済学の本を５冊ロンドンに注文した。
The economy is at peak of a business cycle at present.	経済は今景気循環の頂点にある。
The economy recorded a negative growth.	経済は厳しい不況で縮小した。
The economy recorded a negative growth.	経済はマイナス成長を記録した。
There is going to be a show-down between management and labor.	経営側と労働者側との対決があるでしょう。
Business is slow.	景気は悪いね。
Business keeps going from bad to worse.	景気はますます悪い方へ向かうばかりである。
Business is, to a large extent, improving.	景気はかなり上向きである。
We were tied to our decision because we signed the contract.	契約を交わした以上、決定を守らなければならなかった。
I regard the contract as having been broken.	契約は破棄されたものとみなします。
The brothers' school records nearly matched.	兄弟の学業成績はほとんど互角だった。
Oh brother sky I take a step forward.	兄弟なる空よ俺は歩き始めるよ。
My brother gave me a pair of jeans.	兄は私にジーパンをくれた。
My brother is looking for an apartment.	兄はアパートをさがしています。
His brothers, sisters or he himself is to go to the station to meet their father.	兄たちか、姉たちかそれとも彼自身が両親を迎えに駅に行くべきだ。
My brother seems to enjoy himself at college.	兄さんは大学で楽しそうです。
My brother sends you his regards.	兄があなたによろしくとのことです。
An army is a nation within a nation; it is one of the vices of our age.	軍隊は国家の中の国家である、現代の諸悪のひとつである。
The army was advancing in the wrong direction.	軍隊は違う方向に進んでいた。
Let me introduce you to Mr. Murata.	君を村田さんに紹介しよう。
I have a surprise for you.	君をびっくりさせるものがある。
It's time you looked ahead.	君も将来のことを考えていい頃だ。
It's your first time doing this kind of work. You should follow the manual exactly until you get more experience.	君もこの手の仕事は初めてなんだろう？勝手がわかるまではマニュアル通りにやっておいたほうがいいよ。
She continued that you should keep your promise.	君は約束を守るべきだと彼女は続けていった。
You should keep your promise.	君は約束を守るべきだ。
Are you a member of the baseball team?	君は野球チームのメンバーですか。
You must choose between honor and death.	君は名誉か死のどちらかを選ばなければならない。
You are pushing matters.	君は無理押ししすぎるよ。
Because you're a minor, you can't enter.	君は未成年だから入れません。
All you have to do is to tell the truth.	君は本当の事をいいさえすればいいのだ。
You have no sense of direction.	君は方向音痴だ。
You must take off your hat in the room.	君は部屋の中では帽子をとらなくてはならない。
Have you ever traveled in a plane?	君は飛行機で旅行したことがありますか。
I have a feeling you'll be a very good lawyer.	君は非常に優秀な弁護士になれる気がする。
Are you aware of how much she loves you?	君は彼女がどんなに君を愛しているか気づいているのか。
You should have told him the truth.	君は彼に本当のことを言うべきだった。
You should tell him the truth.	君は彼に真実を話すべきだ。
You had better tell him the truth.	君は彼に真実を伝えた方がよい。
What do you have for breakfast?	君は朝食に何を食べますか。
Whom are you speaking of?	君は誰のことを言っているのか。
You look as healthy as ever.	君は相変わらず健康そうに見える。
You can get ahead in the world.	君は成功するよ。
I think you'd better take a rest; you look ill.	君は少し休んだほうがいいと思うよ。顔色が悪いから。
You should have known better than to take an examination without preparing for it.	君は準備なしに受験するなんて馬鹿なことをすべきでなかったね。
You needn't have gone to the trouble.	君は手間をかける必要はなかった。
You had better have your car washed.	君は車を洗ってもらった方がよい。
Did you actually see the accident?	君は実際に事故を見たのですか。
You'll have to answer for your behavior.	君は自分の行動に対して責任を取りなさい。
You had better take into consideration that you are no longer young.	君は自分がもはや若くないことを考慮に入れたほうがいい。
You should have introduced yourself.	君は自己紹介すべきだったのに。
You are the next in line for promotion.	君は次の昇任予定者です。
You may as well prepare for your examination.	君は試験の準備をしたほうがよい。
You should study hard so that you can pass the examination.	君は試験に受かるように一生懸命勉強すべきだ。
You are expected to pass the exam.	君は試験に合格するものと思われている。
I wish you had told me the truth.	君は私に本当のことを話してくれていればよかったのに。
You should have told me the truth.	君は私に真実を言うべきだったのに。
You have only to follow the directions.	君は指示に従ってさえいればいいのです。
You have only to follow the directions.	君は指示に従っていればいいのです。
All you have to do is wash the dish.	君は皿を洗いさえすればよい。
You didn't come to school yesterday, did you?	君は昨日学校に来なかったねえ。
You did not come to school yesterday.	君は昨日学校にこなかった。
Did you hear about the fire yesterday?	君は昨日の火事のことを聞きましたか。
You should be ready for the worst.	君は最悪の事態を覚悟しなくてはならない。
