Last call!	ラスト・オーダーは締め切らせていただきました。
We didn't know which car we should get in.	私達はどの車に乗って良いのかわからなかった。
We didn't want to go, but we had to.	我々は行きたくは無かったが、行かなければならなかった。
We don't get on well with each other.	私達はお互い仲が悪い。
We don't know when this world came into being.	この世がいつ出現したのかわかってない。
We found out where he lives.	私達は、彼がどこに住んでいるのかが分かった。
We gave up the plan.	私たちはその計画をあきらめた。
We go to school to learn.	私たちは学ぶために学校に行く。
We got into a car.	私たちは車に乗り込んだ。
We got to know each other in London.	私たちはロンドンで知り合った。
We had good time, learning English.	私たちは英語を学びながら、楽しい時間を過ごした。
We have known each other for years.	私たちは長年の知り合いです。
We have lived in Osaka six years.	私達は６年間大阪に住んでいた。
We have lived in Tokyo for six years.	私たちは６年間ずっと東京に住んでいます。
We have lived in the U.S. for ten years now.	私たちはアメリカに住んでもう１０年になる。
We have some plans in view.	私達は幾つか考慮中の計画がある。
We have to change our plan.	私たちは計画を変更しなければならない。
We have to think over the plan.	私たちはその計画を良く考えてみなければならない。
We have very good business.	私達は、商売が繁盛している。
We haven't changed how we think of her.	私たちの彼女に対する考えはかわっていない。
We learn English at school.	私たちは学校で英語を学ぶ。
We learn English at school.	私たちは学校で英語を習います。
We learn to read and write.	我々は読み書きをならう。
We learned how to read English.	私たちは英語の読み方を学びました。
We learned what we should do first.	私たちは最初に何をすべきかを習った。
We live in New York.	私達はニューヨークに住んでいます。
We live in the world with time. 	わたし達が時間の世界に生きる
We looked at each other.	私たちはお互いに顔を見合わせた。
We need to help each other.	私たちはお互いに助け合うことが必要です。
We need to review the case.	私達はその事件を再調査する必要がある。
We ordered some new books from England.	我々は何冊かの新しい本を英国に注文した。
We play on Sunday.	私達は日曜日に遊ぶ。
We started in no time.	私達はすぐに出発した。
We think that he will come.	彼は来るだろうと思う。
We think that he will come.	彼は来ると思います。
We thought out a new way.	私たちは新しい方法を考え出した。
We used to live in Kobe.	私たちは以前神戸に住んでいた。
We want a car.	私達は車が欲しい。
We will have known each other for three years next Christmas.	次のクリスマスで私たちが知り合って３年になります。
We will have learned English for five years next year.	私たちは来年で英語を５年間学んだ事になります。
We will make it public.	私たちはそれを公にしようと思う。
We will start at 6 a.m. on August 20.	私達は８月２０日午前６時に出発します。
We will start when he comes.	彼が来たら出発します。
We will start when he comes.	私達は彼が来たら出発する。
We work for our living.	我々は生活のかてを得るために働く。
We'd better send for help.	人をやって助けを求めたほうがいい。
We'll call Dr. Shiegal for you.	こちらからシーガル先生に電話しておきます。
We'll go to Hong Kong first, and then we'll go to Singapore.	先ず香港に行ってそれからシンガポールに行きます。
We'll have lived here for two years next April.	次の４月でわれわれはここに２年住んでいることになる。
We're all booked up at 6:00.	６時は満席です。
We're on our way home.	あの故郷へ帰るんだ。
We're on our way home.	懐かしい家に帰るんだ。
Well, shall we call it a day?	そろそろお開きにしよかー。
Well? Will you come?	どう？来ない？
Were I free from work, I could read these books.	もし仕事がなく暇なら、私はこれらの本を読めるのだが。
Were you reading a book at that time?	あなたはその時本を読んでいましたか。
What a man you are!	君はなんという男だ。
What are you going to play?	今度は何を弾いてくれるんだ。
What are you learning at school?	今授業で何を習っていますか。
What are you lining up for?	あんた、なぜに並んでいるのだい。
What are you thinking about?	あなたは何を考えているのですか。
What are you thinking about?	何を考えているの？
What did she buy at the shop?	彼女はその店で何を買いましたか。
What did you come here for?	どうしてここへ来たのですか。
What did you do then?	それから君はどうしたのか。
What did you do with my book?	私の本はどうしましたか。
What did you do with that car?	あなたはあの車をどう処理したのですか？
What do they live on in Egypt?	エジプトでは何を食べて生活していますか。
What do you call "yuri" in English?	「ユリ」を英語で何といいますか。
What do you do for a living?	何の仕事をしているのですか。
What do you learn English for?	何のために英語を学ぶのですか。
What do you learn Spanish for?	どうしてスペイン語を学ぶのですか。
What do you learn at school?	君たちは学校で何を学びますか。
What do you learn?	君は何を学びますか。
What do you think about it?	それについてどう思いますか。
What do you think about it?	それについてはどうお考えですか。
What do you think about the book?	その本についてどう思いますか。
What do you think about this plan?	この計画についてどうお考えですか。
What do you think he did?	彼が何をしたと思いますか。
What do you think he is?	彼は何をしている人だと思いますか。
What do you think is the best way to learn English?	英語を身につける最良の方法は何だと思いますか。
What do you think of Japan?	日本についてどう思いますか。
What do you think of Japan?	日本をどう思いますか。
What do you think of Japanese?	日本語をどう思いますか。
What do you think of it?	それの感想は？
What do you think of this plan?	この計画はどう思いますか。
What do you think of this plan?	この計画をどう思いますか。
What do you think she is going to do?	彼女は何をしようとしているのだと思いますか。
What do you think should be done about it?	その件についてどうすべきだと思いますか。
What do you think you're doing?	何を考えてんだ？
What do you think?	あなたはどう思いますか。
What do you think?	どう思われますか？
What do you want me to do?	何か御用ですか。
What do you want me to do?	私に何をしてほしいって言うの？
What do you want to be?	あなたは何になりたいの？
What do you want to be?	君は何になりたいの。
What do you want to buy for her?	あなたは彼女に何を買ってあげたいのですか。
What do you want to do?	あなたは何をしたいですか。
What do you want to do?	何がしたい？
What do you want to do?	何をしたいんですか？
What do you want?	あなたがたは何を求めているのですか。
What do you want?	何が欲しいですか。
What do you want?	何のご用ですか。
What do you want?	何の用だ。
What do you want?	君は何がほしい。
What good books these are.	これらは、なんと良い本なのだろう。
What have you come here for?	何のためにここに来たのですか。
What have you come here for?	君はどうしてここへ来たのか。
What have you done with your car?	君の車どうしたんだい？
What he writes comes to this.	彼の書いていることはこういう意味だ。
What if he comes back now?	今、彼が戻って来たらどうなるだろう？
What in the world do you want to do?	いったい何がしたいのか。
What is it that makes you think that way?	君がそんな風に考えるのはどうしてだい。
What is it that you want me to do now?	あなたが今、あたしにしてほしいことは何？
What is it that you want me to do?	君が私にやってほしいというのは何ですか。
What is it that you want?	君が欲しいのはいったい何だ。
What is she about?	彼女は何をやっているのだ？
What is she like?	彼女はどのような人ですか。
What is she like?	彼女はどんな人ですか。
What is the area of this city?	この都市の面積はどれくらいか。
What is the best way to learn English?	英語を学ぶ最良の方法は何ですか。
What is the book about?	この本は何について書いてあるのですか。
What is the good of reading such books?	こんな本を読んで何になるのか。
What is written in the book?	この本には何が書いてあるのですか。
What line is he in?	彼はどんな職業に就いていますか。
What line of work are you in?	あなたの職業は何ですか。
What line of work are you in?	ご商売は何ですか。
What line of work are you in?	どんな職業に就いていますか。
What made you come here?	何があなたをここに来させたのか。
What made you think so?	どうしてあなたはそう考えたのですか。
What make of computer do you use?	何社製のコンピューターをお使いですか。
What makes you think so?	どうしてそのように考えられるのですか。
What makes you think that way?	どうしてそんな風に考えるのですか。
What man has done, man can do.	彼も人なり我も人なり。
What shall we play?	何をして遊ぼうか。
What should I call you?	あなたのことをなんとお呼びしたらいいでしょうか。
What time can you come?	何時に来れますか。
What time did you come home?	いつ帰宅したのですか。
What time shall I come?	何時にお伺いいたしましょうか。
What was he up to then?	その時彼は何をたくらんでいたのか。
What was it that you wanted?	あなたが欲しかったものは何だったのか。
What were you doing then?	その時あなたたちはいったい何をしていたのですか。
What were you doing then?	その時あなたたちは何をしていたのですか。
What were you doing then?	その時あなたは何をしていたのですか。
What were you doing when she came?	あの子が来たとき、君が何をしているんだ。
What were you looking at then?	君はあの時何を見ていたの
What will come?	この先どうなるの。
What would you like to be called?	どのようにお呼びしたらよろしいでしょうか。
What you see is what you want.	目に付くものが欲しいものだ。
What'll they think of next?	それって、すごいじゃないの。
What's my book doing here?	何だって私の本がこんなところにあるんだろう。
When I came back, my car was gone.	私が戻ると車がなくなっていた。
When I get through with my work, I'll call you.	仕事を終えたら電話します。
When and where did you come to know her?	いつ、どこで彼女と知り合ったんだい。
When and where did you come to know her?	いつ、どこで彼女を知るようになったのですか。
When are you coming back?	いつ戻ってきますか。
When are you going to call me?	あなたはいつ私に電話してくれるつもりですか。
When did he come back from Osaka?	彼はいつ大阪から戻ったのですか。
When did he come here?	彼はいつここに来ましたか。
When did he come over to see you?	彼はいつ会いに来たの。
When did the world come into being?	この世界は何時生じたのか。
When did the world come into being?	世界はいつ誕生したのだろうか。
When did you come back from Germany?	ドイツからいつ帰国しましたか。
When did you come back from Tokyo?	あなたはいつ東京から帰ってきたのですか。
When did you come to Japan?	あなたはいつ日本に来ましたか。
When did you come to Japan?	いつ日本にいらっしゃったんですか。
When did you come to Japan?	君はいつ日本に来たのですか。
When did you come to Paris?	いつパリに来たのですか。
When did you come to know her?	いつ彼女と知り合ったのですか。
When did you first come over to Japan?	初めて日本に来たのはいつか。
When do you come and see me?	あなたはいつ私に会いに来ますか。
When do you start for Sado?	あなたはいつ佐渡にたちますか。
When do you want to go?	いつ行きたいのですか。
When is your book coming out?	あなたの本はいつ発売されるのですか。
When shall I come for you?	いつお迎えにまいりましょうか。
When she saw that they had no schools, she started one.	学校がないのを知ると自分で学校を開いた。
When will Yuko come to Denver?	優子さんはいつデンバーに来るのかなあ。
When will the world come to an end?	世界はいつ終わるのだろうか。
When will you come back to school?	あなたはいつ学校に戻ってきますか。
When will you come home?	いつ帰宅しますか。
When will you come home?	何時に帰ってくるの。
When will you get through with work?	いつあなたは仕事を終えますか。
When will you get through with work?	いつ仕事が終わる予定ですか。
When will you live in Sanda next year?	あなたは来年のいつに三田に住むつもりですか。
When you can't do what you want, you do what you can.	したいことが出来なければ出来ることをしなさい。
When you contact me, please do so by phone.	連絡するなら電話でお願いします。
When you have written your name, please write the date.	名前が書き終わったら日付も書いておきなさい。
When you have written your name, write the date.	名前を書き終わったら日付も書いておきなさい。
Where am I?	私はどこにいるのか。
Where are all the others?	他の人はどこにいるのですか。
Where are you from in Canada?	君はカナダのどこ出身なの？
Where are you from, Karen?	カレンさんはご出身はどちらですか。
Where are you from?	ご出身はどこですか。
Where are you from?	出身はどちらですか。
Where are you going?	どことどこへ行く予定ですか。
Where are you going?	どこに行きますか。
Where are you going?	どこへ行くの？
Where are you going?	どちらが先に行くのですか。
Where are you going?	どちらに行くのですか。
Where can I get some help?	どこに行ったら助けてもらえますか。
Where can I get the map?	その地図はどこで手に入りますか。
Where can Yoko have gone?	洋子は一体どこへ行ってしまったのだろう。
Where can we get what we want?	私たちはどこで欲しいものが手に入れられますか。
Where did he go?	彼はどこへ行った。
Where did he go?	彼は何処に行ったのですか。
Where did she buy a book?	彼女はどこで本を買いましたか。
Where did they come from?	彼らはどこから来たの。
Where did you buy that book?	その本をどこで買ったのですか。
Where did you come from?	どこから来られましたか。
Where did you find it, at school or at home?	どこでそれを見つけたの、学校、それとも家で？
Where did you get it?	どこでそれを手に入れたのですか。
Where did you get this photo taken?	あなたこの写真をどこで撮ってもらったのですか。
Where did you get this photo taken?	あなたはこの写真をどこで撮ってもらったのですか。
Where did you get this?	それを何処で手に入れたの。
Where did you get to know her?	どこで彼女と知り合いになったのか。
Where did you go last Sunday?	君はこの前の日曜日にはどこへ行きましたか。
Where did you go to in Japan?	日本ではどこへ行きましたか。
Where did you learn English?	あなたはどこで英語を学びましたか。
Where did you live last year?	あなたは去年どこに住んでいましたか。
Where did you see Nancy?	あなたはどこでナンシーを見かけましたか。
Where did you see her?	彼女にどこで会ったのか。
Where do I come in?	私の役割は何ですか。
Where do I come in?	私はどうなっちゃうの。
Where do I come in?	私は何をしましょうか。
Where do you come from?	あなたはどちらの出身ですか。
Where do you come from?	あなたは何処から来ましたか。
Where do you come from?	どこのご出身ですか。
Where do you come from?	どちらのご出身ですか？
Where do you come from?	君の国はどこですか。
Where do you come from?	御出身はどちらですか。
Where do you go to school?	あなたの学校はどこにありますか。
Where do you go to school?	学校はどちらですか。
Where do you live now?	今何処に住んでいますか。
Where do you live now?	現在はどちらにお住まいですか。
Where do you live?	あなたはどこにお住まいですか。
Where do you live?	きみはどこに住んでいますか。
Where do you live?	どこに住んでいるんですか。
Where do you live?	どちらにお住まいですか。
Where do you live?	君の住まいはどこですか。
Where do you live?	君はどこに住んでいるのですか。
Where do you think he lives?	彼はどこに住んでいると思いますか。
Where do you want to go?	どこに行きたいの？
Where do you want to go?	どこへ行きたいの？
Where do you work?	どこで働いてるの？
Where has she gone?	彼女はどこに行ったの？
Where has she gone?	彼女はどこへ行っちゃったの。
Where has she gone?	彼女はどこへ行ってしまったの？
Where have you been all this time?	今までずっとどこにいたの。
Where have you been up to now?	今までどこにいたの。
Where have you been?	どこへ行っていたのですか。
Where have you been?	今までどこに行っていたの？
Where is Jim?	ジムはどこ？
Where is Paris?	パリはどこにありますか。
Where is Tony playing?	トニー君はどこで遊んでいますか。
Where is my book?	私の本はどこにありますか。
Where is my car?	私の車はどこにありますか。
Where is the book?	その本はどこにありますか。
Where is the end of this line?	この線の終点はどこですか。
Where is the way out?	出口はどちらですか。
Where is this?	ここは何処ですか。
Where is your school?	あなたがたの学校はどこにありますか。
Where is your school?	君の学校はどこにありますか。
Where should we go?	どこに行きましょう？
Where there's a will, there's a way.	やる気があれば方法は見つかるもの。
Where there's a will, there's a way.	意志ある所に道あり。
Where there's a will, there's a way.	意志があるところに道は開ける。
Where there's a will, there's a way.	意志のあるところには道がある。
Where there's a will, there's a way.	意志のあるところに道あり。
Where there's a will, there's a way.	成せば成る。
Where was Tony playing then?	トニー君はその時どこで遊んでいましたか。
Where was he going?	彼はどこへ行くところでしたか。
Where were you going?	あなたはどこに行くところでしたか。
Where were you?	君はどこにいたの？
Where would I find CDs?	どこでＣＤが買えますか。
Where would I find books?	どこで本が買えますか。
Where would you like to go first?	まずどこに行きたいですか。
Where would you like to go next Sunday?	次の日曜日にはどこへ行きたいですか。
Where would you like to go next?	次はどこへ行きたいですか。
Where would you like to go?	どちらへ行きたいですか。
Where's Tony?	トニーはどこだ。
Where's my book?	私の本はどこ？
Where's the information center for hotels?	ホテルの案内カウンターは、どこですか。
Where's the shopping center?	ショッピングセンターはどこですか。
Which book is better?	どちらの本がよいですか。
Which book is yours?	どちらの本があなたのものですか。
Which is your book, this one or that one?	どちらがあなたの本ですか、この本それともあの本。
Which is your book?	あなたの本はどちらですか。
Which is your book?	どれが君の本ですか。
Which of the two books did you like better?	その２冊の本の中でどちらの方が好きでしたか。
Which of you came here first?	君たちのうち誰がはじめにここに来たのですか。
Which of you came here first?	君たちのうち誰が最初にここに来たのですか。
Which way shall we go now?	どっちの方に行くとよいかな。
Which way should I go?	どちらへ行けばよいですか。
Which way will you take?	どちらの道を行きますか。
Who bought a book at the shop?	誰がその店で本を買いましたか。
Who do you think I am?	私はだれだと思いますか。
Who do you think goes there?	誰がそこに行くと思いますか。
Who do you think he is?	あなたは彼が誰だと思いますか。
Who do you think he is?	彼は誰だと思いますか。
Who do you think he is?	彼は誰だと思う？
Who do you think he is?	彼を誰と思いますか。
Who do you think she is?	彼女、誰だと思う？
Who do you think she is?	彼女はだれだと思いますか。
Who do you think she lives with?	彼女は誰といっしょに暮らしているとおもいますか。
Who do you think will come first?	誰が一番先に来ると思いますか。
Who do you think will take over the company?	この会社は誰が引き継ぐと思う？
Who do you think you are, to look at me like this?	自分を何様だと思っているのだ、人をそんな風に見て。
Who do you think you are?	何様だと思ってるんだ。
Who do you think you are?	自分が何さまだと思ってるんだ？
Who is calling, please?	どちら様でしょうか。
Who is going to play the part in your play?	あなたたちの劇でその役を演じるのは誰ですか。
Who is she?	彼女は誰ですか。
Who is that man?	あの人は誰ですか。
Who is that man?	あの人誰？
Who is that man?	あの男の人は誰ですか。
Who is that man?	あの男性は誰ですか。
Who made this plan?	だれがこの計画を立てたのですか。
Who made you come here?	誰が君をここにこさせたのか。
Who started Disneyland?	ディズニーランドをはじめたのは誰ですか。
Who started X?	Xを誰が始めたのか
Who thinks so?	誰がそう思うのか。
Who was the book written by?	その本は誰によって書かれましたか。
Who wrote Hamlet?	ハムレットは誰が書いたのですか。
Who wrote this book?	だれがこの本を書いたのですか。
Who wrote this book?	誰がこの本を書いたのか。
Will I make it through?	こんな自分から抜け出せるのか。
Will he come home at six?	彼は６時に帰宅するでしょうか。
Will he come home by seven?	彼は７時までに帰ってくるでしょうか。
Will she come home at five?	彼女は５時に帰ってくるでしょうか。
Will she come?	彼女は来るだろうか。
Will she go to America next year?	彼女は来年アメリカに行くのでしょうか。
Will you go over my plan?	私の計画を再検討していただけますか。
Will you live in Sasayama next year?	あなたは来年篠山に住むつもりですか。
Will you please show me the way?	道を教えてくださいませんか。
Will you send it by mail?	それを郵送してくれますか。
Will you show me the book?	私にその本を見せてくれませんか。
Will you type this, please?	これをタイプしてくれませんか。
With a little planning, I think we can take our company to the top.	少しプランをねれば我が社はトップになれると思いますよ。
Won't you come with me?	一緒に来ませんか。
Won't you come with me?	一緒に行きませんか。
Won't you come with me?	私といっしょに来ませんか。
Would you come with me?	御案内しましょう。
Would you like to come shopping with me?	買い物に一緒に来てくれる？
Would you play with me?	一緒に遊ばない？
Would you please write your name here?	ここにあなたの名前をかいてくれませんか。
Would you take part in the project?	あなたはその計画に参加しますか。
Would you take part in the project?	その計画に参加させてもらえませんか。
Would you take part in the project?	その計画に参加して頂けませんか。
Write your name, first of all.	まず、第一に名前を書きなさい。
X do/does not come into the view at all.	Xが視界に全く入りません
X is thought to be good.	Xがいいなと考えた
You and I are men.	あなたと私は男です。
You are doing very well.	良くやっているよ。
You are free to use this car.	自由にこの車を使ってください。
You are in my way.	君は僕の邪魔をしている。
You are not coming, are you?	君は来ないんだね。
You are the man I've been looking for.	君こそ私が探していた人だ。
You are the very man I want to see.	私が会いたいと思っているのはまさにあなたのような人だ。
You are to come with me.	君は僕と一緒に来るのだ。
You are wanted on the phone, Mike. It's Jane.	マイク、電話ですよ。ジェインからですよ。
You are wanted on the phone.	君に電話です。
You are wanted on the phone.	電話がかかってるよ。
You are wanted on the phone.	電話です。
You called?	お呼びですか。
You came home at 5:00.	あなたは５時に帰宅した。
You came when I was thirty.	アンタは私が三〇才のときの子だよ。
You can call me Bob.	私をボブと呼んでくださって結構です。
You can call me any time.	好きなときに電話してきていいよ。
You can come with me.	一緒に来てもいいよ。
You can come with me.	僕と一緒に来てもいいよ。
You can go if you want to.	もし行きたければ行ってもよろしい。
You can have any you want.	あなたの好きなものは何でもあげます。
You can make book on it that he won't help you.	彼は金輪際君を助けてくれないだろう。
You can read this book.	この本を読んでもいい。
You can type, can't you?	タイプは打てますね。
You can use my car, if you want to.	使いたければ私の車を使ってくれていい。
You can use this car.	君はこの車を使ってもいい。
You can use this computer any time.	いつでもこのコンピューターを使っていいよ。
You come here, Jane, and you go over there, Jim.	ジェーン、君はここに来い、そしてジム、君はあそこへ行け。
You come here.	君、ここへきなさい。
You do not have to come here.	あなたはここへくる必要はない。
You get in my way?	邪魔するのか。
You had a phone call from Mr Takakura.	高倉さんから電話があったわよ。
You had better call off your plan.	君は計画を中止したほうがよい。
You had better call off your plan.	君は計画を取りやめたほうがよい。
You had better not read this book.	この本は読まないほうがよい。
You have all these books!	こんなにたくさん本を持っているのか。
You have done very well.	君はうまくやったよ。
You have only to come here.	あなたはここに来さえすればよい。
You have only to come here.	君はここへ来さえすればよい。
You have some books.	君はいくつかの本をもっています。
You have three cars.	貴方は、三台車を持っています。
You have to come with me.	君は僕と一緒に行かなければならないよ。
You have two books.	あなたは二冊の本を持っています。
You live in Tokyo, don't you?	あなたは東京に住んでいますね。
You may as well come with me.	あなたは私といっしょに来た方がいい。
You may as well come with me.	私と一緒にきたほうがよいでしょう。
You may as well come with me.	私と来たほうがいいでしょう。
You may come and go at will.	好きなように行き来していいですよ。
You may come if you like.	よろしかったら来てもいいですよ。
You may come with us if you want to.	来たいのなら私達と一緒にきても良いです。
You may go home if you want to.	もし帰宅したければ帰ってよい。
You may not come in.	入ってはいけません。
You may read this book.	あなたはこの本を読んでもいい。
You may take the book if you can read it.	もし読めるのなら、その本を持っていってよろしい。
You may take the book.	その本を持っていってよい。
You may use my car at any time.	僕の車いつでも使っていいよ。
You may use my car.	私の車を使ってもよろしい。
You may use my new car.	君は私の新しい車を使ってもよい。
You need not have bought the book.	君はその本を買う必要がなかったのに。
You need not have called me.	電話をくれる必要はなかったのに。
You needn't come.	あなたは来るにはおよばない。
You needn't go there if you don't want to go.	行きたくなければ、そこへ行かなくてもいいよ。
You needn't have bought that book.	きみはその本を買わなくてもよかったのに。
You needn't have come.	あなたは来る必要はなかったのに。
You needn't have come.	君は来なくてもよかったのに。
You shall have my car.	お前には私の車をあげよう。
You should have come with us.	あなたも一緒に来ればよかったのに。
You should have started by now.	もっと早くはじめるべきだったのに。
You should read books written in English.	英語で書かれた本を読みなさい。
You should read such a good book as he is reading now.	彼が今読んでいるような本を読むべきだ。
You will be called Cephas.	あなたをケパと呼ぶことにします。
You will have your own way.	あなたはどうしても意地を張るのだね。
You will have your own way.	あなたはどうしても自分の思いどおりにしたがる。
You will have your own way.	君はどうしても自分の思いどおりにしたがる。
You will have your own way.	君は何としても我を通そうとする。
You will learn how to do it in time.	そのうちやり方がわかるよ。
You will think it just that I should do so.	私がそうするのは当然だと君は思うでしょう。
You wrote this book?	君がこの本を書いたって？
You'd better start now.	君は今でかけた方がよい。
You'll come to like her.	君は彼女が好きになるだろう。
You're coming with us now.	君は今私たちと一緒に来るのだ。
You're looking very well.	あなたはとても元気そうですね。
You're so set in your ways!	あなたって本当に頑固ね。
You're wanted on the phone. It's from Tom.	あなたに電話ですよ。トムからですよ。
You've been very good to me.	とても親切にしていただきました。
You've read through the book, haven't you?	その本を読んでしまったのでしょう。
You, come here.	きみ！こっちに来なさい。
Your plan is not in line with our policy.	あなたの計画は私たちの方針と一致していない。
Yuka types better than Alice.	由香はアリスよりじょうずにタイプを打ちます。
